"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"PH5193804130","jackj104","HOM","1","6","value","27","2","5","0","","","","","","","1","19380413","0","GAL01","PH5","w","exhibition","y"
"KCM193804140","jackj104","HOM","1","6","value","27","3","4","","2","","","","","","1","19380414","0","HOU04","KCM","w","exhibition","y"
"ATN193804240","jackj104","HOM","1","6","value","27","0","5","0","1","0","","","","","1","19380424","0","ATL04","ATN","w","exhibition","y"
"PTC193804300","jackj104","HOM","1","6","value","27","1","4","0","0","","","","","","1","19380430","0","PIT09","PTC","w","exhibition","y"
"PH5193805221","jackj104","HOM","1","6","value","27","2","3","0","","","","","","","","19380522","1","PHI16","PH5","w","regular","y"
"PH5193805222","jackj104","HOM","1","6","value","21","1","1","1","","","","","","","1","19380522","2","PHI17","PH5","w","regular","y"
"HOM193805291","jackj104","HOM","1","6","value","27","","","1","","","","","","","1","19380529","1","CLE07","WBS","w","regular","y"
"HOM193805301","jackj104","HOM","1","6","value","27","1","5","","","","","","","","1","19380530","1","PIT09","WBS","w","regular","y"
"NW2193806040","jackj104","HOM","1","6","value","27","","","0","","","","","","","","19380604","0","TRE01","NW2","w","regular","y"
"HOM193806120","jackj104","HOM","1","6","value","27","","","2","","","","","","","1","19380612","0","IND10","BLG","w","regular","y"
"HOM193806140","jackj104","HOM","1","6","value","27","","","0","","","","","","","1","19380614","0","LOU05","BLG","w","regular","y"
"HOM193806160","jackj104","HOM","1","6","value","","","","0","","","","","","","1","19380616","0","MID02","BLG","w","regular","y"
"PTC193807041","jackj104","HOM","1","6","value","27","2","4","0","1","","","","","","","19380704","1","PIT09","PTC","w","regular","y"
"BLG193807090","jackj104","HOM","1","6","value","27","3","7","0","","","","","","","1","19380709","0","BAL14","BLG","w","regular","y"
"BLG193807101","jackj104","HOM","1","6","value","27","3","2","","","","","","","","","19380710","1","BAL14","BLG","w","regular","y"
"BLG193807102","jackj104","HOM","1","6","value","19","","","","","","","","","","","19380710","2","BAL14","BLG","l","regular","y"
"BLG193807110","jackj104","HOM","1","6","value","27","","","","","","","","","","1","19380711","0","BAL14","BLG","w","regular","y"
"HOM193807171","jackj104","HOM","1","6","value","27","1","5","0","","","","","","","","19380717","1","CLE06","NY5","w","regular","y"
"HOM193807172","jackj104","HOM","1","6","value","21","2","3","1","","","","","","","","19380717","2","CLE06","NY5","l","regular","y"
"HOM193807190","jackj104","HOM","1","6","value","27","","","","","","","","","","1","19380719","0","COL05","NY5","w","regular","y"
"ATN193904210","jackj104","HOM","1","6","value","27","1","5","0","0","0","","","","","1","19390421","0","ATL04","ATN","w","exhibition","y"
"HOM193904231","jackj104","HOM","1","6","value","27","1","0","1","0","0","","","","","1","19390423","1","NOL01","KCM","w","exhibition","y"
"HOM193904232","jackj104","HOM","1","6","value","24","2","5","0","1","0","","","","","1","19390423","2","NOL01","KCM","w","exhibition","y"
"HOM193904250","jackj104","HOM","1","6","value","18","3","0","1","0","0","","","","","1","19390425","0","NOL01","KCM","w","exhibition","y"
"MEM193905040","jackj104","HOM","1","6","value","24","2","0","0","0","0","","","","","1","19390504","0","MEM02","MEM","l","exhibition","y"
"HOM193905120","jackj104","HOM","1","6","value","27","3","4","0","0","0","","","","","1","19390512","0","PIT06","NY5","l","regular","y"
"BLG193905141","jackj104","HOM","1","6","value","27","","","0","1","0","","","","","1","19390514","1","BAL10","BLG","w","regular","y"
"BLG193905142","jackj104","HOM","1","6","value","18","","","0","0","0","","","","","1","19390514","2","BAL10","BLG","w","regular","y"
"HOM193905270","jackj104","HOM","1","6","value","27","1","3","1","0","0","","","","","1","19390527","0","PIT06","PH5","w","regular","y"
"HOM193905281","jackj104","HOM","1","6","value","27","1","6","0","0","0","","","","","1","19390528","1","BUF06","PH5","w","regular","y"
"HOM193906020","jackj104","HOM","1","2","value","27","","","0","","0","","","","","1","19390602","0","BUT01","NY6","w","exhibition",""
"HOM193906101","jackj104","HOM","1","6","value","27","2","3","0","0","0","","","","","1","19390610","1","PIT06","BLG","l","regular","y"
"HOM193906102","jackj104","HOM","1","6","value","18","0","2","0","0","0","","","","","1","19390610","2","PIT06","BLG","w","regular","y"
"PH5193906181","jackj104","HOM","1","6","value","27","3","2","0","0","0","","","","","1","19390618","1","PHI17","PH5","w","regular","y"
"PH5193906182","jackj104","HOM","1","6","value","27","3","5","1","0","0","","","","","1","19390618","2","PHI17","PH5","w","regular","y"
"PH5193906241","jackj104","HOM","1","6","value","24","2","2","0","0","0","","","","","1","19390624","1","PHI17","PH5","l","regular","y"
"PH5193906242","jackj104","HOM","1","6","value","21","3","","0","0","0","","","","","1","19390624","2","PHI17","PH5","w","regular","y"
"NW2193907091","jackj104","HOM","1","6","value","24","","","0","0","0","","","","","1","19390709","1","NWK04","NW2","l","regular","y"
"NW2193907092","jackj104","HOM","1","6","value","21","","","0","0","0","","","","","1","19390709","2","NWK04","NW2","w","regular","y"
"PH5193907151","jackj104","HOM","1","6","value","24","2","5","0","0","0","","","","","1","19390715","1","PHI17","PH5","l","regular","y"
"PH5193907152","jackj104","HOM","1","6","value","21","0","1","0","0","0","","","","","1","19390715","2","PHI17","PH5","w","regular","y"
"HOM193907161","jackj104","HOM","1","6","value","27","","","1","0","0","","","","","1","19390716","1","WAS09","PH5","w","regular","y"
"HOM193907162","jackj104","HOM","1","6","value","21","","","2","0","0","","","","","1","19390716","2","WAS09","PH5","l","regular","y"
"HOM193907231","jackj104","HOM","1","6","value","27","1","6","1","0","0","","","","","1","19390723","1","NYC16","PH5","w","regular","y"
"HOM193907240","jackj104","HOM","1","6","value","27","2","1","0","0","0","","","","","1","19390724","0","GRE04","PH5","w","regular","y"
"HOM193907270","jackj104","HOM","1","6","value","30","2","6","0","2","0","","","","","1","19390727","0","WAR03","PH5","l","exhibition","y"
"PH5193907290","jackj104","HOM","1","6","value","24","1","3","0","1","0","","","","","1","19390729","0","PHI17","PH5","l","regular","y"
"HOM193908020","jackj104","HOM","1","6","value","24","2","3","0","0","0","","","","","1","19390802","0","PIT06","NW2","w","regular","y"
"HOM193908030","jackj104","HOM","1","6","value","27","2","4","0","1","0","","","","","1","19390803","0","ALT02","NW2","w","regular","y"
"HOM193908061","jackj104","HOM","1","6","value","27","2","1","0","0","0","","","","","1","19390806","1","IND10","NW2","w","exhibition","y"
"NW2193908100","jackj104","HOM","1","6","value","24","","","1","0","0","","","","","1","19390810","0","NWK04","NW2","l","regular","y"
"NY5193908132","jackj104","HOM","1","6","value","27","5","3","0","1","0","","","","","1","19390813","2","NYC16","NY5","w","regular","y"
"HOM193908240","jackj104","HOM","1","6","value","27","0","6","0","1","0","","","","","1","19390824","0","WAR03","BLG","w","regular","y"
"HOM193908272","jackj104","HOM","1","6","value","21","0","1","0","0","0","","","","","1","19390827","2","WAS09","NY5","t","exhibition","y"
"PH5193909020","jackj104","HOM","1","6","value","26","2","0","0","0","0","","","","","1","19390902","0","CHE01","PH5","l","regular","y"
"NW2193909032","jackj104","HOM","1","6","value","27","0","0","0","0","0","","","","","1","19390903","2","NWK04","NW2","w","regular","y"
"BLG193909042","jackj104","HOM","1","6","value","27","","","0","","0","0","","","","","19390904","2","NYC23","BLG","w","regular",""
"PH5193909130","jackj104","HOM","1","6","value","24","2","0","0","0","0","","","","","1","19390913","0","PHI17","PH5","l","divisionseries","y"
"PH5193909140","jackj104","HOM","1","6","value","27","0","0","0","0","0","","","","","1","19390914","0","PHI17","PH5","w","divisionseries","y"
"HOM193909160","jackj104","HOM","1","6","value","27","1","0","0","0","0","","","","","1","19390916","0","PHI17","BLG","w","lcs","y"
"BLG193909171","jackj104","HOM","1","6","value","24","0","0","1","0","0","","","","","1","19390917","1","BAL10","BLG","l","lcs","y"
"BLG193909172","jackj104","HOM","1","6","value","15","0","1","0","1","0","","","","","1","19390917","2","BAL10","BLG","t","lcs","y"
"HOM193909230","jackj104","HOM","1","6","value","13","0","1","0","0","0","","","","","1","19390923","0","PHI17","BLG","l","lcs","y"
"BLG193909240","jackj104","HOM","1","6","value","24","1","3","0","0","0","","","","","1","19390924","0","NYC16","BLG","l","lcs","y"
"MLS193910080","jackj104","NNS","1","6","value","24","1","0","0","0","0","","","","","1","19391008","0","BAL09","MLS","l","exhibition","y"
"HOM194004050","jackj104","HOM","1","6","value","27","","","0","0","0","","","","","1","19400405","0","ORL01","CV9","w","exhibition","y"
"HOM194004281","jackj104","HOM","1","6","value","27","1","5","1","1","0","","","","","1","19400428","1","NOL01","KCM","w","exhibition","y"
"HOM194004282","jackj104","HOM","1","6","value","21","0","2","0","0","0","","","","","1","19400428","2","NOL01","KCM","w","exhibition","y"
