"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"CV9194006092","johnc103","IN8","1","1","value","6","1","1","0","1","0","0","19400609","2","CLE06","CV9","L","regular","y"
"CV9194006092","johnc103","IN8","1","1","lower","6","1","1","0","1","0","0","19400609","2","CLE06","CV9","L","regular","y"
"CV9194006092","johnc103","IN8","1","1","upper","6","1","1","0","1","0","0","19400609","2","CLE06","CV9","L","regular","y"
"IN8194006232","johnc103","IN8","1","1","value","21","","","0","","0","0","19400623","2","LOU05","CAG","W","regular",""
"IN8194006232","johnc103","IN8","1","1","lower","21","","","0","","0","0","19400623","2","LOU05","CAG","W","regular",""
"IN8194006232","johnc103","IN8","1","1","upper","21","","","0","","0","0","19400623","2","LOU05","CAG","W","regular",""
"IN8194006240","johnc103","IN8","1","1","value","","","","0","","0","0","19400624","0","TOL05","CAG","L","regular",""
"IN8194006240","johnc103","IN8","1","1","lower","","","","0","","0","0","19400624","0","TOL05","CAG","L","regular",""
"IN8194006240","johnc103","IN8","1","1","upper","","","","0","","0","0","19400624","0","TOL05","CAG","L","regular",""
"IN8194006270","johnc103","IN8","1","1","value","27","1","","0","0","0","0","19400627","0","IND10","KCM","W","regular","y"
"IN8194006270","johnc103","IN8","1","1","lower","27","1","","0","0","0","0","19400627","0","IND10","KCM","W","regular","y"
"IN8194006270","johnc103","IN8","1","1","upper","27","1","","0","0","0","0","19400627","0","IND10","KCM","W","regular","y"
"IN8194006280","johnc103","IN8","1","1","value","27","","","0","","0","0","19400628","0","IND10","KCM","W","regular",""
"IN8194006280","johnc103","IN8","1","1","lower","27","","","0","","0","0","19400628","0","IND10","KCM","W","regular",""
"IN8194006280","johnc103","IN8","1","1","upper","27","","","0","","0","0","19400628","0","IND10","KCM","W","regular",""
"BIR194007120","johnc103","IN8","1","1","value","27","","","0","","0","0","19400712","0","PBL01","BIR","W","regular",""
"BIR194007120","johnc103","IN8","1","1","lower","27","","","0","","0","0","19400712","0","PBL01","BIR","W","regular",""
"BIR194007120","johnc103","IN8","1","1","upper","27","","","0","","0","0","19400712","0","PBL01","BIR","W","regular",""
"MEM194007180","johnc103","IN8","1","1","value","25","","","0","","0","0","19400718","0","WAC01","MEM","L","regular",""
"MEM194007180","johnc103","IN8","1","1","lower","25","","","0","","0","0","19400718","0","WAC01","MEM","L","regular",""
"MEM194007180","johnc103","IN8","1","1","upper","25","","","0","","0","0","19400718","0","WAC01","MEM","L","regular",""
"MEM194007211","johnc103","IN8","1","1","value","24","0","4","0","0","0","0","19400721","1","MEM02","MEM","L","regular","y"
"MEM194007211","johnc103","IN8","1","1","lower","24","0","4","0","0","0","0","19400721","1","MEM02","MEM","L","regular","y"
"MEM194007211","johnc103","IN8","1","1","upper","24","0","4","0","0","0","0","19400721","1","MEM02","MEM","L","regular","y"
"SNO194007282","johnc103","IN8","1","1","value","18","","","0","","0","0","19400728","2","NOL01","SNO","L","regular",""
"SNO194007282","johnc103","IN8","1","1","lower","18","","","0","","0","0","19400728","2","NOL01","SNO","L","regular",""
"SNO194007282","johnc103","IN8","1","1","upper","18","","","0","","0","0","19400728","2","NOL01","SNO","L","regular",""
"SNO194007290","johnc103","IN8","1","1","value","21","","","0","","0","0","19400729","0","PTA01","SNO","L","regular",""
"SNO194007290","johnc103","IN8","1","1","lower","21","","","0","","0","0","19400729","0","PTA01","SNO","L","regular",""
"SNO194007290","johnc103","IN8","1","1","upper","21","","","0","","0","0","19400729","0","PTA01","SNO","L","regular",""
"KCM194008020","johnc103","IN8","1","1","value","24","0","3","0","1","0","0","19400802","0","BEL01","KCM","T","regular","y"
"KCM194008020","johnc103","IN8","1","1","lower","","0","3","0","1","0","0","19400802","0","BEL01","KCM","T","regular","y"
"KCM194008020","johnc103","IN8","1","1","upper","","0","3","0","1","0","0","19400802","0","BEL01","KCM","T","regular","y"
"CAG194008112","johnc103","IN8","1","1","value","18","","","0","","0","0","19400811","2","CHI09","CAG","L","regular",""
