"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"PH5194005302","johnt106","PH5","1","value","20","","28","5","1","1","1","4","","2","","","0","0","0","","","","1","","1","","","19400530","2","PHI17","NY6","L","regular","y"
"PH5194005302","johnt106","PH5","1","lower","18","","","","1","1","1","4","","2","","","0","0","0","","","","","","","","","19400530","2","PHI17","NY6","L","regular","y"
"PH5194005302","johnt106","PH5","1","upper","21","","","","1","1","1","4","","2","","","0","0","0","","","","","","","","","19400530","2","PHI17","NY6","L","regular","y"
"NW2194006021","johnt106","PH5","2","value","5","","9","3","","","0","0","","1","","","0","0","0","","","","","","","","","19400602","1","ALB02","NW2","L","regular","y"
"NW2194006021","johnt106","PH5","2","lower","5","","","3","","","","0","","1","","","0","0","0","","","","","","","","","19400602","1","ALB02","NW2","L","regular","y"
"NW2194006021","johnt106","PH5","2","upper","5","","","3","","","","0","","1","","","0","0","0","","","","","","","","","19400602","1","ALB02","NW2","L","regular","y"
"NY5194006140","johnt106","PH5","2","value","2","","6","2","","0","0","2","","1","","1","0","0","0","0","","","1","","","1","","19400614","0","PAT01","NY5","L","regular","y"
"NY5194006140","johnt106","PH5","2","lower","1","","","2","","0","0","2","","1","","1","0","0","0","","","","","","","","","19400614","0","PAT01","NY5","L","regular","y"
"NY5194006140","johnt106","PH5","2","upper","1","","","2","","0","0","2","","1","","1","0","0","0","","","","","","","","","19400614","0","PAT01","NY5","L","regular","y"
"PH5194006221","johnt106","PH5","1","value","20","","30","9","2","","0","5","5","","","","0","0","0","","","1","","","1","","","19400622","1","PHI17","KCM","W","exhibition","y"
"PH5194006221","johnt106","PH5","1","lower","20","","30","9","2","","0","5","5","","","","0","0","0","","","","","","","","","19400622","1","PHI17","KCM","W","exhibition","y"
"PH5194006221","johnt106","PH5","1","upper","20","","30","9","2","","0","5","5","","","","0","0","0","","","","","","","","","19400622","1","PHI17","KCM","W","exhibition","y"
"PH5194006291","johnt106","PH5","3","value","8","","11","2","1","0","0","1","","1","","","0","0","0","0","","","","","","1","","19400629","1","PHI17","NY5","W","regular","y"
"PH5194006291","johnt106","PH5","3","lower","8","","11","2","1","0","0","1","","1","","","0","0","0","0","","","","","","","","19400629","1","PHI17","NY5","W","regular","y"
"PH5194006291","johnt106","PH5","3","upper","8","","11","2","1","0","0","1","","1","","","0","0","0","0","","","","","","","","19400629","1","PHI17","NY5","W","regular","y"
"PH5194007042","johnt106","PH5","1","value","15","","21","6","","","1","3","","","","","","","","","","","1","","1","","","19400704","2","PHI17","NW2","L","regular","y"
"PH5194007042","johnt106","PH5","1","lower","15","","21","6","","","1","3","","","","","","","","","","","","","","","","19400704","2","PHI17","NW2","L","regular","y"
"PH5194007042","johnt106","PH5","1","upper","15","","21","6","","","1","3","","","","","","","","","","","","","","","","19400704","2","PHI17","NW2","L","regular","y"
"PH5194007061","johnt106","PH5","2","value","5","","10","2","","0","0","4","","3","","","0","0","0","","","","1","","","","","19400706","1","PHI17","NY6","L","regular","y"
"PH5194007061","johnt106","PH5","2","lower","5","","10","2","","0","0","4","","3","","","0","0","0","","","","","","","","","19400706","1","PHI17","NY6","L","regular","y"
"PH5194007061","johnt106","PH5","2","upper","5","","10","2","","0","0","4","","3","","","0","0","0","","","","","","","","","19400706","1","PHI17","NY6","L","regular","y"
"PH5194007202","johnt106","PH5","1","value","6","","15","5","0","","1","6","","4","","","0","0","0","","","","1","","1","","","19400720","2","PHI17","BLG","L","regular","y"
"PH5194007202","johnt106","PH5","1","lower","6","","","4","0","","1","6","","3","","","0","0","0","","","","","","","","","19400720","2","PHI17","BLG","L","regular","y"
"PH5194007202","johnt106","PH5","1","upper","6","","","6","0","","1","6","","4","","","0","0","0","","","","","","","","","19400720","2","PHI17","BLG","L","regular","y"
"HOM194007310","johnt106","PH5","2","value","2","","4","2","","","0","1","1","0","","0","0","0","0","","","","1","","","1","","19400731","0","ALT02","HOM","L","regular","y"
"HOM194007310","johnt106","PH5","2","lower","2","","","2","","","0","1","","0","","0","0","0","0","","","","","","","","","19400731","0","ALT02","HOM","L","regular","y"
"HOM194007310","johnt106","PH5","2","upper","2","","","2","","","0","1","","0","","0","0","0","0","","","","","","","","","19400731","0","ALT02","HOM","L","regular","y"
"HOM194008182","johnt106","PH5","3","value","13","","18","4","","","0","2","","0","","0","0","0","0","0","","","","","","1","","19400818","2","WAS09","HOM","L","exhibition","y"
"HOM194008182","johnt106","PH5","3","lower","","","","","","","0","","","0","","0","0","0","0","","","","","","","","","19400818","2","WAS09","HOM","L","exhibition","y"
"HOM194008182","johnt106","PH5","3","upper","","","","","","","0","","","0","","0","0","0","0","","","","","","","","","19400818","2","WAS09","HOM","L","exhibition","y"
"NW2194008200","johnt106","PH5","3","value","6","","10","3","","","","2","","1","","","","","","","","","","","","1","","19400820","0","NWK04","NW2","L","regular","y"
"NW2194008200","johnt106","PH5","3","lower","6","","","","","","","2","","","","","","","","","","","","","","","","19400820","0","NWK04","NW2","L","regular","y"
"NW2194008200","johnt106","PH5","3","upper","6","","","","","","","2","","","","","","","","","","","","","","","","19400820","0","NWK04","NW2","L","regular","y"
"PH5194009060","johnt106","PH5","1","value","24","","36","6","","","","2","","","","","","","","","","1","","","1","","1","19400906","0","CHE01","MEM","W","exhibition","y"
"PH5194009060","johnt106","PH5","1","lower","24","","","6","","","","2","","","","","","","","","","","","","","","","19400906","0","CHE01","MEM","W","exhibition","y"
"PH5194009060","johnt106","PH5","1","upper","24","","","6","","","","2","","","","","","","","","","","","","","","","19400906","0","CHE01","MEM","W","exhibition","y"
"PH5194009152","johnt106","PH5","2","value","12","","12","2","","0","0","0","","0","","1","0","0","0","0","","1","","","","1","","19400915","2","HRB01","NY5","W","exhibition","y"
"PH5194009152","johnt106","PH5","2","lower","12","","","2","","0","0","0","","","","1","0","0","0","","","","","","","","","19400915","2","HRB01","NY5","W","exhibition","y"
"PH5194009152","johnt106","PH5","2","upper","12","","","2","","0","0","0","","","","1","0","0","0","","","","","","","","","19400915","2","HRB01","NY5","W","exhibition","y"
