"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"HOM194704271","kaisc101","HOM","1","value","23","","36","11","0","0","0","6","","2","","1","0","0","0","1","","","","","1","","","19470427","1","WAS09","NY5","W","exhibition","y"
"HOM194704271","kaisc101","HOM","1","lower","23","","","11","0","0","0","6","","2","","1","0","0","0","","","","","","","","","19470427","1","WAS09","NY5","W","exhibition","y"
"HOM194704271","kaisc101","HOM","1","upper","23","","","11","0","0","0","6","","2","","1","0","0","0","","","","","","","","","19470427","1","WAS09","NY5","W","exhibition","y"
"HOM194705041","kaisc101","HOM","2","value","6","0","9","3","","","0","3","","0","","0","0","0","0","","","","","","","","","19470504","1","WAS09","NY6","L","regular","y"
"HOM194705041","kaisc101","HOM","2","lower","6","","","3","","","0","3","","0","","0","0","0","0","","","","","","","","","19470504","1","WAS09","NY6","L","regular","y"
"HOM194705041","kaisc101","HOM","2","upper","6","","","3","","","0","3","","0","","0","0","0","0","","","","","","","","","19470504","1","WAS09","NY6","L","regular","y"
"BLG194705111","kaisc101","HOM","2","value","6","","8","3","","","0","1","1","0","","0","0","0","0","","","","","","","1","","19470511","1","BAL14","BLG","L","regular","y"
"BLG194705111","kaisc101","HOM","2","lower","6","","","3","","","0","1","1","0","","0","0","0","0","","","","","","","","","19470511","1","BAL14","BLG","L","regular","y"
"BLG194705111","kaisc101","HOM","2","upper","6","","","3","","","0","1","1","0","","0","0","0","0","","","","","","","","","19470511","1","BAL14","BLG","L","regular","y"
"BLG194705112","kaisc101","HOM","2","value","7","","10","3","","0","0","2","","0","","0","0","0","0","0","","","","","","","","19470511","2","BAL14","BLG","W","regular","y"
"BLG194705112","kaisc101","HOM","2","lower","","","","","","0","0","","","0","","0","0","0","0","","","","","","","","","19470511","2","BAL14","BLG","W","regular","y"
"BLG194705112","kaisc101","HOM","2","upper","","","","","","0","0","","","0","","0","0","0","0","","","","","","","","","19470511","2","BAL14","BLG","W","regular","y"
"HOM194705160","kaisc101","HOM","1","value","27","","31","4","0","0","0","1","","2","","1","0","0","0","0","","1","","","1","","1","19470516","0","ERI01","CVB","W","exhibition","y"
"HOM194705160","kaisc101","HOM","1","lower","27","","30","4","0","0","0","1","","","","1","0","0","0","0","","","","","","","","19470516","0","ERI01","CVB","W","exhibition","y"
"HOM194705160","kaisc101","HOM","1","upper","27","","31","4","0","0","0","1","","","","1","0","0","0","0","","","","","","","","19470516","0","ERI01","CVB","W","exhibition","y"
"BLG194705190","kaisc101","HOM","1","value","18","3","30","11","","","1","8","","2","","0","0","0","0","0","","","1","","1","","","19470519","0","PHI11","BLG","L","regular","y"
"BLG194705190","kaisc101","HOM","1","lower","18","3","","11","","","1","8","","2","","0","0","0","0","","","","","","","","","19470519","0","PHI11","BLG","L","regular","y"
"BLG194705190","kaisc101","HOM","1","upper","18","3","","11","","","1","8","","2","","0","0","0","0","","","","","","","","","19470519","0","PHI11","BLG","L","regular","y"
"HOM194705241","kaisc101","HOM","2","value","3","","9","5","","0","0","4","","1","","0","0","0","0","","","","","","","","","19470524","1","PIT06","NY5","W","regular","y"
"HOM194705241","kaisc101","HOM","2","lower","","","","","","0","0","","","1","","0","0","0","0","","","","","","","","","19470524","1","PIT06","NY5","W","regular","y"
"HOM194705241","kaisc101","HOM","2","upper","","","","","","0","0","","","1","","0","0","0","0","","","","","","","","","19470524","1","PIT06","NY5","W","regular","y"
"NW2194705302","kaisc101","HOM","2","value","15","","21","5","","","0","2","","0","","5","0","0","0","1","","","","","","1","","19470530","2","NYC15","NW2","L","regular","y"
"NW2194705302","kaisc101","HOM","2","lower","15","","","5","","","0","2","","0","","5","0","0","0","","","","","","","","","19470530","2","NYC15","NW2","L","regular","y"
"NW2194705302","kaisc101","HOM","2","upper","15","","","5","","","0","2","","0","","5","0","0","0","","","","","","","","","19470530","2","NYC15","NW2","L","regular","y"
"HOM194706012","kaisc101","HOM","3","value","3","","3","0","0","","0","0","","0","","0","0","0","0","","","","","","","1","","19470601","2","WAS09","PH5","L","regular","y"
"HOM194706012","kaisc101","HOM","3","lower","3","","","","0","","0","0","","0","","0","0","0","0","","","","","","","","","19470601","2","WAS09","PH5","L","regular","y"
"HOM194706012","kaisc101","HOM","3","upper","3","","","","0","","0","0","","0","","0","0","0","0","","","","","","","","","19470601","2","WAS09","PH5","L","regular","y"
"HOM194706081","kaisc101","HOM","2","value","1","","2","0","","0","0","0","","1","","0","0","0","0","","","","","","","","","19470608","1","WAS09","NW2","L","regular","y"
"HOM194706081","kaisc101","HOM","2","lower","1","","2","0","","0","0","0","","1","","0","0","0","0","","","","","","","","","19470608","1","WAS09","NW2","L","regular","y"
"HOM194706081","kaisc101","HOM","2","upper","1","","2","0","","0","0","0","","1","","0","0","0","0","","","","","","","","","19470608","1","WAS09","NW2","L","regular","y"
"PH5194706152","kaisc101","HOM","3","value","1","","2","1","0","","0","0","0","0","","1","0","0","0","","","","","1","","1","","19470615","2","WIL04","PH5","W","regular","y"
"PH5194706152","kaisc101","HOM","3","lower","1","","","1","0","","0","0","0","0","","1","0","0","0","","","","","","","","","19470615","2","WIL04","PH5","W","regular","y"
"PH5194706152","kaisc101","HOM","3","upper","1","","","1","0","","0","0","0","0","","1","0","0","0","","","","","","","","","19470615","2","WIL04","PH5","W","regular","y"
"HOM194706291","kaisc101","HOM","3","value","10","","11","2","","0","0","2","","1","","","0","0","0","","","","","","","","","19470629","1","PIT06","PH5","L","regular","y"
"HOM194706291","kaisc101","HOM","3","lower","9","","","","","0","0","2","","","","","0","0","0","","","","","","","","","19470629","1","PIT06","PH5","L","regular","y"
"HOM194706291","kaisc101","HOM","3","upper","15","","","","","0","0","8","","","","","0","0","0","","","","","","","","","19470629","1","PIT06","PH5","L","regular","y"
"HOM194707140","kaisc101","HOM","1","value","21","","30","7","","0","0","4","","1","","2","1","0","0","1","","","","","1","","","19470714","0","HRB01","MEM","L","exhibition","y"
"HOM194707140","kaisc101","HOM","1","lower","21","","30","7","","0","0","4","","1","","2","1","0","0","","","","","","","","","19470714","0","HRB01","MEM","L","exhibition","y"
"HOM194707140","kaisc101","HOM","1","upper","21","","30","7","","0","0","4","","1","","2","1","0","0","","","","","","","","","19470714","0","HRB01","MEM","L","exhibition","y"
"CVB194707300","kaisc101","HOM","1","value","24","","","1","","","1","5","","","","","","","","","","","1","","1","","1","19470730","0","LOU05","CVB","L","exhibition",""
"CVB194707300","kaisc101","HOM","1","lower","24","","","1","","","1","5","","","","","","","","","","","","","","","","19470730","0","LOU05","CVB","L","exhibition",""
