"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"ATN193804240","kempg101","ATN","1","4","value","27","1","2","0","0","0","0","19380424","0","ATL04","HOM","L","exhibition","y"
"ATN193804240","kempg101","ATN","1","4","lower","27","1","2","0","0","0","0","19380424","0","ATL04","HOM","L","exhibition","y"
"ATN193804240","kempg101","ATN","1","4","upper","27","1","2","0","0","0","0","19380424","0","ATL04","HOM","L","exhibition","y"
"MEM193809180","kempg101","ATN","1","4","value","24","3","4","0","1","0","0","19380918","0","MEM02","MEM","L","lcs","y"
"MEM193809180","kempg101","ATN","1","4","lower","24","3","4","0","1","0","0","19380918","0","MEM02","MEM","L","lcs","y"
"MEM193809180","kempg101","ATN","1","4","upper","24","3","4","0","1","0","0","19380918","0","MEM02","MEM","L","lcs","y"
"MEM193809190","kempg101","ATN","1","4","value","24","1","3","0","0","0","0","19380919","0","MEM02","MEM","L","lcs","y"
"MEM193809190","kempg101","ATN","1","4","lower","24","1","3","0","0","0","0","19380919","0","MEM02","MEM","L","lcs","y"
"MEM193809190","kempg101","ATN","1","4","upper","24","1","3","0","0","0","0","19380919","0","MEM02","MEM","L","lcs","y"
"CV9193905212","kempg101","ATN","1","4","value","15","2","3","0","0","0","0","19390521","2","CLE07","CV9","L","regular","y"
"CV9193905212","kempg101","ATN","1","4","lower","15","2","3","0","0","0","0","19390521","2","CLE07","CV9","L","regular","y"
"CV9193905212","kempg101","ATN","1","4","upper","15","2","3","0","0","0","0","19390521","2","CLE07","CV9","L","regular","y"
"CV9194006301","kempg101","CV9","1","8","value","27","","","0","0","0","0","19400630","1","ATL04","BIR","L","regular","y"
"CV9194006301","kempg101","CV9","1","8","lower","27","","","0","0","0","0","19400630","1","ATL04","BIR","L","regular","y"
"CV9194006301","kempg101","CV9","1","8","upper","27","","","0","0","0","0","19400630","1","ATL04","BIR","L","regular","y"
"CV9194006302","kempg101","CV9","1","8","value","18","","","0","0","0","0","19400630","2","ATL04","BIR","W","regular","y"
"CV9194006302","kempg101","CV9","1","8","lower","18","","","0","0","0","0","19400630","2","ATL04","BIR","W","regular","y"
"CV9194006302","kempg101","CV9","1","8","upper","18","","","0","0","0","0","19400630","2","ATL04","BIR","W","regular","y"
"JAX194107140","kempg101","JAX","1","7","value","27","1","0","0","0","0","0","19410714","0","DAV01","BIR","L","regular","y"
"JAX194107140","kempg101","JAX","1","7","lower","27","1","0","0","0","0","0","19410714","0","DAV01","BIR","L","regular","y"
"JAX194107140","kempg101","JAX","1","7","upper","27","1","0","0","0","0","0","19410714","0","DAV01","BIR","L","regular","y"
"BIR194107210","kempg101","JAX","1","4","value","24","","","0","1","0","0","19410721","0","WIN01","BIR","L","regular",""
"BIR194107210","kempg101","JAX","1","4","lower","24","","","0","1","0","0","19410721","0","WIN01","BIR","L","regular",""
"BIR194107210","kempg101","JAX","1","4","upper","24","","","0","1","0","0","19410721","0","WIN01","BIR","L","regular",""
"PH5194108140","kempg101","JAX","1","4","value","24","1","3","0","0","0","0","19410814","0","PHI17","PH5","L","exhibition","y"
"PH5194108140","kempg101","JAX","1","4","lower","24","1","3","0","0","0","0","19410814","0","PHI17","PH5","L","exhibition","y"
"PH5194108140","kempg101","JAX","1","4","upper","24","1","3","0","0","0","0","19410814","0","PHI17","PH5","L","exhibition","y"
