"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"BLG194407231","kingw102","NY5","1","7","value","","","","2","0","0","0","19440723","1","BAL14","BLG","L","regular","y"
"BLG194407231","kingw102","NY5","1","7","lower","","","","2","0","0","0","19440723","1","BAL14","BLG","L","regular","y"
"BLG194407231","kingw102","NY5","1","7","upper","","","","2","0","0","0","19440723","1","BAL14","BLG","L","regular","y"
"BLG194407232","kingw102","NY5","1","7","value","18","","","0","0","0","0","19440723","2","BAL14","BLG","L","regular","y"
"BLG194407232","kingw102","NY5","1","7","lower","18","","","0","0","0","0","19440723","2","BAL14","BLG","L","regular","y"
"BLG194407232","kingw102","NY5","1","7","upper","18","","","0","0","0","0","19440723","2","BAL14","BLG","L","regular","y"
"HOM194407301","kingw102","NY5","1","7","value","26","","","0","0","0","0","19440730","1","WAS09","HOM","L","regular","y"
"HOM194407301","kingw102","NY5","1","7","lower","24","","","0","0","0","0","19440730","1","WAS09","HOM","L","regular","y"
"HOM194407301","kingw102","NY5","1","7","upper","26","","","0","0","0","0","19440730","1","WAS09","HOM","L","regular","y"
"HOM194407302","kingw102","NY5","1","7","value","18","","","0","0","0","0","19440730","2","WAS09","HOM","L","regular","y"
"HOM194407302","kingw102","NY5","1","7","lower","18","","","0","0","0","0","19440730","2","WAS09","HOM","L","regular","y"
"HOM194407302","kingw102","NY5","1","7","upper","18","","","0","0","0","0","19440730","2","WAS09","HOM","L","regular","y"
"CAG194408310","kingw102","CVB","1","6","value","24","3","1","0","0","0","0","19440831","0","RAC01","CAG","L","regular","y"
"CAG194408310","kingw102","CVB","1","6","lower","24","3","1","0","0","0","0","19440831","0","RAC01","CAG","L","regular","y"
"CAG194408310","kingw102","CVB","1","6","upper","24","3","1","0","0","0","0","19440831","0","RAC01","CAG","L","regular","y"
"CVB194409031","kingw102","CVB","1","6","value","27","","","0","","0","0","19440903","1","CLE06","CAG","W","regular",""
"CVB194409031","kingw102","CVB","1","6","lower","27","","","0","","0","0","19440903","1","CLE06","CAG","W","regular",""
"CVB194409031","kingw102","CVB","1","6","upper","27","","","0","","0","0","19440903","1","CLE06","CAG","W","regular",""
"CVB194409110","kingw102","CVB","1","6","value","27","","","0","","0","0","19440911","0","DAY03","HOM","L","exhibition",""
"CVB194409110","kingw102","CVB","1","6","lower","27","","","0","","0","0","19440911","0","DAY03","HOM","L","exhibition",""
"CVB194409110","kingw102","CVB","1","6","upper","27","","","0","","0","0","19440911","0","DAY03","HOM","L","exhibition",""
"HOM194409130","kingw102","CVB","1","6","value","24","3","5","1","3","0","0","19440913","0","WAP01","HOM","T","exhibition","y"
"HOM194409130","kingw102","CVB","1","6","lower","24","3","5","1","3","0","0","19440913","0","WAP01","HOM","T","exhibition","y"
"HOM194409130","kingw102","CVB","1","6","upper","24","3","5","1","3","0","0","19440913","0","WAP01","HOM","T","exhibition","y"
"HOM194409140","kingw102","CVB","1","6","value","24","","","0","1","0","0","19440914","0","WAS09","HOM","L","exhibition","y"
"HOM194409140","kingw102","CVB","1","6","lower","24","","","0","1","0","0","19440914","0","WAS09","HOM","L","exhibition","y"
"HOM194409140","kingw102","CVB","1","6","upper","24","","","0","1","0","0","19440914","0","WAS09","HOM","L","exhibition","y"
"BLG194409171","kingw102","CVB","1","6","value","30","","","1","1","0","0","19440917","1","BAL14","BLG","W","exhibition","y"
"BLG194409171","kingw102","CVB","1","6","lower","30","","","1","1","0","0","19440917","1","BAL14","BLG","W","exhibition","y"
"BLG194409171","kingw102","CVB","1","6","upper","30","","","1","1","0","0","19440917","1","BAL14","BLG","W","exhibition","y"
"BLG194409172","kingw102","CVB","1","6","value","18","","","0","0","0","0","19440917","2","BAL14","BLG","L","exhibition","y"
"BLG194409172","kingw102","CVB","1","6","lower","18","","","0","0","0","0","19440917","2","BAL14","BLG","L","exhibition","y"
"BLG194409172","kingw102","CVB","1","6","upper","18","","","0","0","0","0","19440917","2","BAL14","BLG","L","exhibition","y"
"CAG194504291","kingw102","CAG","1","4","value","21","3","3","1","0","0","0","19450429","1","NOL01","CVB","L","exhibition","y"
"CAG194504291","kingw102","CAG","1","4","lower","21","3","3","1","0","0","0","19450429","1","NOL01","CVB","L","exhibition","y"
"CAG194504291","kingw102","CAG","1","4","upper","21","3","3","1","0","0","0","19450429","1","NOL01","CVB","L","exhibition","y"
"KCM194505060","kingw102","CAG","1","9","value","","2","0","0","0","0","0","19450506","0","KAN05","KCM","L","regular","y"
"KCM194505060","kingw102","CAG","1","9","lower","","2","0","0","0","0","0","19450506","0","KAN05","KCM","L","regular","y"
"KCM194505060","kingw102","CAG","1","9","upper","","2","0","0","0","0","0","19450506","0","KAN05","KCM","L","regular","y"
"CAG194505250","kingw102","CAG","1","4","value","27","","","0","0","0","0","19450525","0","SPR03","KCM","L","regular","y"
"CAG194505250","kingw102","CAG","1","4","lower","27","","","0","0","0","0","19450525","0","SPR03","KCM","L","regular","y"
"CAG194505250","kingw102","CAG","1","4","upper","27","","","0","0","0","0","19450525","0","SPR03","KCM","L","regular","y"
"CAG194505270","kingw102","CAG","1","4","value","27","","","0","1","0","0","19450527","0","CHI10","KCM","W","regular","y"
"CAG194505270","kingw102","CAG","1","4","lower","27","","","0","1","0","0","19450527","0","CHI10","KCM","W","regular","y"
"CAG194505270","kingw102","CAG","1","4","upper","27","","","0","1","0","0","19450527","0","CHI10","KCM","W","regular","y"
"CAG194505280","kingw102","CAG","1","4","value","27","","","1","0","0","0","19450528","0","MIL03","KCM","W","regular","y"
"CAG194505280","kingw102","CAG","1","4","lower","27","","","1","0","0","0","19450528","0","MIL03","KCM","W","regular","y"
"CAG194505280","kingw102","CAG","1","4","upper","27","","","1","0","0","0","19450528","0","MIL03","KCM","W","regular","y"
"CAG194505290","kingw102","CAG","1","4","value","27","","","0","0","0","0","19450529","0","RAC01","KCM","L","regular","y"
"CAG194505290","kingw102","CAG","1","4","lower","27","","","0","0","0","0","19450529","0","RAC01","KCM","L","regular","y"
"CAG194505290","kingw102","CAG","1","4","upper","27","","","0","0","0","0","19450529","0","RAC01","KCM","L","regular","y"
"CAG194505310","kingw102","CAG","1","4","value","27","","","0","0","0","0","19450531","0","SPR03","KCM","L","regular","y"
"CAG194505310","kingw102","CAG","1","4","lower","27","","","0","0","0","0","19450531","0","SPR03","KCM","L","regular","y"
"CAG194505310","kingw102","CAG","1","4","upper","27","","","0","0","0","0","19450531","0","SPR03","KCM","L","regular","y"
"CAG194506031","kingw102","CAG","1","5","value","27","2","2","0","0","0","0","19450603","1","CHI10","MEM","W","regular","y"
"CAG194506031","kingw102","CAG","1","5","lower","27","","","0","0","0","0","19450603","1","CHI10","MEM","W","regular","y"
"CAG194506031","kingw102","CAG","1","5","upper","27","","","0","0","0","0","19450603","1","CHI10","MEM","W","regular","y"
"CAG194506050","kingw102","CAG","1","4","value","27","","","1","2","0","0","19450605","0","MIL03","MEM","W","regular","y"
"CAG194506050","kingw102","CAG","1","4","lower","27","","","1","2","0","0","19450605","0","MIL03","MEM","W","regular","y"
"CAG194506050","kingw102","CAG","1","4","upper","27","","","1","2","0","0","19450605","0","MIL03","MEM","W","regular","y"
"CAG194506101","kingw102","CAG","1","4","value","27","2","4","0","0","0","0","19450610","1","CHI10","BIR","L","regular","y"
"CAG194506101","kingw102","CAG","1","4","lower","27","","","0","0","0","0","19450610","1","CHI10","BIR","L","regular","y"
"CAG194506101","kingw102","CAG","1","4","upper","27","","","0","0","0","0","19450610","1","CHI10","BIR","L","regular","y"
"CAG194506241","kingw102","CAG","1","4","value","27","","","0","0","0","0","19450624","1","CHI10","CVB","L","regular","y"
"CAG194506241","kingw102","CAG","1","4","lower","27","","","0","0","0","0","19450624","1","CHI10","CVB","L","regular","y"
"CAG194506241","kingw102","CAG","1","4","upper","27","","","0","0","0","0","19450624","1","CHI10","CVB","L","regular","y"
"CAG194507151","kingw102","CAG","1","4","value","27","","","0","0","0","0","19450715","1","CHI10","MEM","W","regular","y"
"CAG194507151","kingw102","CAG","1","4","lower","27","","","0","0","0","0","19450715","1","CHI10","MEM","W","regular","y"
"CAG194507151","kingw102","CAG","1","4","upper","27","","","0","0","0","0","19450715","1","CHI10","MEM","W","regular","y"
"CAG194507160","kingw102","CAG","1","4","value","27","2","4","1","0","0","0","19450716","0","MIL03","MEM","L","regular","y"
"CAG194507160","kingw102","CAG","1","4","lower","27","","","1","0","0","0","19450716","0","MIL03","MEM","L","regular","y"
"CAG194507160","kingw102","CAG","1","4","upper","27","","","1","0","0","0","19450716","0","MIL03","MEM","L","regular","y"
"CAG194507170","kingw102","CAG","1","4","value","27","1","4","0","1","0","0","19450717","0","GBW01","MEM","W","regular","y"
"CAG194507170","kingw102","CAG","1","4","lower","27","1","4","0","1","0","0","19450717","0","GBW01","MEM","W","regular","y"
"CAG194507170","kingw102","CAG","1","4","upper","27","1","4","0","1","0","0","19450717","0","GBW01","MEM","W","regular","y"
"CAG194507180","kingw102","CAG","1","4","value","27","","","0","0","0","0","19450718","0","RAC01","MEM","W","regular","y"
"CAG194507180","kingw102","CAG","1","4","lower","27","","","0","0","0","0","19450718","0","RAC01","MEM","W","regular","y"
"CAG194507180","kingw102","CAG","1","4","upper","27","","","0","0","0","0","19450718","0","RAC01","MEM","W","regular","y"
"CAG194606100","kingw102","CAG","1","4","value","27","1","6","1","1","0","0","19460610","0","DAV01","IN9","L","regular","y"
"CAG194606100","kingw102","CAG","1","4","lower","27","1","6","1","1","0","0","19460610","0","DAV01","IN9","L","regular","y"
"CAG194606100","kingw102","CAG","1","4","upper","27","1","6","1","1","0","0","19460610","0","DAV01","IN9","L","regular","y"
"CAG194606110","kingw102","CAG","1","4","value","21","","","0","0","0","0","19460611","0","SPR03","IN9","W","regular","y"
"CAG194606110","kingw102","CAG","1","4","lower","21","","","0","0","0","0","19460611","0","SPR03","IN9","W","regular","y"
"CAG194606110","kingw102","CAG","1","4","upper","21","","","0","0","0","0","19460611","0","SPR03","IN9","W","regular","y"
"NY5194704200","kingw102","HOM","1","4","value","27","0","1","0","0","0","0","19470420","0","NYC16","NY5","T","exhibition","y"
"NY5194704200","kingw102","HOM","1","4","lower","27","0","1","0","0","0","0","19470420","0","NYC16","NY5","T","exhibition","y"
"NY5194704200","kingw102","HOM","1","4","upper","27","0","1","0","0","0","0","19470420","0","NYC16","NY5","T","exhibition","y"
"HOM194704271","kingw102","HOM","1","4","value","27","4","2","0","1","0","0","19470427","1","WAS09","NY5","W","exhibition","y"
"HOM194704271","kingw102","HOM","1","4","lower","27","4","2","0","1","0","0","19470427","1","WAS09","NY5","W","exhibition","y"
"HOM194704271","kingw102","HOM","1","4","upper","27","4","2","0","1","0","0","19470427","1","WAS09","NY5","W","exhibition","y"
"HOM194705031","kingw102","HOM","1","4","value","","0","0","0","0","0","0","19470503","1","PIT06","NY6","L","regular","y"
"HOM194705031","kingw102","HOM","1","4","lower","","0","0","0","0","0","0","19470503","1","PIT06","NY6","L","regular","y"
"HOM194705031","kingw102","HOM","1","4","upper","","0","0","0","0","0","0","19470503","1","PIT06","NY6","L","regular","y"
"HOM194705041","kingw102","HOM","1","4","value","27","0","1","1","1","0","0","19470504","1","WAS09","NY6","L","regular","y"
"HOM194705041","kingw102","HOM","1","4","lower","27","0","1","1","1","0","0","19470504","1","WAS09","NY6","L","regular","y"
"HOM194705041","kingw102","HOM","1","4","upper","27","0","1","1","1","0","0","19470504","1","WAS09","NY6","L","regular","y"
