"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"SAS193708220","lamac101","SAS","7","1","value","4","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19370822","0","BIR01","NAS","L","allstar","y"
"SAS193708220","lamac101","SAS","7","1","lower","4","0","0","0","0","0","0","0","","0","","","","0","","","","","","","19370822","0","BIR01","NAS","L","allstar","y"
"SAS193708220","lamac101","SAS","7","1","upper","4","0","0","0","0","0","0","0","","0","","","","0","","","","","","","19370822","0","BIR01","NAS","L","allstar","y"
"CV9194003240","lamac101","CV9","8","1","value","3","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","19400324","0","JKV01","SNO","W","exhibition","y"
"CV9194003240","lamac101","CV9","8","1","lower","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400324","0","JKV01","SNO","W","exhibition","y"
"CV9194003240","lamac101","CV9","8","1","upper","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400324","0","JKV01","SNO","W","exhibition","y"
"CV9194003310","lamac101","CV9","8","1","value","2","0","0","0","0","0","0","0","","1","1","","","1","","","0","","","","19400331","0","JKV01","SNO","W","exhibition","y"
"CV9194003310","lamac101","CV9","8","1","lower","2","0","0","0","0","0","0","0","","1","","","","1","","","0","","","","19400331","0","JKV01","SNO","W","exhibition","y"
"CV9194003310","lamac101","CV9","8","1","upper","2","0","0","0","0","0","0","0","","1","","","","1","","","0","","","","19400331","0","JKV01","SNO","W","exhibition","y"
"HOM194004050","lamac101","CV9","8","1","value","2","1","1","0","0","0","1","0","","0","3","","","0","","","0","","","","19400405","0","ORL01","HOM","L","exhibition","y"
"HOM194004050","lamac101","CV9","8","1","lower","2","1","1","0","0","0","1","0","","0","","","","0","","","0","","","","19400405","0","ORL01","HOM","L","exhibition","y"
"HOM194004050","lamac101","CV9","8","1","upper","2","1","1","0","0","0","0","0","","0","","","","0","","","0","","","","19400405","0","ORL01","HOM","L","exhibition","y"
"CV9194004170","lamac101","CV9","6","1","value","4","3","1","1","0","0","0","0","","0","0","0","","1","","","0","","","","19400417","0","JKV01","NW2","W","exhibition","y"
"CV9194004170","lamac101","CV9","6","1","lower","4","3","1","1","0","0","0","0","","0","","","","1","","","0","","","","19400417","0","JKV01","NW2","W","exhibition","y"
"CV9194004170","lamac101","CV9","6","1","upper","4","3","1","1","0","0","0","0","","0","","","","1","","","0","","","","19400417","0","JKV01","NW2","W","exhibition","y"
"CV9194005121","lamac101","CV9","8","1","value","4","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","19400512","1","ATL04","CAG","W","regular","y"
"CV9194005121","lamac101","CV9","8","1","lower","4","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19400512","1","ATL04","CAG","W","regular","y"
"CV9194005121","lamac101","CV9","8","1","upper","4","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19400512","1","ATL04","CAG","W","regular","y"
"CV9194005122","lamac101","CV9","8","1","value","2","0","1","0","0","0","","0","","0","1","","","0","","","0","","","","19400512","2","ATL04","CAG","T","regular","y"
"CV9194005122","lamac101","CV9","8","1","lower","2","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19400512","2","ATL04","CAG","T","regular","y"
"CV9194005122","lamac101","CV9","8","1","upper","2","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19400512","2","ATL04","CAG","T","regular","y"
"CAG194005180","lamac101","CV9","8","1","value","4","0","0","0","0","0","0","0","","0","0","0","0","0","","","0","","","","19400518","0","CHI09","CAG","W","regular","y"
"CAG194005180","lamac101","CV9","8","1","lower","4","0","0","0","0","0","0","0","","0","","","0","0","","","0","","","","19400518","0","CHI09","CAG","W","regular","y"
"CAG194005180","lamac101","CV9","8","1","upper","4","0","0","0","0","0","0","0","","0","","","0","0","","","0","","","","19400518","0","CHI09","CAG","W","regular","y"
"CAG194005191","lamac101","CV9","8","1","value","4","0","1","0","1","0","1","0","","0","1","","","0","","","0","","","","19400519","1","CHI09","CAG","W","regular","y"
"CAG194005191","lamac101","CV9","8","1","lower","4","0","1","0","1","0","1","0","","0","","","","0","","","0","","","","19400519","1","CHI09","CAG","W","regular","y"
"CAG194005191","lamac101","CV9","8","1","upper","4","0","1","0","1","0","1","0","","0","","","","0","","","0","","","","19400519","1","CHI09","CAG","W","regular","y"
"CV9194005261","lamac101","CV9","8","1","value","3","0","0","0","0","0","","0","","0","1","","","0","","","0","","","","19400526","1","CLE06","SNO","L","regular","y"
"CV9194005261","lamac101","CV9","8","1","lower","3","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19400526","1","CLE06","SNO","L","regular","y"
"CV9194005261","lamac101","CV9","8","1","upper","3","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19400526","1","CLE06","SNO","L","regular","y"
"CV9194005262","lamac101","CV9","8","1","value","3","1","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","19400526","2","CLE06","SNO","L","regular","y"
"CV9194005262","lamac101","CV9","8","1","lower","3","1","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","19400526","2","CLE06","SNO","L","regular","y"
"CV9194005262","lamac101","CV9","8","1","upper","3","1","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","19400526","2","CLE06","SNO","L","regular","y"
"CV9194006021","lamac101","CV9","8","1","value","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19400602","1","CLE06","KCM","L","regular","y"
"CV9194006021","lamac101","CV9","8","1","lower","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400602","1","CLE06","KCM","L","regular","y"
"CV9194006021","lamac101","CV9","8","1","upper","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400602","1","CLE06","KCM","L","regular","y"
"CV9194006022","lamac101","CV9","7","1","value","3","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19400602","2","CLE06","KCM","L","regular","y"
"CV9194006022","lamac101","CV9","7","1","lower","3","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19400602","2","CLE06","KCM","L","regular","y"
"CV9194006022","lamac101","CV9","7","1","upper","3","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19400602","2","CLE06","KCM","L","regular","y"
"CV9194006030","lamac101","CV9","7","1","value","4","1","1","0","0","0","","0","","0","0","0","","0","","","0","","","","19400603","0","WAR02","KCM","W","regular","y"
"CV9194006030","lamac101","CV9","7","1","lower","4","1","1","0","0","0","","0","","0","","","","0","","","0","","","","19400603","0","WAR02","KCM","W","regular","y"
"CV9194006030","lamac101","CV9","7","1","upper","4","1","1","0","0","0","","0","","0","","","","0","","","0","","","","19400603","0","WAR02","KCM","W","regular","y"
"CV9194006091","lamac101","CV9","5","1","value","3","0","1","1","0","0","","0","","0","0","0","","0","","","0","","","","19400609","1","CLE06","IN8","W","regular","y"
"CV9194006091","lamac101","CV9","5","1","lower","3","0","1","1","0","0","","0","","0","0","0","","0","","","0","","","","19400609","1","CLE06","IN8","W","regular","y"
"CV9194006091","lamac101","CV9","5","1","upper","3","0","1","1","0","0","","0","","0","0","0","","0","","","0","","","","19400609","1","CLE06","IN8","W","regular","y"
"CV9194006092","lamac101","CV9","5","1","value","3","0","0","0","0","0","","1","","0","0","0","0","0","","","0","","","","19400609","2","CLE06","IN8","W","regular","y"
"CV9194006092","lamac101","CV9","5","1","lower","3","0","0","0","0","0","","1","","0","","","0","0","","","0","","","","19400609","2","CLE06","IN8","W","regular","y"
"CV9194006092","lamac101","CV9","5","1","upper","4","0","0","0","0","0","","1","","0","","","0","0","","","0","","","","19400609","2","CLE06","IN8","W","regular","y"
"BIR194006231","lamac101","CV9","7","1","value","4","0","2","","","","","","","","0","0","","","","","","","","","19400623","1","BIR01","BIR","W","regular","y"
"BIR194006231","lamac101","CV9","7","1","lower","4","0","2","","","","","","","","0","0","","","","","","","","","19400623","1","BIR01","BIR","W","regular","y"
