"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"WBS193807020","longe101","WBS","8","1","value","4","4","0","0","","","","","0","","0","0","","","","","","","","","","","19380702","0","WAS09","NW2","l","regular","y"
"WBS193807031","longe101","WBS","8","1","value","4","4","0","0","","","","","","","","","","","","","","","","","","","19380703","1","WAS09","PH5","l","regular","y"
"BLG193807160","longe101","WBS","8","1","value","4","3","0","0","","","","","0","","0","1","","","","","","","","","","","19380716","0","BAL14","BLG","w","regular","y"
"PH5194005181","longe101","PH5","1","1","value","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19400518","1","PHI17","NW2","w","regular","y"
"PH5194005182","longe101","PH5","1","1","value","4","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19400518","2","PHI17","NW2","w","regular","y"
"NW2194005191","longe101","PH5","1","1","value","5","4","0","0","0","0","0","","0","","0","1","","","0","","","0","","","","","19400519","1","NWK04","NW2","l","regular","y"
"NW2194005192","longe101","PH5","1","1","value","4","3","2","2","0","0","0","","1","","0","0","0","","0","","","0","","","","","19400519","2","NWK04","NW2","w","regular","y"
"HOM194005261","longe101","PH5","1","1","value","4","4","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400526","1","NYC16","HOM","l","regular","y"
"NW2194006021","longe101","PH5","6","2","value","2","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400602","1","ALB02","NW2","l","regular","y"
"NW2194006022","longe101","PH5","6","1","value","4","4","1","2","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400602","2","ALB02","NW2","w","regular","y"
"PH5194006060","longe101","PH5","8","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400606","0","PHI17","HOM","l","regular","y"
"KCM194504260","longe101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19450426","0","HOU04","CIA","l","exhibition",""
"KCM194504260","longe101","KCM","","","lower","","1","","","","","","","","","","","","","","","","","","","","","19450426","0","HOU04","CIA","l","exhibition",""
"KCM194504280","longe101","KCM","","","value","","","","3","","","","","","","","","","","","","","","","","","","19450428","0","SAT01","CIA","l","exhibition",""
"KCM194504280","longe101","KCM","","","lower","","3","","3","","","","","","","","","","","","","","","","","","","19450428","0","SAT01","CIA","l","exhibition",""
"KCM194505090","longe101","KCM","7","1","value","4","4","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19450509","0","OKC02","CAG","l","regular","y"
