"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BLG194204122","loudl101","NY6","","","value","","","","","","","","","","","","","","","","","","","","","19420412","2","NOL01","BLG","L","exhibition",""
"BLG194204122","loudl101","NY6","","","lower","","","","","","","","","","","","","","","","","","","","","19420412","2","NOL01","BLG","L","exhibition",""
"BLG194204122","loudl101","NY6","","","upper","","","","","","","","","","","","","","","","","","","","","19420412","2","NOL01","BLG","L","exhibition",""
"BLG194204190","loudl101","NY6","8","1","value","3","1","0","","","","0","","","","1","","","","","","","","","","19420419","0","ATL04","BLG","W","exhibition","y"
"BLG194204190","loudl101","NY6","8","1","lower","3","1","0","","","","0","","","","1","","","","","","","","","","19420419","0","ATL04","BLG","W","exhibition","y"
"BLG194204190","loudl101","NY6","8","1","upper","3","1","0","","","","0","","","","1","","","","","","","","","","19420419","0","ATL04","BLG","W","exhibition","y"
"NW2194205101","loudl101","NY6","7","1","value","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19420510","1","NWK04","NW2","L","regular","y"
"NW2194205101","loudl101","NY6","7","1","lower","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19420510","1","NWK04","NW2","L","regular","y"
"NW2194205101","loudl101","NY6","7","1","upper","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19420510","1","NWK04","NW2","L","regular","y"
"NW2194205102","loudl101","NY6","7","1","value","4","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19420510","2","NWK04","NW2","W","regular","y"
"NW2194205102","loudl101","NY6","7","1","lower","4","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19420510","2","NWK04","NW2","W","regular","y"
"NW2194205102","loudl101","NY6","7","1","upper","4","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19420510","2","NWK04","NW2","W","regular","y"
"PH5194205140","loudl101","NY6","7","1","value","3","0","2","0","0","0","0","0","","0","0","0","","0","","","0","","","","19420514","0","CAM02","PH5","L","exhibition","y"
"PH5194205140","loudl101","NY6","7","1","lower","3","0","2","0","0","0","0","0","","0","","","","0","","","0","","","","19420514","0","CAM02","PH5","L","exhibition","y"
"PH5194205140","loudl101","NY6","7","1","upper","3","0","2","0","0","0","0","0","","0","","","","0","","","0","","","","19420514","0","CAM02","PH5","L","exhibition","y"
"HOM194205260","loudl101","NY6","8","2","value","2","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19420526","0","ERI01","HOM","L","exhibition","y"
"HOM194205260","loudl101","NY6","8","2","lower","2","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19420526","0","ERI01","HOM","L","exhibition","y"
