"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"NYL192510180","masoc102","NYL","4","1","value","6","1","4","2","0","0","1","0","","0","0","0","","1","","","0","","","","19251018","0","NYC24","BXG","L","exhibition","y"
"NYL192510180","masoc102","NYL","4","1","lower","6","1","4","2","0","0","1","0","","0","0","0","","1","","","0","","","","19251018","0","NYC24","BXG","L","exhibition","y"
"NYL192510180","masoc102","NYL","4","1","upper","6","1","4","2","0","0","1","0","","0","0","0","","1","","","0","","","","19251018","0","NYC24","BXG","L","exhibition","y"
"NYL192609191","masoc102","NYL","3","1","value","4","1","2","0","1","0","","0","","0","0","0","","1","","","0","","","","19260919","1","NYC24","CUE","L","exhibition","y"
"NYL192609191","masoc102","NYL","3","1","lower","4","1","2","0","1","0","","0","","0","0","0","","1","","","0","","","","19260919","1","NYC24","CUE","L","exhibition","y"
"NYL192609191","masoc102","NYL","3","1","upper","4","1","2","0","1","0","","0","","0","0","0","","1","","","0","","","","19260919","1","NYC24","CUE","L","exhibition","y"
"NYL192609192","masoc102","NYL","3","1","value","4","1","1","0","0","1","","0","","0","0","0","0","0","","","0","","","","19260919","2","NYC24","CUE","W","exhibition","y"
"NYL192609192","masoc102","NYL","3","1","lower","4","1","1","0","0","1","","0","","0","","","0","0","","","0","","","","19260919","2","NYC24","CUE","W","exhibition","y"
"NYL192609192","masoc102","NYL","3","1","upper","4","1","1","0","0","1","","0","","0","","","0","0","","","0","","","","19260919","2","NYC24","CUE","W","exhibition","y"
"BLS192810211","masoc102","BLS","7","2","value","0","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19281021","1","BAL13","ASB","W","exhibition","y"
"BLS192810211","masoc102","BLS","7","2","lower","0","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19281021","1","BAL13","ASB","W","exhibition","y"
"BLS192810211","masoc102","BLS","7","2","upper","0","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19281021","1","BAL13","ASB","W","exhibition","y"
"BLS192810280","masoc102","BLS","4","1","value","3","1","0","0","0","0","","0","","0","1","","","0","","","","","","","19281028","0","BAL13","ASB","L","exhibition","y"
"BLS192810280","masoc102","BLS","4","1","lower","3","1","0","0","0","0","","0","","0","1","","","0","","","","","","","19281028","0","BAL13","ASB","L","exhibition","y"
"BLS192810280","masoc102","BLS","4","1","upper","3","1","0","0","0","0","","0","","0","1","","","0","","","","","","","19281028","0","BAL13","ASB","L","exhibition","y"
