"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"CV9194004170","mattf101","NW2","3","1","value","4","1","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19400417","0","JKV01","CV9","L","exhibition","y"
"CV9194004170","mattf101","NW2","3","1","lower","4","1","1","0","0","0","0","0","","0","","","","0","","","0","","","","19400417","0","JKV01","CV9","L","exhibition","y"
"CV9194004170","mattf101","NW2","3","1","upper","4","1","1","0","0","0","0","0","","0","","","","0","","","0","","","","19400417","0","JKV01","CV9","L","exhibition","y"
"NW2194005050","mattf101","NW2","1","1","value","4","0","1","1","0","0","0","0","","0","0","0","1","0","","","0","","","","19400505","0","NWK04","NY5","W","regular","y"
"NW2194005050","mattf101","NW2","1","1","lower","4","0","1","1","0","0","0","0","","0","","","1","0","","","0","","","","19400505","0","NWK04","NY5","W","regular","y"
"NW2194005050","mattf101","NW2","1","1","upper","4","0","1","1","0","0","0","0","","0","","","1","0","","","0","","","","19400505","0","NWK04","NY5","W","regular","y"
"NW2194005121","mattf101","NW2","1","1","value","6","1","3","1","0","0","2","0","","0","0","0","","0","","","0","","","","19400512","1","NOR02","NY5","W","regular","y"
"NW2194005121","mattf101","NW2","1","1","lower","6","1","3","1","0","0","2","0","","0","","","","0","","","0","","","","19400512","1","NOR02","NY5","W","regular","y"
"NW2194005121","mattf101","NW2","1","1","upper","6","1","3","1","0","0","2","0","","0","","","","0","","","0","","","","19400512","1","NOR02","NY5","W","regular","y"
"NY5194005122","mattf101","NW2","1","1","value","4","2","2","0","0","1","3","0","","0","0","0","","0","","","0","","","","19400512","2","NOR02","NY5","L","regular","y"
"NY5194005122","mattf101","NW2","1","1","lower","4","2","2","0","0","1","3","0","","0","","","","0","","","0","","","","19400512","2","NOR02","NY5","L","regular","y"
"NY5194005122","mattf101","NW2","1","1","upper","4","2","2","0","0","1","3","0","","0","","","","0","","","0","","","","19400512","2","NOR02","NY5","L","regular","y"
"NW2194005130","mattf101","NW2","1","1","value","5","0","2","0","1","0","2","0","","0","0","0","","0","","","0","","","","19400513","0","DUR01","NY5","L","exhibition","y"
"NW2194005130","mattf101","NW2","1","1","lower","5","0","2","0","1","0","2","0","","0","","","","0","","","0","","","","19400513","0","DUR01","NY5","L","exhibition","y"
"NW2194005130","mattf101","NW2","1","1","upper","5","0","2","0","1","0","2","0","","0","","","","0","","","0","","","","19400513","0","DUR01","NY5","L","exhibition","y"
"PH5194005181","mattf101","NW2","1","1","value","5","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","19400518","1","PHI17","PH5","L","regular","y"
"PH5194005181","mattf101","NW2","1","1","lower","5","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","19400518","1","PHI17","PH5","L","regular","y"
"PH5194005181","mattf101","NW2","1","1","upper","5","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","19400518","1","PHI17","PH5","L","regular","y"
"PH5194005182","mattf101","NW2","1","1","value","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19400518","2","PHI17","PH5","L","regular","y"
"PH5194005182","mattf101","NW2","1","1","lower","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19400518","2","PHI17","PH5","L","regular","y"
"PH5194005182","mattf101","NW2","1","1","upper","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19400518","2","PHI17","PH5","L","regular","y"
"NW2194005191","mattf101","NW2","1","1","value","4","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19400519","1","NWK04","PH5","W","regular","y"
"NW2194005191","mattf101","NW2","1","1","lower","4","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19400519","1","NWK04","PH5","W","regular","y"
"NW2194005191","mattf101","NW2","1","1","upper","4","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19400519","1","NWK04","PH5","W","regular","y"
