"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"NY6194504081","mirop101","NY6","7","1","value","4","1","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19450408","1","NOL01","CVB","W","exhibition","y"
"NY6194504081","mirop101","NY6","7","1","lower","4","1","1","0","0","0","0","0","","0","","","","0","","","0","","","","19450408","1","NOL01","CVB","W","exhibition","y"
"NY6194504081","mirop101","NY6","7","1","upper","4","1","1","0","0","0","0","0","","0","","","","0","","","0","","","","19450408","1","NOL01","CVB","W","exhibition","y"
"NY6194504151","mirop101","NY6","7","1","value","4","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19450415","1","NOL01","BLG","W","exhibition","y"
"NY6194504151","mirop101","NY6","7","1","lower","4","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19450415","1","NOL01","BLG","W","exhibition","y"
"NY6194504151","mirop101","NY6","7","1","upper","4","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19450415","1","NOL01","BLG","W","exhibition","y"
"NY6194504152","mirop101","NY6","7","1","value","3","1","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19450415","2","NOL01","BLG","W","exhibition","y"
"NY6194504152","mirop101","NY6","7","1","lower","3","1","1","0","0","0","0","0","","0","","","","0","","","0","","","","19450415","2","NOL01","BLG","W","exhibition","y"
"NY6194504152","mirop101","NY6","7","1","upper","3","1","1","0","0","0","0","0","","0","","","","0","","","0","","","","19450415","2","NOL01","BLG","W","exhibition","y"
"NY6194804251","mirop101","NY6","8","1","value","3","1","1","0","0","0","0","0","","0","1","","","0","","","0","","","","19480425","1","NYC14","PH5","W","exhibition","y"
"NY6194804251","mirop101","NY6","8","1","lower","3","1","1","0","0","0","0","0","","0","","","","0","","","0","","","","19480425","1","NYC14","PH5","W","exhibition","y"
"NY6194804251","mirop101","NY6","8","1","upper","3","1","1","0","0","0","0","0","","0","","","","0","","","0","","","","19480425","1","NYC14","PH5","W","exhibition","y"
"PH5194805010","mirop101","NY6","8","1","value","5","2","2","2","0","0","2","0","","1","0","","","0","","","","","","","19480501","0","CHE01","PH5","W","regular","y"
"PH5194805010","mirop101","NY6","8","1","lower","5","2","2","0","0","0","2","0","","1","","","","0","","","","","","","19480501","0","CHE01","PH5","W","regular","y"
"PH5194805010","mirop101","NY6","8","1","upper","5","2","2","2","0","0","2","0","","1","","","","0","","","","","","","19480501","0","CHE01","PH5","W","regular","y"
"NY6194805021","mirop101","NY6","8","1","value","3","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","","","","19480502","1","NYC16","HOM","W","regular","y"
"NY6194805021","mirop101","NY6","8","1","lower","3","0","0","0","0","0","1","1","","0","","","","0","","","0","","","","19480502","1","NYC16","HOM","W","regular","y"
"NY6194805021","mirop101","NY6","8","1","upper","3","0","0","0","0","0","1","1","","0","","","","0","","","0","","","","19480502","1","NYC16","HOM","W","regular","y"
"BLG194805060","mirop101","NY6","8","1","value","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","19480506","0","HRB01","BLG","T","regular","y"
"BLG194805060","mirop101","NY6","8","1","lower","3","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19480506","0","HRB01","BLG","T","regular","y"
"BLG194805060","mirop101","NY6","8","1","upper","3","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19480506","0","HRB01","BLG","T","regular","y"
"NY6194805091","mirop101","NY6","8","1","value","2","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19480509","1","NYC14","PH5","W","regular","y"
"NY6194805091","mirop101","NY6","8","1","lower","2","0","1","0","0","0","","0","","0","","","","0","","","","","","","19480509","1","NYC14","PH5","W","regular","y"
"NY6194805091","mirop101","NY6","8","1","upper","2","0","1","0","0","0","","0","","0","","","","0","","","","","","","19480509","1","NYC14","PH5","W","regular","y"
"NY6194805092","mirop101","NY6","8","1","value","3","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19480509","2","NYC14","PH5","W","regular","y"
"NY6194805092","mirop101","NY6","8","1","lower","3","0","0","0","0","0","","0","","0","","","","0","","","","","","","19480509","2","NYC14","PH5","W","regular","y"
"NY6194805092","mirop101","NY6","8","1","upper","3","0","0","0","0","0","","0","","0","","","","0","","","","","","","19480509","2","NYC14","PH5","W","regular","y"
"NY6194805110","mirop101","NY6","8","1","value","3","1","2","0","0","0","","0","","0","1","","","0","","","","","","","19480511","0","WIL04","NY5","W","regular","y"
"NY6194805110","mirop101","NY6","8","1","lower","3","1","2","","","","","","","","","","","","","","","","","","19480511","0","WIL04","NY5","W","regular","y"
"NY6194805110","mirop101","NY6","8","1","upper","3","1","2","","","","","","","","","","","","","","","","","","19480511","0","WIL04","NY5","W","regular","y"
"BLG194805141","mirop101","NY6","8","1","value","3","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19480514","1","PHI11","BLG","L","regular","y"
"BLG194805141","mirop101","NY6","8","1","lower","","0","1","","","","","","","","","","","","","","","","","","19480514","1","PHI11","BLG","L","regular","y"
"BLG194805141","mirop101","NY6","8","1","upper","","0","1","","","","","","","","","","","","","","","","","","19480514","1","PHI11","BLG","L","regular","y"
"HOM194805190","mirop101","NY6","8","1","value","3","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19480519","0","HRB01","HOM","L","regular","y"
"HOM194805190","mirop101","NY6","8","1","lower","3","0","0","","","","","","","","0","","","","","","","","","","19480519","0","HRB01","HOM","L","regular","y"
"HOM194805190","mirop101","NY6","8","1","upper","3","0","0","","","","","","","","0","","","","","","","","","","19480519","0","HRB01","HOM","L","regular","y"
"NY6194805231","mirop101","NY6","8","1","value","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19480523","1","NYC16","BLG","L","regular","y"
"NY6194805231","mirop101","NY6","8","1","lower","4","0","1","0","0","0","","0","","0","","","","0","","","","","","","19480523","1","NYC16","BLG","L","regular","y"
"NY6194805231","mirop101","NY6","8","1","upper","4","0","1","0","0","0","","0","","0","","","","0","","","","","","","19480523","1","NYC16","BLG","L","regular","y"
"BLG194805250","mirop101","NY6","8","1","value","3","1","1","0","0","0","","0","","0","0","","","0","","","","","","","19480525","0","BAL14","BLG","L","regular","y"
"BLG194805250","mirop101","NY6","8","1","lower","3","1","1","0","0","0","","0","","0","0","","","0","","","","","","","19480525","0","BAL14","BLG","L","regular","y"
"BLG194805250","mirop101","NY6","8","1","upper","3","1","1","0","0","0","","0","","0","0","","","0","","","","","","","19480525","0","BAL14","BLG","L","regular","y"
"NW2194805280","mirop101","NY6","8","1","value","3","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19480528","0","NWK04","NW2","L","regular","y"
"NW2194805280","mirop101","NY6","8","1","lower","3","0","1","","","","","","","","","","","","","","","","","","19480528","0","NWK04","NW2","L","regular","y"
"NW2194805280","mirop101","NY6","8","1","upper","3","0","1","","","","","","","","","","","","","","","","","","19480528","0","NWK04","NW2","L","regular","y"
"NY6194806061","mirop101","NY6","9","5","value","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19480606","1","NYC14","HOM","L","regular","y"
"NY6194806061","mirop101","NY6","9","5","lower","1","0","0","0","0","0","","0","","0","","","","0","","","","","","","19480606","1","NYC14","HOM","L","regular","y"
"NY6194806061","mirop101","NY6","9","5","upper","1","0","0","0","0","0","","0","","0","","","","0","","","","","","","19480606","1","NYC14","HOM","L","regular","y"
"BLG194806080","mirop101","NY6","9","2","value","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19480608","0","BAL14","BLG","L","regular","y"
"BLG194806080","mirop101","NY6","9","2","lower","1","0","0","0","0","0","","0","","0","","","","0","","","","","","","19480608","0","BAL14","BLG","L","regular","y"
"BLG194806080","mirop101","NY6","9","2","upper","1","0","0","0","0","0","","0","","0","","","","0","","","","","","","19480608","0","BAL14","BLG","L","regular","y"
