"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"PH5193804101","missj102","PH5","1","1","value","27","","","","","","","","","","1","19380410","1","PHI01","KCM","w","exhibition",""
"PH5193804130","missj102","PH5","1","1","value","","0","1","0","","","","","","","1","19380413","0","GAL01","HOM","l","exhibition","y"
"MEM193804170","missj102","PH5","","1","value","","","","","","","","","","","","19380417","0","MEM02","MEM","w","exhibition",""
"BLG193805012","missj102","PH5","1","1","value","2","","","0","0","","","","","","","19380501","2","NSH02","BLG","l","exhibition","y"
"PH5193805221","missj102","PH5","1","1","value","","0","0","0","","","","","","","","19380522","1","PHI16","HOM","l","regular","y"
"PH5193806060","missj102","PH5","1","1","value","24","0","4","0","","","","","","","1","19380606","0","CHE02","WBS","w","regular","y"
"PH5193806192","missj102","PH5","2","1","value","","0","","0","","","","","","","","19380619","2","PHI16","NW2","w","regular","y"
"NW2193807173","missj102","PH5","1","1","value","27","","","","","","","","","","","19380717","3","TRE01","NW2","w","exhibition",""
"PH5193808202","missj102","PH5","1","1","value","18","0","","0","","","","","","","1","19380820","2","PHI17","NY5","w","exhibition","y"
"PH5193906101","missj102","PH5","1","1","value","27","0","","0","0","0","","","","","1","19390610","1","PHI17","NY5","w","regular","y"
"PH5193906171","missj102","PH5","1","1","value","6","0","","0","0","0","","","","","","19390617","1","PHI17","NW2","l","regular","y"
"PH5193906182","missj102","PH5","1","1","value","11","0","0","0","0","0","","","","","","19390618","2","PHI17","HOM","l","regular","y"
"PH5193906242","missj102","PH5","1","1","value","10","0","","0","0","0","","","","","1","19390624","2","PHI17","HOM","l","regular","y"
"PH5193907011","missj102","PH5","1","1","value","27","0","0","0","0","0","","","","","1","19390701","1","PHI17","NY5","w","regular","y"
"PH5193907042","missj102","PH5","1","1","value","21","","","0","","0","0","","","","1","19390704","2","PHI17","BLG","w","regular",""
"PH5193907081","missj102","PH5","1","1","value","27","0","0","0","0","0","","","","","1","19390708","1","PHI17","BLG","l","regular","y"
"PH5193907152","missj102","PH5","1","1","value","7","0","1","0","0","0","","","","","1","19390715","2","PHI17","HOM","l","regular","y"
"HOM193907161","missj102","PH5","1","1","value","6","","","0","0","0","","","","","","19390716","1","WAS09","HOM","l","regular","y"
"PH5193907221","missj102","PH5","1","1","value","20","0","0","0","0","0","","","","","1","19390722","1","PHI17","NY5","w","regular","y"
"HOM193907240","missj102","PH5","1","1","value","3","0","1","0","0","0","","","","","","19390724","0","GRE04","HOM","l","regular","y"
"HOM193907270","missj102","PH5","1","1","value","16","0","1","0","0","0","","","","","1","19390727","0","WAR03","HOM","w","exhibition","y"
"PH5193908052","missj102","PH5","1","1","value","15","0","3","0","0","0","","","","","1","19390805","2","PHI17","NY6","w","regular","y"
"PH5193908100","missj102","PH5","1","1","value","7","0","","0","0","0","","","","","","19390810","0","PHI17","NY5","w","regular","y"
"PH5193908121","missj102","PH5","1","1","value","1","","","0","0","0","","","","","","19390812","1","PHI17","NW2","w","regular","y"
"PH5194005110","missj102","PH5","1","1","value","3","0","0","0","0","0","","","","","0","19400511","0","PHI17","BLG","l","regular","y"
"PH5194006012","missj102","PH5","1","1","value","0","0","0","1","0","0","","","","","1","19400601","2","PHI17","HOM","l","regular","y"
"NW2194006021","missj102","PH5","1","1","value","6","0","1","0","0","0","","","","","","19400602","1","ALB02","NW2","l","regular","y"
"NW2194006022","missj102","PH5","1","1","value","15","0","0","0","0","0","","","","","","19400602","2","ALB02","NW2","w","regular","y"
"PH5194006060","missj102","PH5","1","1","value","6","0","0","0","0","0","","","","","","19400606","0","PHI17","HOM","l","regular","y"
"PH5194006092","missj102","PH5","1","1","value","6","0","0","0","0","0","","","","","","19400609","2","HRB01","NY6","l","regular","y"
"NY5194006140","missj102","PH5","1","1","value","18","","","0","0","0","","","","","1","19400614","0","PAT01","NY5","l","regular","y"
"PH5194006221","missj102","PH5","1","1","value","2","0","0","0","0","0","","","","","","19400622","1","PHI17","KCM","w","exhibition","y"
"HOM194006231","missj102","PH5","1","1","value","0","","","0","0","0","","","","","","19400623","1","WAS09","HOM","l","regular","y"
"HOM194006232","missj102","PH5","1","1","value","7","","","0","0","0","","","","","1","19400623","2","WAS09","HOM","l","regular","y"
"PH5194006291","missj102","PH5","1","1","value","1","0","1","0","0","0","","","","","","19400629","1","PHI17","NY5","w","regular","y"
"PH5194007042","missj102","PH5","1","1","value","3","0","0","0","0","0","","","","","","19400704","2","PHI17","NW2","l","regular","y"
"PH5194007061","missj102","PH5","1","1","value","12","0","1","0","0","0","","","","","1","19400706","1","PHI17","NY6","l","regular","y"
"PH5194007131","missj102","PH5","1","1","value","9","0","0","0","0","0","","","","","","19400713","1","PHI17","HOM","w","regular","y"
"PH5194007132","missj102","PH5","1","1","value","6","0","0","0","0","0","","","","","","19400713","2","PHI17","HOM","l","regular","y"
"PH5194007201","missj102","PH5","1","1","value","3","0","0","0","0","0","","","","","","19400720","1","PHI17","BLG","l","regular","y"
"PH5194007202","missj102","PH5","1","1","value","3","0","0","0","0","0","","","","","","19400720","2","PHI17","BLG","l","regular","y"
"HOM194007310","missj102","PH5","1","1","value","24","0","1","1","0","0","","","","","1","19400731","0","ALT02","HOM","l","regular","y"
"PH5194008031","missj102","PH5","1","1","value","12","0","0","0","0","0","","","","","","19400803","1","PHI17","SNO","w","exhibition","y"
"PH5194008032","missj102","PH5","1","1","value","21","0","1","0","0","0","","","","","1","19400803","2","PHI17","SNO","w","exhibition","y"
"PH5194008102","missj102","PH5","1","1","value","21","0","4","0","0","0","","","","","1","19400810","2","PHI17","MEM","l","exhibition","y"
"HOM194008182","missj102","PH5","1","1","value","2","","","0","0","0","","","","","","19400818","2","WAS09","HOM","l","exhibition","y"
