"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"KCM192008010","moord102","KCM","1","6","value","36","2","1","0","0","0","","","","","1","19200801","0","KAN02","CAG","w","regular","y"
"CAG192105070","moord102","KCM","1","6","value","24","","","0","0","0","","","","","","19210507","0","CHI09","CAG","l","regular","y"
"CAG192105080","moord102","KCM","1","6","value","27","","","0","0","0","","","","","","19210508","0","CHI09","CAG","w","regular","y"
"CAG192105090","moord102","KCM","1","6","value","24","","","0","0","0","","","","","","19210509","0","CHI09","CAG","l","regular","y"
"KCM192106120","moord102","KCM","1","6","value","27","6","3","2","1","0","","","","","","19210612","0","KAN02","CNN","w","regular","y"
"KCM192107250","moord102","KCM","1","6","value","27","1","7","0","0","0","","","","","","19210725","0","KAN02","DT1","w","regular","y"
"KCM192308052","moord102","KCM","1","6","value","27","0","7","0","0","0","","","","","","19230805","2","KAN05","ML4","w","regular","y"
"KCM192404272","moord102","KCM","1","6","value","24","2","2","0","1","1","","","","","","19240427","2","KAN05","SSN","w","regular","y"
"HIL192410030","moord102","KCM","1","6","value","27","4","7","0","1","0","","","","","1","19241003","0","PHI09","HIL","w","championship","y"
"HIL192410040","moord102","KCM","1","6","value","24","3","3","0","0","0","","","","","1","19241004","0","PHI09","HIL","l","championship","y"
"HIL192410050","moord102","KCM","1","6","value","39","1","5","0","2","0","","","","","1","19241005","0","BAL13","HIL","t","championship","y"
"HIL192410060","moord102","KCM","1","6","value","24","0","3","0","0","0","","","","","1","19241006","0","BAL13","HIL","l","championship","y"
"KCM192410110","moord102","KCM","1","6","value","27","1","6","2","0","0","","","","","1","19241011","0","KAN05","HIL","l","championship","y"
"KCM192410120","moord102","KCM","1","6","value","27","3","4","0","1","0","","","","","1","19241012","0","KAN05","HIL","w","championship","y"
"KCM192410140","moord102","KCM","1","6","value","36","3","3","0","1","0","","","","","1","19241014","0","KAN05","HIL","w","championship","y"
"KCM192410180","moord102","KCM","1","6","value","27","0","4","0","0","0","","","","","1","19241018","0","CHI09","HIL","w","championship","y"
"KCM192410190","moord102","KCM","1","6","value","27","2","4","2","0","0","","","","","1","19241019","0","CHI09","HIL","l","championship","y"
"KCM192410200","moord102","KCM","1","6","value","27","4","2","0","0","0","","","","","1","19241020","0","CHI09","HIL","w","championship","y"
"KCM192508110","moord102","KCM","1","6","value","27","2","1","1","0","1","","","","","","19250811","0","KAN05","SSN","l","regular","y"
"SSN192509190","moord102","KCM","1","6","value","27","1","4","0","1","0","","","","","1","19250919","0","STL12","SSN","w","lcs","y"
"SSN192509200","moord102","KCM","1","6","value","24","3","3","1","2","0","","","","","1","19250920","0","STL12","SSN","l","lcs","y"
"SSN192509230","moord102","KCM","1","6","value","24","3","2","1","0","0","","","","","1","19250923","0","STL12","SSN","l","lcs","y"
"KCM192509260","moord102","KCM","1","6","value","27","4","5","0","0","0","","","","","1","19250926","0","CHI09","SSN","w","lcs","y"
"KCM192509270","moord102","KCM","1","6","value","27","2","3","0","0","0","","","","","1","19250927","0","CHI09","SSN","l","lcs","y"
"KCM192509281","moord102","KCM","1","6","value","27","2","4","1","0","0","","","","","1","19250928","1","CHI09","SSN","w","lcs","y"
"KCM192509282","moord102","KCM","1","6","value","24","2","4","0","0","0","","","","","1","19250928","2","CHI09","SSN","w","lcs","y"
"KCM192510010","moord102","KCM","1","6","value","36","3","4","0","0","0","","","","","1","19251001","0","KAN05","HIL","l","championship","y"
"KCM192510020","moord102","KCM","1","6","value","27","4","6","0","0","0","","","","","1","19251002","0","KAN05","HIL","w","championship","y"
"KCM192510030","moord102","KCM","1","6","value","30","3","8","0","1","0","","","","","1","19251003","0","KAN05","HIL","l","championship","y"
"KCM192510040","moord102","KCM","1","6","value","27","2","5","0","0","0","","","","","1","19251004","0","KAN05","HIL","l","championship","y"
"HIL192510080","moord102","KCM","1","6","value","24","4","5","0","1","0","","","","","1","19251008","0","PHI09","HIL","l","championship","y"
"HIL192510100","moord102","KCM","1","6","value","24","1","1","1","0","0","","","","","1","19251010","0","PHI09","HIL","l","championship","y"
