"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"KCM194604040","napol101","CCR","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19460404","0","HOU04","KCM","l","exhibition",""
"IN9194607090","napol101","CCR","1","value","21","","","","","","","2","","","","","","","","","","","","","1","","","1","","","19460709","0","RCI01","IN9","w","exhibition",""
"IN9194607090","napol101","CCR","1","upper","24","","","","","","","3","","","","","","","","","","","","","","","","","","","19460709","0","RCI01","IN9","w","exhibition",""
"BLG194607250","napol101","CCR","1","value","24","","37","12","0","1","0","8","","1","","4","0","2","0","1","","","","","","1","","1","","1","19460725","0","HRB01","BLG","l","exhibition","y"
"KCM194608130","napol101","CCR","1","value","24","","37","8","0","1","0","4","3","1","","5","0","0","0","0","","","","","","1","","1","","1","19460813","0","CBI01","KCM","l","exhibition","y"
"CCR194608181","napol101","CCR","1","value","9","","","","","","","5","","","","","","","","","","","","","","1","","1","","","19460818","1","CIN07","CAG","l","exhibition",""
"NY6194609020","napol101","CCR","3","value","3","","","","","","","0","0","","","","","","","","","","","","","","","","1","","19460902","0","NYC14","NY6","l","exhibition",""
"KCM194704110","napol101","KCM","2","value","3","2","","2","","","","4","4","5","","","","","","","","","","","","1","","","","","19470411","0","WAC01","BIR","l","exhibition",""
"KCM194705010","napol101","KCM","1","value","9","","17","4","0","0","0","4","","3","0","2","0","0","0","0","0","","","","","","","1","","","19470501","0","OKC02","IN9","w","exhibition","y"
"KCM194705080","napol101","KCM","1","value","24","2","35","4","0","0","0","1","","5","0","10","1","0","0","","0","","","","1","","","1","","","19470508","0","KAN05","CAG","w","regular","y"
"BIR194705130","napol101","KCM","1","value","6","","","3","","","","3","3","1","","","","","","","","","","","","1","","1","","","19470513","0","SHR01","BIR","l","regular",""
"BIR194705130","napol101","KCM","1","upper","6","","","8","","","","3","3","1","","","","","","","","","","","","","","","","","19470513","0","SHR01","BIR","l","regular",""
"CAG194705182","napol101","KCM","1","value","3","4","","","","","","4","3","","","","1","","","","","","","","","1","","1","","","19470518","2","CHI10","CAG","l","regular",""
"KCM194705302","napol101","KCM","2","value","3","","7","4","0","0","0","3","","0","0","0","0","0","0","0","0","","","","","","","","","","19470530","2","KAN05","MEM","w","regular","y"
