"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BLS192710090","neunj101","ASB","5","1","value","4","4","0","2","0","0","0","0","0","","0","0","","","1","","","","","","","","19271009","0","BAL13","BLS","l","exhibition","y"
"BLS192710160","neunj101","ASB","5","1","value","3","2","0","0","0","0","0","","0","","0","1","","","2","","","","","","","","19271016","0","BAL13","BLS","l","exhibition","y"
"BLS192710230","neunj101","ASB","5","1","value","5","5","1","1","0","0","0","","0","","0","0","","","1","","","","","","","","19271023","0","BAL13","BLS","l","exhibition","y"
"BLS192710300","neunj101","ASB","5","1","value","4","3","1","0","0","0","0","","0","","0","1","","","0","","","","","","","","19271030","0","BAL13","BLS","l","exhibition","y"
"BLS192810070","neunj101","ASB","2","1","value","5","4","1","0","0","0","0","","0","","0","1","","","0","","","","","","","","19281007","0","BAL13","BLS","w","exhibition","y"
"BLS192810140","neunj101","ASB","2","1","value","4","4","0","0","0","0","0","","0","","0","0","","1","0","","","","","","","","19281014","0","BAL13","BLS","l","exhibition","y"
"BLS192810211","neunj101","ASB","2","1","value","4","4","0","0","0","0","0","","0","","0","0","","","1","","","","","","","","19281021","1","BAL13","BLS","l","exhibition","y"
"BLS192810280","neunj101","ASB","2","1","value","5","4","0","1","0","0","0","","0","","0","1","","","0","","","","","","","","19281028","0","BAL13","BLS","w","exhibition","y"
"BLS192909291","neunj101","ASB","3","1","value","5","4","1","1","1","0","0","","0","","0","1","","","0","","","","","","","","19290929","1","BAL13","BLS","w","exhibition","y"
"BLS192909292","neunj101","ASB","3","1","value","3","3","1","1","0","0","1","1","0","","0","0","","","0","","","","","","","","19290929","2","BAL13","BLS","l","exhibition","y"
"BLS192910061","neunj101","ASB","3","1","value","4","2","0","1","0","0","0","","0","","0","2","","","0","","","","","","","","19291006","1","BAL13","BLS","l","exhibition","y"
"BLS192910062","neunj101","ASB","3","1","value","4","4","1","1","0","0","0","","0","","0","0","","","0","","","","","","","","19291006","2","BAL13","BLS","w","exhibition","y"
"BLS192910131","neunj101","ASB","3","1","value","5","4","0","0","0","0","0","","0","","0","1","","","0","","","","","","","","19291013","1","BAL13","BLS","l","exhibition","y"
"BLS192910132","neunj101","ASB","3","1","value","3","3","0","1","1","0","0","","0","","0","0","","","0","","","","","","","","19291013","2","BAL13","BLS","l","exhibition","y"
"BLS192910201","neunj101","ASB","3","1","value","4","3","1","1","0","0","0","","0","","0","1","","","0","","","","","","","","19291020","1","BAL13","BLS","l","exhibition","y"
"BLS192910202","neunj101","ASB","3","1","value","2","2","0","2","0","0","0","","0","","0","0","","","0","","","","","","","","19291020","2","BAL13","BLS","l","exhibition","y"
"BLS192910270","neunj101","ASB","2","1","value","5","5","1","1","0","0","0","","0","","0","0","","","0","","","","","","","","19291027","0","BAL13","BLS","l","exhibition","y"
"BLS193010051","neunj101","ASB","2","1","value","5","5","1","2","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","","","","19301005","1","BAL13","BLS","l","exhibition","y"
"BLS193010052","neunj101","ASB","2","1","value","3","2","0","0","0","0","0","","1","","0","0","","","0","","","","","","","","19301005","2","BAL13","BLS","l","exhibition","y"
"BLS193010120","neunj101","ASB","1","1","value","4","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19301012","0","BAL13","BLS","l","exhibition","y"
"BLS193010191","neunj101","ASB","2","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","","","","19301019","1","BAL13","BLS","l","exhibition","y"
"BLS193010192","neunj101","ASB","2","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","19301019","2","BAL13","BLS","w","exhibition","y"
"BLS193010260","neunj101","ASB","1","1","value","5","5","0","2","1","0","0","","0","","0","0","","","0","","","","","","","","19301026","0","BAL13","BLS","l","exhibition","y"
