"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"PRG193310291","newsb101","PIR","1","1","value","24","0","3","0","0","0","0","19331029","1","LOS05","PRG","L","exhibition","y"
"PRG193310291","newsb101","PIR","1","1","lower","24","0","3","0","0","0","0","19331029","1","LOS05","PRG","L","exhibition","y"
"PRG193310291","newsb101","PIR","1","1","upper","24","0","3","0","0","0","0","19331029","1","LOS05","PRG","L","exhibition","y"
"PRG193311122","newsb101","PIR","1","1","value","18","1","1","0","0","0","0","19331112","2","LOS05","PRG","W","exhibition","y"
"PRG193311122","newsb101","PIR","1","1","lower","18","1","1","0","0","0","0","19331112","2","LOS05","PRG","W","exhibition","y"
"PRG193311122","newsb101","PIR","1","1","upper","18","1","1","0","0","0","0","19331112","2","LOS05","PRG","W","exhibition","y"
"PRG193312251","newsb101","PIR","1","1","value","27","2","2","1","0","0","0","19331225","1","LOS05","PRG","W","exhibition","y"
"PRG193312251","newsb101","PIR","1","1","lower","27","2","2","1","0","0","0","19331225","1","LOS05","PRG","W","exhibition","y"
"PRG193312251","newsb101","PIR","1","1","upper","27","2","2","1","0","0","0","19331225","1","LOS05","PRG","W","exhibition","y"
"PRG193401071","newsb101","PIR","1","1","value","21","","","0","","0","0","19340107","1","LOS05","PRG","L","exhibition",""
"PRG193401071","newsb101","PIR","1","1","lower","21","","","0","","0","0","19340107","1","LOS05","PRG","L","exhibition",""
"PRG193401071","newsb101","PIR","1","1","upper","21","","","0","","0","0","19340107","1","LOS05","PRG","L","exhibition",""
"KCR194311050","newsb101","MLS","1","1","value","3","0","0","0","0","0","0","19431105","0","LOS02","KCR","W","exhibition","y"
"KCR194311050","newsb101","MLS","1","1","lower","3","0","0","0","0","0","0","19431105","0","LOS02","KCR","W","exhibition","y"
"KCR194311050","newsb101","MLS","1","1","upper","3","0","0","0","0","0","0","19431105","0","LOS02","KCR","W","exhibition","y"
"BCG194311071","newsb101","PIR","1","1","value","18","0","3","0","0","0","0","19431107","1","LOS04","BCG","L","exhibition","y"
"BCG194311071","newsb101","PIR","1","1","lower","18","0","3","0","0","0","0","19431107","1","LOS04","BCG","L","exhibition","y"
"BCG194311071","newsb101","PIR","1","1","upper","18","0","3","0","0","0","0","19431107","1","LOS04","BCG","L","exhibition","y"
