"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"SAS193708220","olivj102","SAS","1","4","value","6","2","2","0","0","0","","","","","1","19370822","0","BIR01","NAS","l","allstar","y"
"CAG194506031","olivj102","MEM","1","4","value","24","3","6","0","0","0","","","","","1","19450603","1","CHI10","CAG","l","regular","y"
"CAG194506050","olivj102","MEM","1","4","value","24","","","2","1","0","","","","","1","19450605","0","MIL03","CAG","l","regular","y"
"MEM194506171","olivj102","MEM","1","7","value","12","1","0","0","0","0","","","","","","19450617","1","CHI11","CIA","w","regular","y"
"CAG194507151","olivj102","MEM","1","7","value","24","","","0","0","0","","","","","1","19450715","1","CHI10","CAG","l","regular","y"
"CAG194507160","olivj102","MEM","1","7","value","27","0","0","0","0","0","","","","","1","19450716","0","MIL03","CAG","w","regular","y"
"CAG194507170","olivj102","MEM","1","7","value","24","1","0","0","0","0","","","","","1","19450717","0","GBW01","CAG","l","regular","y"
"CAG194507180","olivj102","MEM","1","7","value","24","","","0","0","0","","","","","1","19450718","0","RAC01","CAG","l","regular","y"
"CAG194507190","olivj102","MEM","1","7","value","24","","","0","0","0","","","","","1","19450719","0","SPR03","CAG","l","regular","y"
"MEM194507221","olivj102","MEM","1","7","value","27","","","0","0","0","","","","","1","19450722","1","DET04","KCM","l","regular","y"
"MEM194507222","olivj102","MEM","1","7","value","21","","","0","0","0","","","","","1","19450722","2","DET04","KCM","l","regular","y"
"MEM194507230","olivj102","MEM","1","7","value","27","","","1","0","0","","","","","1","19450723","0","FLI01","KCM","l","regular","y"
"BIR194609270","olivj102","MEM","1","2","value","18","","","0","","0","","","","","1","19460927","0","BIR01","BIR","l","exhibition",""
"MEM194610060","olivj102","BIR","1","2","value","24","","","0","","0","","","","","1","19461006","0","MEM03","MEM","l","exhibition",""
