"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"CV9193905142","owens101","CV9","1","value","27","0","30","4","1","0","0","1","1","0","0","1","0","0","0","1","0","1","0","0","1","","","1","","1","19390514","2","CLE07","CAG","w","regular","y"
"CV9193905212","owens101","CV9","1","value","8","0","16","6","0","2","1","7","4","1","0","0","0","0","0","1","0","1","0","0","1","","","1","","","19390521","2","CLE07","ATN","w","regular","y"
"KCM193905302","owens101","CV9","1","value","18","5","26","6","2","1","0","3","3","1","0","2","0","0","0","0","0","0","0","0","","1","","1","","1","19390530","2","KAN05","KCM","l","regular","y"
"CAG193906030","owens101","CV9","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19390603","0","CHI09","CAG","l","regular",""
"CAG193906042","owens101","CV9","","value","","","","","","1","","","","","","","","","","","","","","","","","","1","","","19390604","2","CHI09","CAG","l","regular",""
"CAG193906042","owens101","CV9","","lower","9","","","2","","1","","3","","1","","","","","","","","","","","","","","1","","","19390604","2","CHI09","CAG","l","regular",""
"ATN193906150","owens101","CV9","2","value","14","0","17","1","0","0","0","0","0","2","0","1","0","0","0","1","0","0","0","0","1","","","","1","","19390615","0","ATL04","ATN","w","regular","y"
"CV9193906182","owens101","CV9","1","value","27","","31","7","0","0","0","1","1","4","","3","0","0","0","0","","","","","1","","","1","","1","19390618","2","CLE07","KCM","w","regular","y"
"MEM193907042","owens101","CV9","1","value","18","","","5","","","","1","1","1","","","","","","","","","","","","1","","1","","1","19390704","2","MEM02","MEM","l","regular",""
"MEM193907060","owens101","CV9","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19390706","0","MEM02","MEM","w","regular",""
"CV9193907091","owens101","CV9","2","value","9","0","10","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","","","","1","","19390709","1","CLE06","MEM","w","regular","y"
"CV9193907092","owens101","CV9","1","value","21","0","27","3","1","0","0","2","2","3","0","1","1","0","0","2","0","1","1","0","1","","","1","","1","19390709","2","CLE06","MEM","w","regular","y"
"CV9193907161","owens101","CV9","1","value","27","","36","9","3","0","1","3","","1","","4","0","0","0","2","","","","","1","","","1","","1","19390716","1","KAN05","TLC","w","regular","y"
"MEM193907232","owens101","CV9","1","value","21","","","3","","","","0","0","","","","","","","","","","","","1","","","1","","1","19390723","2","MEM02","MEM","w","regular",""
"CV9193908061","owens101","CV9","1","value","30","","","","","","","3","","","","","","","","","","","","","","1","","1","","1","19390806","1","CLE06","CAG","l","regular",""
"CAG193908132","owens101","CV9","1","value","27","0","35","9","0","0","0","1","1","1","0","3","0","0","0","1","0","1","0","0","1","","","1","","1","19390813","2","CHI09","CAG","w","regular","y"
"CV9193908202","owens101","CV9","1","value","21","","27","6","0","0","0","0","0","4","","","0","0","0","0","","","","","1","","","1","","1","19390820","2","CLE06","TLC","w","regular","y"
"ASE193908270","owens101","ASW","1","value","4","0","10","3","0","0","0","5","5","2","0","0","1","0","0","0","1","1","1","0","","1","","1","","","19390827","0","NYC16","ASE","l","allstar","y"
"CV9194003240","owens101","CV9","1","value","9","","18","2","0","0","0","1","","8","0","4","0","0","0","1","0","","","","","","","1","","","19400324","0","JKV01","SNO","w","exhibition","y"
"CV9194003310","owens101","CV9","3","value","12","","14","3","0","0","0","0","","0","0","1","0","0","0","0","0","","","","1","","","","1","","19400331","0","JKV01","SNO","w","exhibition","y"
"HOM194004050","owens101","CV9","1","value","9","","13","2","0","0","0","0","","2","0","1","0","0","0","0","0","","","","","","","1","","","19400405","0","ORL01","HOM","l","exhibition","y"
"CV9194004150","owens101","CV9","2","value","","","","","","","","","","","","","","","","","","","","","","","","","","","19400415","0","JKV01","HOM","l","exhibition",""
"CV9194005262","owens101","CV9","1","value","11","","16","6","0","0","0","4","","0","0","1","0","0","0","","0","","","","","1","","1","","","19400526","2","CLE06","SNO","l","regular","y"
"BIR194006270","owens101","CV9","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19400627","0","BIR01","BIR","w","regular",""
"CCB194205312","owens101","CCB","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19420531","2","CLE06","JAX","l","regular",""
"CCB194206030","owens101","CCB","3","value","6","","6","0","0","0","0","0","","0","0","0","0","0","0","0","0","","","","","","","","1","","19420603","0","ERI01","JAX","w","regular","y"
"CCB194206110","owens101","CCB","1","value","27","","","4","","","","2","","","","","","","","","","","","","1","","","1","","1","19420611","0","NIA01","CAG","w","regular",""
"CCB194206142","owens101","CCB","1","value","21","","29","8","2","0","0","2","","1","","3","0","0","0","0","","","","","","1","","1","","1","19420614","2","CLE06","KCM","l","regular","y"
