"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"PH5193804130","partr102","HOM","1","value","9","","9","1","","0","0","0","0","0","","3","","","","","","","","","1","","","1","","","19380413","0","GAL01","PH5","w","exhibition","y"
"KCM193804140","partr102","HOM","4","value","3","","5","2","","","0","1","","0","","2","","","","","","","","","","","","","1","","19380414","0","HOU04","KCM","w","exhibition","y"
"NW2193806040","partr102","HOM","2","value","2","","3","1","","","","0","","","","","","","","","","","","","","","1","","1","","19380604","0","TRE01","NW2","w","regular","y"
"BLG193806180","partr102","HOM","1","value","24","","","16","","","3","12","","","","","","","","","","","","","","1","","1","","1","19380618","0","SPR04","BLG","l","regular",""
"PTC193807021","partr102","HOM","1","value","","","","","","","","","","","","","","","","","","","","","1","","","1","","","19380702","1","MSN01","PTC","w","regular",""
"PTC193807042","partr102","HOM","1","value","21","","","9","","","","3","","","","","","","","","","","","","1","","","1","","1","19380704","2","PIT09","PTC","w","regular",""
"BLG193807090","partr102","HOM","1","value","27","","38","8","0","0","0","3","","2","","2","0","","","0","","","","","1","","","1","1","1","19380709","0","BAL14","BLG","w","regular","y"
"HOM193807190","partr102","HOM","1","value","27","","38","9","2","0","0","3","","2","","","0","","","0","","","","","1","","","1","","1","19380719","0","COL05","NY5","w","regular","y"
"NW2193808011","partr102","HOM","1","value","21","","","3","","","0","0","0","","","12","","","","","","","","","1","","","1","","1","19380801","1","SYR04","NW2","w","",""
"HOM193904050","partr102","HOM","1","value","15","","","","","","","0","0","","","11","","","","","","","","","1","","","1","","","19390405","0","ORL01","NW2","w","exhibition",""
"CV9193904110","partr102","HOM","1","value","27","","","2","0","0","0","0","0","","","","","","","","","","","","1","","","1","","1","19390411","0","JKV01","CV9","w","exhibition",""
"HOM193904231","partr102","HOM","1","value","27","0","29","1","0","0","0","0","0","1","0","10","0","0","0","0","0","0","0","0","1","","","1","","1","19390423","1","NOL01","KCM","w","exhibition","y"
"HOM193904250","partr102","HOM","2","value","9","0","11","1","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","","","1","","1","","19390425","0","NOL01","KCM","w","exhibition","y"
"ATN193904280","partr102","HOM","2","value","","","","","","","","","","","","","","","","","","","","","","1","","","1","","19390428","0","SEL01","ATN","l","exhibition",""
"BLG193904301","partr102","HOM","1","value","27","","","4","","","","2","","2","","","","","","","","","","","1","","","1","","1","19390430","1","BIR01","BLG","w","exhibition",""
"BLG193905141","partr102","HOM","1","value","27","","36","5","1","0","0","1","","3","","1","0","0","0","1","","","","","1","","","1","","1","19390514","1","BAL10","BLG","w","regular","y"
"PH5193905201","partr102","HOM","1","value","24","","","","","","","4","","","","","","","","","","","","","","1","","1","","1","19390520","1","PHI17","PH5","l","regular",""
"HOM193905281","partr102","HOM","1","value","27","","33","5","1","0","0","2","","1","","3","0","0","0","0","","","","","1","","","1","","1","19390528","1","BUF06","PH5","w","regular","y"
"HOM193906101","partr102","HOM","1","value","27","","35","9","0","0","1","4","","3","","4","0","0","0","0","","","","","","1","","1","","1","19390610","1","PIT06","BLG","l","regular","y"
"PH5193906181","partr102","HOM","1","value","27","","31","4","1","0","0","0","0","2","","","0","0","0","0","0","","","","1","","","1","","1","19390618","1","PHI17","PH5","w","regular","y"
"PH5193906241","partr102","HOM","2","value","0","2","2","2","2","0","0","1","1","0","0","","0","0","0","0","","","","","","1","","","1","","19390624","1","PHI17","PH5","l","regular","y"
"NW2193907091","partr102","HOM","1","value","24","","35","9","0","0","1","6","","4","","","0","0","0","0","","","","","","1","","1","","1","19390709","1","NWK04","NW2","l","regular","y"
"HOM193907161","partr102","HOM","1","value","15","","25","8","","","0","6","","3","0","2","1","0","0","1","0","","","","","","","1","","","19390716","1","WAS09","PH5","w","regular","y"
"HOM193907240","partr102","HOM","1","value","27","","38","7","1","0","0","2","","3","","7","1","0","0","0","","","","","1","","","1","","1","19390724","0","GRE04","PH5","w","regular","y"
"HOM193908020","partr102","HOM","1","value","24","","33","4","0","1","0","3","","5","","7","0","0","0","0","","","","","1","","","1","","1","19390802","0","PIT06","NW2","w","regular","y"
"ASW193908060","partr102","ASE","3","value","4","0","8","4","0","0","2","3","3","0","0","0","0","0","0","1","0","0","0","0","","1","","","","","19390806","0","CHI10","ASW","l","allstar","y"
"BLG193909042","partr102","HOM","1","value","27","","","10","","","","3","","","","","","","","","","","","","1","","","1","","1","19390904","2","NYC23","BLG","w","regular",""
"HOM193909160","partr102","HOM","1","value","27","0","32","4","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","","","1","","1","19390916","0","PHI17","BLG","w","lcs","y"
"BLG193909240","partr102","HOM","1","value","24","0","32","7","2","0","0","2","0","1","0","4","0","0","0","1","0","0","0","0","","1","","1","","1","19390924","0","NYC16","BLG","l","lcs","y"
"BLG194104220","partr102","HOM","1","value","9","","11","2","0","0","0","0","0","0","0","1","0","0","0","","0","","","","","","","1","","","19410422","0","NOL01","BLG","w","exhibition","y"
"HOM194105030","partr102","HOM","1","value","27","","35","5","3","0","0","0","0","3","","4","0","0","0","0","","","","","1","","","1","","1","19410503","0","PIT06","BLG","w","exhibition","y"
"HOM194105100","partr102","HOM","3","value","0","","1","0","0","0","0","0","","1","0","0","0","0","0","0","0","","","","","","","","1","","19410510","0","HRB01","BLG","w","regular","y"
"BLG194105111","partr102","HOM","1","value","24","","33","4","1","0","1","5","","3","","5","0","0","0","0","","","","","","1","","1","","1","19410511","1","BAL10","BLG","l","regular","y"
"HOM194105181","partr102","HOM","1","value","27","","35","6","1","0","0","1","","2","","6","0","0","0","0","","","","","1","","","1","","1","19410518","1","CLE07","NY5","w","regular","y"
"HOM194106011","partr102","HOM","1","value","7","","15","8","0","0","0","5","","0","0","0","0","0","0","1","0","","","","","","","1","","","19410601","1","WAS09","PH5","w","regular","y"
"HOM194106081","partr102","HOM","1","value","13","","22","8","1","0","0","4","","1","0","2","0","0","0","","0","","","","1","","","1","","","19410608","1","WAS09","BLG","w","regular","y"
"NW2194106221","partr102","HOM","2","value","1","","4","2","0","0","0","0","","1","0","","0","0","0","","0","","","","","","","","","","19410622","1","NWK04","NW2","w","regular","y"
"HOM194107200","partr102","HOM","1","value","16","","24","6","0","0","0","3","","1","0","4","0","0","0","","0","","","","","","","1","","","19410720","0","WAS09","NW2","l","regular","y"
"HOM194107240","partr102","HOM","1","value","","","","","","","","","","","","","","","","","","","","","1","","","1","","","19410724","0","COL05","PH5","w","regular",""
"HOM194108032","partr102","HOM","2","value","14","0","22","5","2","0","0","3","3","3","0","0","0","0","0","0","0","0","0","0","","","","","","","19410803","2","DET04","BLG","w","regular","y"
"HOM194108232","partr102","HOM","1","value","21","","","6","","","","1","","","","","","","","","","","","","1","","","1","","1","19410823","2","PIT06","BLG","w","regular",""
"HOM194109071","partr102","HOM","1","value","30","","","","","","","6","","","","","","","","","","","","","1","","","1","","1","19410907","1","CIN07","NY6","w","championship",""
"NW2194109130","partr102","HOM","2","value","5","","6","0","0","0","0","0","0","1","0","0","0","0","0","","0","","","","","","","","1","","19410913","0","JER02","NW2","w","exhibition","y"
"NY6194109200","partr102","HOM","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19410920","0","PHI17","NY6","l","championship",""
"HOM194205102","partr102","HOM","1","value","21","","32","6","1","0","0","0","0","3","","3","0","0","0","0","","","","","1","","","1","","1","19420510","2","WAS09","NY5","w","regular","y"
"HOM194205260","partr102","HOM","1","value","27","","38","12","6","0","0","4","","0","","2","0","0","0","0","","","","","1","","","1","","1","19420526","0","ERI01","NY6","w","exhibition","y"
"HOM194206100","partr102","HOM","1","value","27","","35","6","0","0","3","4","","3","","6","0","1","0","0","","","","","1","","","1","","1","19420610","0","AKR01","NW2","w","exhibition","y"
"HOM194206180","partr102","HOM","1","value","30","","38","7","0","1","0","1","","2","","3","0","0","0","1","","","","","1","","","1","","1","19420618","0","WAS09","KCM","w","exhibition","y"
"HOM194206272","partr102","HOM","2","value","6","","14","4","0","0","0","4","","4","0","2","0","0","0","","0","","","","","","","","1","","19420627","2","PIT06","NW2","l","regular","y"
"BLG194207030","partr102","HOM","1","value","24","","32","5","1","0","0","1","1","4","","5","0","0","0","3","","","","","","1","","1","","1","19420703","0","BAL14","BLG","l","regular","y"
"PH5194207110","partr102","HOM","1","value","22","","33","7","0","0","0","3","0","2","0","","0","0","0","","0","","","","","1","","1","","","19420711","0","PHI17","PH5","l","regular","y"
"CCB194207140","partr102","HOM","2","value","9","","","","","","","","","","","","","","","","","","","","1","","","","","","19420714","0","COL05","CCB","w","exhibition",""
"CCB194207140","partr102","HOM","2","upper","15","","","","","","","","","","","","","","","","","","","","","","","","","","19420714","0","COL05","CCB","w","exhibition",""
"HOM194207210","partr102","HOM","1","value","29","","39","8","0","2","1","4","","3","0","6","0","0","0","1","0","","","","","","","1","","","19420721","0","PIT06","KCM","w","exhibition","y"
"CCB194207240","partr102","HOM","2","value","5","","5","0","0","0","0","0","","0","0","","0","0","0","","0","","","","1","","","","1","","19420724","0","BUF06","CCB","w","exhibition","y"
