"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"PRG192511070","payng102","WHK","1","value","29","0","42","12","1","0","4","5","5","2","0","2","0","0","0","0","0","1","","","1","","","19251107","0","LOS05","PRG","W","exhibition","y"
"PRG192511070","payng102","WHK","1","lower","29","0","42","12","1","0","4","5","5","2","0","2","0","0","0","0","0","","","","","","","19251107","0","LOS05","PRG","W","exhibition","y"
"PRG192511070","payng102","WHK","1","upper","29","0","42","12","1","0","4","5","5","2","0","8","0","0","0","0","0","","","","","","","19251107","0","LOS05","PRG","W","exhibition","y"
"PRG192511260","payng102","WHK","1","value","27","0","41","14","2","0","3","6","6","1","0","7","0","0","0","1","0","1","","","1","","1","19251126","0","LOS05","PRG","W","exhibition","y"
"PRG192511260","payng102","WHK","1","lower","27","0","41","14","2","0","3","6","6","1","0","7","0","0","0","1","0","","","","","","","19251126","0","LOS05","PRG","W","exhibition","y"
"PRG192511260","payng102","WHK","1","upper","27","0","41","14","2","0","3","6","6","1","0","7","0","0","0","1","0","","","","","","","19251126","0","LOS05","PRG","W","exhibition","y"
"PRG192512060","payng102","WHK","1","value","8","0","16","7","2","0","1","5","4","0","0","0","0","0","0","0","0","","","","1","","","19251206","0","LOS05","PRG","L","exhibition","y"
"PRG192512060","payng102","WHK","1","lower","8","0","16","7","2","0","1","5","4","0","0","0","0","0","0","0","0","","","","","","","19251206","0","LOS05","PRG","L","exhibition","y"
"PRG192512060","payng102","WHK","1","upper","8","0","16","7","2","0","1","5","4","0","0","0","0","0","0","0","0","","","","","","","19251206","0","LOS05","PRG","L","exhibition","y"
"PRG192601020","payng102","WHK","1","value","27","0","34","11","1","0","1","1","1","0","0","5","0","0","0","0","0","1","","","1","","1","19260102","0","LOS05","PRG","W","exhibition","y"
"PRG192601020","payng102","WHK","1","lower","27","","34","11","","","1","1","","0","","1","0","0","0","0","","","","","","","","19260102","0","LOS05","PRG","W","exhibition","y"
"PRG192601020","payng102","WHK","1","upper","27","","34","11","","","1","1","","0","","5","0","0","0","0","","","","","","","","19260102","0","LOS05","PRG","W","exhibition","y"
