"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"HWS194307042","peckh102","HWS","","","value","","","","","","","","","","","","","","","","","","","","","19430704","2","CIN07","HSL","W","exhibition",""
"HWS194307042","peckh102","HWS","","","lower","","","","","","","","","","","","","","","","","","","","","19430704","2","CIN07","HSL","W","exhibition",""
"HWS194307042","peckh102","HWS","","","upper","","","","","","","","","","","","","","","","","","","","","19430704","2","CIN07","HSL","W","exhibition",""
"HSL194307110","peckh102","HWS","9","1","value","3","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","19430711","0","HRB01","HSL","L","exhibition","y"
"HSL194307110","peckh102","HWS","9","1","lower","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19430711","0","HRB01","HSL","L","exhibition","y"
"HSL194307110","peckh102","HWS","9","1","upper","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19430711","0","HRB01","HSL","L","exhibition","y"
"HWS194307181","peckh102","HWS","8","2","value","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","1","","19430718","1","OIL01","HSL","L","exhibition","y"
"HWS194307181","peckh102","HWS","8","2","lower","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19430718","1","OIL01","HSL","L","exhibition","y"
"HWS194307181","peckh102","HWS","8","2","upper","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19430718","1","OIL01","HSL","L","exhibition","y"
"HWS194308220","peckh102","HWS","4","2","value","2","2","2","0","0","0","0","0","","0","0","0","","0","","","0","","","","19430822","0","PIT06","HSL","W","exhibition","y"
"HWS194308220","peckh102","HWS","4","2","lower","","2","2","0","0","0","0","0","","0","","","","0","","","0","","","","19430822","0","PIT06","HSL","W","exhibition","y"
"HWS194308220","peckh102","HWS","4","2","upper","","2","2","0","0","0","0","0","","0","","","","0","","","0","","","","19430822","0","PIT06","HSL","W","exhibition","y"
