"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"BLG194704130","perej104","BLG","1","1","value","3","0","0","0","0","0","0","19470413","0","NSH02","CAG","W","exhibition","y"
"BLG194704130","perej104","BLG","1","1","lower","3","0","0","0","0","0","0","19470413","0","NSH02","CAG","W","exhibition","y"
"BLG194704130","perej104","BLG","1","1","upper","3","0","0","0","0","0","0","19470413","0","NSH02","CAG","W","exhibition","y"
"BLG194705070","perej104","BLG","1","1","value","9","0","0","0","0","0","0","19470507","0","RIC03","NW2","L","regular","y"
"BLG194705070","perej104","BLG","1","1","lower","","0","0","0","0","0","0","19470507","0","RIC03","NW2","L","regular","y"
"BLG194705070","perej104","BLG","1","1","upper","","0","0","0","0","0","0","19470507","0","RIC03","NW2","L","regular","y"
"BLG194705180","perej104","BLG","1","1","value","18","0","0","0","0","0","0","19470518","0","BAL14","NY5","T","regular","y"
"BLG194705180","perej104","BLG","1","1","lower","18","0","0","0","0","0","0","19470518","0","BAL14","NY5","T","regular","y"
"BLG194705180","perej104","BLG","1","1","upper","18","0","0","0","0","0","0","19470518","0","BAL14","NY5","T","regular","y"
"NW2194705210","perej104","BLG","1","1","value","24","","","0","","0","0","19470521","0","TRE01","NW2","L","regular",""
"NW2194705210","perej104","BLG","1","1","lower","24","","","0","","0","0","19470521","0","TRE01","NW2","L","regular",""
"NW2194705210","perej104","BLG","1","1","upper","24","","","0","","0","0","19470521","0","TRE01","NW2","L","regular",""
"BLG194706012","perej104","BLG","1","1","value","1","0","0","0","0","0","0","19470601","2","BAL14","NY6","L","regular","y"
"BLG194706012","perej104","BLG","1","1","lower","1","0","0","0","0","0","0","19470601","2","BAL14","NY6","L","regular","y"
"BLG194706012","perej104","BLG","1","1","upper","1","0","0","0","0","0","0","19470601","2","BAL14","NY6","L","regular","y"
"BLG194706170","perej104","BLG","1","1","value","16","0","0","0","0","0","0","19470617","0","BAL14","HOM","W","regular","y"
"BLG194706170","perej104","BLG","1","1","lower","16","0","0","0","0","0","0","19470617","0","BAL14","HOM","W","regular","y"
"BLG194706170","perej104","BLG","1","1","upper","16","0","0","0","0","0","0","19470617","0","BAL14","HOM","W","regular","y"
"BLG194706241","perej104","BLG","1","1","value","17","0","0","0","0","0","0","19470624","1","BAL14","NY5","W","regular","y"
"BLG194706241","perej104","BLG","1","1","lower","17","0","0","0","0","0","0","19470624","1","BAL14","NY5","W","regular","y"
"BLG194706241","perej104","BLG","1","1","upper","17","0","0","0","0","0","0","19470624","1","BAL14","NY5","W","regular","y"
"BLG194706270","perej104","BLG","1","1","value","3","0","0","0","0","0","0","19470627","0","BAL14","NY5","L","regular","y"
"BLG194706270","perej104","BLG","1","1","lower","3","0","0","0","0","0","0","19470627","0","BAL14","NY5","L","regular","y"
"BLG194706270","perej104","BLG","1","1","upper","3","0","0","0","0","0","0","19470627","0","BAL14","NY5","L","regular","y"
"BLG194707080","perej104","BLG","1","1","value","27","0","1","0","0","0","0","19470708","0","BAL14","IN9","W","exhibition","y"
"BLG194707080","perej104","BLG","1","1","lower","27","0","1","0","0","0","0","19470708","0","BAL14","IN9","W","exhibition","y"
"BLG194707080","perej104","BLG","1","1","upper","27","0","1","0","0","0","0","19470708","0","BAL14","IN9","W","exhibition","y"
"BLG194707132","perej104","BLG","1","1","value","21","1","0","0","0","0","0","19470713","2","BAL14","PH5","W","regular","y"
"BLG194707132","perej104","BLG","1","1","lower","21","1","0","0","0","0","0","19470713","2","BAL14","PH5","W","regular","y"
"BLG194707132","perej104","BLG","1","1","upper","21","1","0","0","0","0","0","19470713","2","BAL14","PH5","W","regular","y"
"BLG194707250","perej104","BLG","1","1","value","27","0","2","0","0","0","0","19470725","0","BAL14","NY5","L","regular","y"
"BLG194707250","perej104","BLG","1","1","lower","27","0","2","0","0","0","0","19470725","0","BAL14","NY5","L","regular","y"
"BLG194707250","perej104","BLG","1","1","upper","27","0","2","0","0","0","0","19470725","0","BAL14","NY5","L","regular","y"
