"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BIR194604142","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19460414","2","BIR01","IN9","W","exhibition",""
"BIR194604142","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19460414","2","BIR01","IN9","W","exhibition",""
"BIR194604142","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19460414","2","BIR01","IN9","W","exhibition",""
"BIR194605122","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19460512","2","BIR01","CVB","L","regular",""
"BIR194605122","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19460512","2","BIR01","CVB","L","regular",""
"BIR194605122","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19460512","2","BIR01","CVB","L","regular",""
"MEM194605191","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19460519","1","MEM03","MEM","L","regular",""
"MEM194605191","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19460519","1","MEM03","MEM","L","regular",""
"MEM194605191","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19460519","1","MEM03","MEM","L","regular",""
"BIR194605220","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19460522","0","HOU04","MEM","W","regular",""
"BIR194605220","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19460522","0","HOU04","MEM","W","regular",""
"BIR194605220","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19460522","0","HOU04","MEM","W","regular",""
"CAG194606030","poweb103","BIR","9","1","value","5","1","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","19460603","0","DAV01","CAG","W","regular","y"
"CAG194606030","poweb103","BIR","9","1","lower","5","1","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","19460603","0","DAV01","CAG","W","regular","y"
"CAG194606030","poweb103","BIR","9","1","upper","5","1","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","19460603","0","DAV01","CAG","W","regular","y"
"MEM194606092","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19460609","2","MEM03","MEM","L","regular",""
