"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"KCM194704271","quint103","IN9","2","value","3","","","","","","","","","","","","","","","","","","","","","","","","1","","19470427","1","NOL01","KCM","l","exhibition",""
"KCM194704290","quint103","IN9","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19470429","0","DAL01","KCM","l","exhibition",""
"KCM194705020","quint103","IN9","2","value","4","","11","3","0","0","1","2","","2","0","3","0","0","0","","0","","","","","1","","","1","","19470502","0","WIC01","KCM","l","exhibition","y"
"MEM194705080","quint103","IN9","1","value","","","","","","","","","","","","","","","","","","","","","","1","","1","","","19470508","0","MEM02","MEM","l","regular",""
"IN9194705111","quint103","IN9","2","value","9","","","","","","","1","","","","","","","","","","","","","1","","","","1","","19470511","1","IND10","CVB","w","regular",""
"BIR194705251","quint103","IN9","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19470525","1","BIR01","BIR","l","regular",""
"IN9194705301","quint103","IN9","1","value","27","","","6","","","","3","","","","","","","","","","","","","","1","","1","","1","19470530","1","CIN07","BIR","l","regular",""
"IN9194706100","quint103","IN9","2","value","3","","3","0","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","1","","19470610","0","SPR03","KCM","l","regular","y"
"IN9194706120","quint103","IN9","2","value","9","","14","3","0","0","0","2","","0","0","2","1","1","0","0","","","","","","","","","1","","19470612","0","FLI01","KCM","l","regular","y"
"IN9194707010","quint103","IN9","1","value","27","","","11","","2","","8","","","","","","","","","","","","","1","","","1","","1","19470701","0","RCI01","KCM","w","regular",""
"MEM194707300","quint103","IN9","2","value","15","","","","","","","","","","","","","","","","","","","","","","","","1","","19470730","0","GRE01","MEM","w","regular",""
"MEM194707300","quint103","IN9","2","lower","","","","","","","","1","","","","","","","","","","","","","","","","","","","19470730","0","GRE01","MEM","w","regular",""
"BIR194708050","quint103","IN9","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19470805","0","MEM02","BIR","l","regular",""
"IN9194708210","quint103","IN9","1","value","25","","38","8","0","0","0","6","","4","0","2","0","0","0","1","0","","","","","1","","1","","","19470821","0","DCT02","KCM","l","regular","y"
