"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"PH5194008242","reesj103","BLG","4","value","3","","5","2","","","0","1","","0","","","0","0","0","","","","","","","1","","19400824","2","PHI17","PH5","L","regular","y"
"PH5194008242","reesj103","BLG","4","lower","3","","","1","","","","1","","","","","0","0","0","","","","","","","","","19400824","2","PHI17","PH5","L","regular","y"
"PH5194008242","reesj103","BLG","4","upper","3","","","10","","","","1","","","","","0","0","0","","","","","","","","","19400824","2","PHI17","PH5","L","regular","y"
"HOM194009011","reesj103","BLG","2","value","1","","2","0","0","0","0","1","1","1","","0","0","0","0","0","","","","","","","","19400901","1","WAS09","HOM","L","regular","y"
"HOM194009011","reesj103","BLG","2","lower","1","","2","0","0","0","0","1","1","1","","0","0","0","0","0","","","","","","","","19400901","1","WAS09","HOM","L","regular","y"
"HOM194009011","reesj103","BLG","2","upper","1","","2","0","0","0","0","1","1","1","","0","0","0","0","0","","","","","","","","19400901","1","WAS09","HOM","L","regular","y"
"HOM194009012","reesj103","BLG","2","value","1","","2","1","","0","0","0","0","0","","0","0","0","0","","","","","","","1","","19400901","2","WAS09","HOM","L","regular","y"
"HOM194009012","reesj103","BLG","2","lower","1","","2","1","","0","0","0","0","0","","0","0","0","0","","","","","","","","","19400901","2","WAS09","HOM","L","regular","y"
"HOM194009012","reesj103","BLG","2","upper","1","","2","1","","0","0","0","0","0","","0","0","0","0","","","","","","","","","19400901","2","WAS09","HOM","L","regular","y"
"NW2194009022","reesj103","BLG","3","value","16","","22","8","0","0","0","5","","0","","","0","0","0","","","","","","","1","","19400902","2","WAS09","NW2","L","regular","y"
"NW2194009022","reesj103","BLG","3","lower","","","","","0","0","","","","","","","0","0","0","","","","","","","","","19400902","2","WAS09","NW2","L","regular","y"
"NW2194009022","reesj103","BLG","3","upper","","","","","0","0","","","","","","","0","0","0","","","","","","","","","19400902","2","WAS09","NW2","L","regular","y"
