"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"ATN193804240","reevd101","ATN","9","2","value","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","","19380424","0","ATL04","HOM","l","exhibition","y"
"JAX193805230","reevd101","ATN","3","1","value","5","5","1","3","1","0","0","","0","","0","0","","","","","","","","","","","19380523","0","JKV01","JAX","w","regular","y"
"ATN193806130","reevd101","ATN","","","value","","","","","","","","","","","","","","","","","","","","","","","19380613","0","ELB01","IN7","l","exhibition",""
"MEM193806280","reevd101","ATN","9","3","value","1","1","1","1","","1","","","0","","0","0","0","","","","","","","","1","","19380628","0","MEM02","MEM","l","regular","y"
"MEM193806290","reevd101","ATN","","","value","","","","","","","","","","","","","","","","","","","","","","","19380629","0","LRK02","MEM","l","regular",""
"MEM193806290","reevd101","ATN","","","lower","1","1","1","1","","","1","2","","","","","","","","","","","","","","","19380629","0","LRK02","MEM","l","regular",""
"CAG193808150","reevd101","ATN","","1","value","","","1","3","","","1","4","","","","","","","","","","","","","","","19380815","0","CHI09","CAG","w","regular",""
"CAG193808150","reevd101","ATN","","1","lower","3","3","1","3","","","1","4","","","","","","","","","","","","","","","19380815","0","CHI09","CAG","w","regular",""
"MEM193809180","reevd101","ATN","6","2","value","1","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","1","","19380918","0","MEM02","MEM","l","lcs","y"
"MEM193809190","reevd101","ATN","4","1","value","5","5","0","2","1","0","0","3","0","0","0","0","0","","0","0","0","0","0","","","","19380919","0","MEM02","MEM","l","lcs","y"
"ATN193904090","reevd101","ATN","","","value","6","6","2","4","1","1","0","0","0","","","0","","","0","","","","","","","","19390409","0","ATL04","BLG","l","exhibition",""
"ATN193904100","reevd101","ATN","","","value","5","5","2","4","1","0","0","1","0","","","0","","","","","","","","","","","19390410","0","ATL04","BLG","l","exhibition",""
"ATN193904190","reevd101","ATN","3","1","value","3","3","1","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","1","","","","19390419","0","GRI01","CAG","w","exhibition","y"
"ATN193904210","reevd101","ATN","4","1","value","4","3","0","1","1","0","0","0","0","0","0","1","0","","0","1","0","0","0","","","","19390421","0","ATL04","HOM","l","exhibition","y"
"ATN193904230","reevd101","ATN","4","1","value","5","5","1","2","2","0","0","2","0","0","0","0","0","1","0","0","0","0","0","","","","19390423","0","ATL04","NW2","l","exhibition","y"
"ATN193904240","reevd101","ATN","4","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19390424","0","BIR01","NW2","l","exhibition","y"
"NW2193904270","reevd101","ATN","4","1","value","3","3","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390427","0","MAC01","NW2","l","exhibition","y"
"ATN193904280","reevd101","ATN","","","value","","","1","1","","","","","","","","","","","","","","","","","","","19390428","0","SEL01","HOM","w","exhibition",""
"ATN193904280","reevd101","ATN","","","lower","","1","1","1","","","","","","","","","","","","","","","","","","","19390428","0","SEL01","HOM","w","exhibition",""
"SSA193905120","reevd101","ATN","5","1","value","5","4","1","0","0","0","0","0","0","0","0","1","0","","1","0","0","0","0","","","","19390512","0","MOU01","SSA","w","exhibition","y"
"SSA193905140","reevd101","ATN","5","1","value","4","3","2","2","0","1","0","1","0","0","0","1","0","","0","0","0","0","0","","","","19390514","0","STL13","SSA","w","regular","y"
"SSA193905150","reevd101","ATN","5","1","value","5","5","2","2","0","0","0","2","0","0","0","0","0","","0","0","0","0","1","","","","19390515","0","STL13","SSA","l","regular","y"
"CV9193905211","reevd101","ATN","5","1","value","4","4","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390521","1","CLE06","CV9","l","regular","y"
