"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"ASF194609300","rizzp101","ASF","1","6","value","27","2","3","2","1","0","0","19460930","0","PIT06","ASP","L","exhibition","y"
"ASF194609300","rizzp101","ASF","1","6","lower","27","2","3","2","1","0","0","19460930","0","PIT06","ASP","L","exhibition","y"
"ASF194609300","rizzp101","ASF","1","6","upper","27","2","3","2","1","0","0","19460930","0","PIT06","ASP","L","exhibition","y"
"ASP194610011","rizzp101","ASF","1","6","value","27","1","3","1","0","0","0","19461001","1","YOU01","ASP","W","exhibition","y"
"ASP194610011","rizzp101","ASF","1","6","lower","27","1","3","1","0","0","0","19461001","1","YOU01","ASP","W","exhibition","y"
"ASP194610011","rizzp101","ASF","1","6","upper","27","1","3","1","0","0","0","19461001","1","YOU01","ASP","W","exhibition","y"
"ASF194610012","rizzp101","ASF","1","6","value","27","4","4","0","1","0","0","19461001","2","CLE07","ASP","W","exhibition","y"
"ASF194610012","rizzp101","ASF","1","6","lower","27","3","4","0","1","0","0","19461001","2","CLE07","ASP","W","exhibition","y"
"ASF194610012","rizzp101","ASF","1","6","upper","27","4","4","0","1","0","0","19461001","2","CLE07","ASP","W","exhibition","y"
"ASP194610040","rizzp101","ASF","1","6","value","30","5","5","0","0","0","0","19461004","0","NYC16","ASP","W","exhibition","y"
"ASP194610040","rizzp101","ASF","1","6","lower","30","5","5","0","0","0","0","19461004","0","NYC16","ASP","W","exhibition","y"
"ASP194610040","rizzp101","ASF","1","6","upper","30","5","5","0","0","0","0","19461004","0","NYC16","ASP","W","exhibition","y"
"ASP194610050","rizzp101","ASF","1","6","value","27","1","2","0","","0","0","19461005","0","NWK04","ASP","W","exhibition",""
"ASP194610050","rizzp101","ASF","1","6","lower","27","1","2","0","","0","0","19461005","0","NWK04","ASP","W","exhibition",""
"ASP194610050","rizzp101","ASF","1","6","upper","27","1","2","0","","0","0","19461005","0","NWK04","ASP","W","exhibition",""
"ASF194610061","rizzp101","ASF","1","6","value","27","2","3","0","1","0","0","19461006","1","NYC16","ASP","L","exhibition","y"
"ASF194610061","rizzp101","ASF","1","6","lower","27","2","3","0","1","0","0","19461006","1","NYC16","ASP","L","exhibition","y"
"ASF194610061","rizzp101","ASF","1","6","upper","27","2","3","0","1","0","0","19461006","1","NYC16","ASP","L","exhibition","y"
"ASP194610062","rizzp101","ASF","1","6","value","24","2","1","0","1","0","0","19461006","2","BAL14","ASP","L","exhibition","y"
"ASP194610062","rizzp101","ASF","1","6","lower","24","2","1","0","1","0","0","19461006","2","BAL14","ASP","L","exhibition","y"
"ASP194610062","rizzp101","ASF","1","6","upper","24","2","1","0","1","0","0","19461006","2","BAL14","ASP","L","exhibition","y"
"ASF194610070","rizzp101","ASF","1","6","value","27","2","1","1","1","0","0","19461007","0","COL05","ASP","L","exhibition","y"
"ASF194610070","rizzp101","ASF","1","6","lower","27","2","1","1","1","0","0","19461007","0","COL05","ASP","L","exhibition","y"
"ASF194610070","rizzp101","ASF","1","6","upper","27","2","1","1","1","0","0","19461007","0","COL05","ASP","L","exhibition","y"
"ASP194610080","rizzp101","ASF","1","6","value","27","2","1","1","1","0","0","19461008","0","DAY03","ASP","W","exhibition","y"
"ASP194610080","rizzp101","ASF","1","6","lower","27","2","1","1","1","0","0","19461008","0","DAY03","ASP","W","exhibition","y"
"ASP194610080","rizzp101","ASF","1","6","upper","27","2","1","1","1","0","0","19461008","0","DAY03","ASP","W","exhibition","y"
"ASF194610100","rizzp101","ASF","1","6","value","27","3","4","0","0","0","0","19461010","0","RCI01","ASP","W","exhibition","y"
"ASF194610100","rizzp101","ASF","1","6","lower","27","3","4","0","0","0","0","19461010","0","RCI01","ASP","W","exhibition","y"
"ASF194610100","rizzp101","ASF","1","6","upper","27","3","4","0","0","0","0","19461010","0","RCI01","ASP","W","exhibition","y"
"ASF194610121","rizzp101","ASF","1","6","value","27","5","3","1","1","0","0","19461012","1","CBI01","ASP","W","exhibition","y"
"ASF194610121","rizzp101","ASF","1","6","lower","27","5","3","1","1","0","0","19461012","1","CBI01","ASP","W","exhibition","y"
"ASF194610121","rizzp101","ASF","1","6","upper","27","5","3","1","1","0","0","19461012","1","CBI01","ASP","W","exhibition","y"
"ASP194610122","rizzp101","ASF","1","6","value","27","4","0","1","0","0","0","19461012","2","WIC01","ASP","W","exhibition","y"
"ASP194610122","rizzp101","ASF","1","6","lower","27","4","","1","","0","0","19461012","2","WIC01","ASP","W","exhibition","y"
"ASP194610122","rizzp101","ASF","1","6","upper","27","4","","1","","0","0","19461012","2","WIC01","ASP","W","exhibition","y"
"ASP194610130","rizzp101","ASF","1","6","value","24","3","4","0","0","0","0","19461013","0","KAN05","ASP","L","exhibition","y"
"ASP194610130","rizzp101","ASF","1","6","lower","24","3","3","0","0","0","0","19461013","0","KAN05","ASP","L","exhibition","y"
"ASP194610130","rizzp101","ASF","1","6","upper","24","3","4","0","0","0","0","19461013","0","KAN05","ASP","L","exhibition","y"
"ASF194610140","rizzp101","ASF","1","6","value","21","3","2","0","0","0","0","19461014","0","KAN05","ASP","W","exhibition","y"
"ASF194610140","rizzp101","ASF","1","6","lower","","3","2","0","0","0","0","19461014","0","KAN05","ASP","W","exhibition","y"
"ASF194610140","rizzp101","ASF","1","6","upper","","3","2","0","0","0","0","19461014","0","KAN05","ASP","W","exhibition","y"
