"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"CAG194707250","robec103","KCM","1","6","value","27","1","3","0","1","0","","","","","1","19470725","0","EAU01","CAG","w","regular","y"
"CAG194707280","robec103","KCM","1","6","value","27","1","2","3","0","0","0","0","0","","1","19470728","0","STC01","CAG","w","regular","y"
"CAG194707300","robec103","KCM","1","6","value","27","7","3","1","0","0","0","0","0","","1","19470730","0","DES02","CAG","w","regular","y"
"KCM194708020","robec103","KCM","1","4","value","27","0","2","0","0","0","","","","","1","19470802","0","KAN05","HOM","w","exhibition","y"
"KCM194708031","robec103","KCM","1","4","value","27","1","3","0","0","0","","","","","1","19470803","1","KAN05","HOM","l","exhibition","y"
"KCM194708032","robec103","KCM","1","4","value","21","0","1","0","0","0","","","","","1","19470803","2","KAN05","HOM","l","exhibition","y"
"KCM194708041","robec103","KCM","1","4","value","21","","","0","0","0","","","","","1","19470804","1","STL07","BIR","w","regular","y"
"KCM194708042","robec103","KCM","1","4","value","21","","","1","0","0","","","","","1","19470804","2","STL07","IN9","l","regular","y"
"HOM194708090","robec103","KCM","1","4","value","15","0","2","0","","","","","","","1","19470809","0","WIL04","HOM","l","exhibition","y"
"HOM194708101","robec103","KCM","1","4","value","24","","","","","","","","","","","19470810","1","WAS09","HOM","l","exhibition",""
"HOM194708102","robec103","KCM","1","4","value","18","","","0","1","0","","","","","1","19470810","2","WAS09","HOM","l","exhibition","y"
"KCM194708171","robec103","KCM","1","4","value","27","3","4","0","0","0","","","","","1","19470817","1","KAN05","IN9","l","regular","y"
"KCM194708172","robec103","KCM","1","6","value","21","1","0","1","0","0","","","","","1","19470817","2","KAN05","IN9","w","regular","y"
"KCM194708180","robec103","KCM","1","6","value","27","","","0","","0","0","","","","","19470818","0","SCI01","IN9","w","regular",""
"KCM194709141","robec103","KCM","1","6","value","","0","0","0","0","0","","","","","1","19470914","1","KAN05","MEM","l","regular","y"
"KCM194709212","robec103","KCM","1","6","value","27","3","3","0","1","0","","","","","1","19470921","2","CBI01","IN9","w","exhibition","y"
"IN9194709220","robec103","KCM","1","6","value","27","1","0","0","0","0","","","","","1","19470922","0","NFN01","IN9","w","exhibition","y"
"IN9194709240","robec103","KCM","1","6","value","27","1","3","2","1","0","","","","","1","19470924","0","LIN01","IN9","w","exhibition","y"
"KCM194709250","robec103","KCM","1","6","value","27","2","1","0","0","0","","","","","1","19470925","0","KAN05","IN9","l","exhibition","y"
"KCM194804110","robec103","KCM","1","7","value","27","2","0","1","0","0","","","","","1","19480411","0","AUS01","IN9","w","exhibition","y"
"KCM194805160","robec103","KCM","1","4","value","27","2","1","0","1","0","","","","","1","19480516","0","KAN05","CVB","w","regular","y"
"KCM194805180","robec103","KCM","1","4","value","27","3","0","1","0","0","","","","","1","19480518","0","WIC01","CVB","w","regular","y"
"KCM194805190","robec103","KCM","1","4","value","27","3","0","1","0","0","","","","","1","19480519","0","WIC01","CVB","w","regular","y"
"KCM194805210","robec103","KCM","1","4","value","27","4","3","0","0","0","","","","","1","19480521","0","KAN05","CVB","w","regular","y"
"KCM194805231","robec103","KCM","1","4","value","27","4","2","0","0","0","0","","","","1","19480523","1","KAN05","IN9","l","regular","y"
