"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"HOM193909230","robes104","HOM","9","1","value","3","0","0","0","0","0","","0","","0","1","","","0","","","","","","","19390923","0","PHI17","BLG","L","lcs","y"
"HOM193909230","robes104","HOM","9","1","lower","3","0","0","0","0","0","","0","","0","","","","0","","","","","","","19390923","0","PHI17","BLG","L","lcs","y"
"HOM193909230","robes104","HOM","9","1","upper","3","0","0","0","0","0","","0","","0","","","","0","","","","","","","19390923","0","PHI17","BLG","L","lcs","y"
"BLG194009142","robes104","HOM","9","1","value","3","0","0","","","","","","","","","","","","","","","","","","19400914","2","PHI17","BLG","W","exhibition","y"
"BLG194009142","robes104","HOM","9","1","lower","","0","0","","","","","","","","","","","","","","","","","","19400914","2","PHI17","BLG","W","exhibition","y"
"BLG194009142","robes104","HOM","9","1","upper","","0","0","","","","","","","","","","","","","","","","","","19400914","2","PHI17","BLG","W","exhibition","y"
"NY5194105302","robes104","NY5","9","4","value","1","0","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","19410530","2","NYC16","NW2","W","regular","y"
"NY5194105302","robes104","NY5","9","4","lower","1","0","1","0","0","0","1","0","","0","","","","0","","","0","","","","19410530","2","NYC16","NW2","W","regular","y"
"NY5194105302","robes104","NY5","9","4","upper","1","0","1","0","0","0","1","0","","0","","","","0","","","0","","","","19410530","2","NYC16","NW2","W","regular","y"
"PH5194206060","robes104","PH5","9","2","value","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19420606","0","PHI17","NW2","L","regular","y"
"PH5194206060","robes104","PH5","9","2","lower","","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19420606","0","PHI17","NW2","L","regular","y"
"PH5194206060","robes104","PH5","9","2","upper","","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19420606","0","PHI17","NW2","L","regular","y"
"NY5194305161","robes104","NY5","9","2","value","1","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","19430516","1","NYC16","NY6","L","regular","y"
"NY5194305161","robes104","NY5","9","2","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19430516","1","NYC16","NY6","L","regular","y"
"NY5194305161","robes104","NY5","9","2","upper","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19430516","1","NYC16","NY6","L","regular","y"
"NY6194306271","robes104","NY5","9","2","value","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19430627","1","NYC16","NY6","L","regular","y"
"NY6194306271","robes104","NY5","9","2","lower","1","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19430627","1","NYC16","NY6","L","regular","y"
"NY6194306271","robes104","NY5","9","2","upper","1","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19430627","1","NYC16","NY6","L","regular","y"
"KCM194404161","robes104","CIA","","","value","","0","0","","","","0","","","","","","","","","","","","","","19440416","1","NOL01","KCM","L","exhibition",""
"KCM194404161","robes104","CIA","","","lower","","0","0","","","","0","","","","","","","","","","","","","","19440416","1","NOL01","KCM","L","exhibition",""
"KCM194404161","robes104","CIA","","","upper","","0","0","","","","0","","","","","","","","","","","","","","19440416","1","NOL01","KCM","L","exhibition",""
"BIR194404302","robes104","CIA","","","value","","","","","","","","","","","","","","","","","","","","","19440430","2","BIR01","BIR","L","exhibition",""
"BIR194404302","robes104","CIA","","","lower","","","","","","","","","","","","","","","","","","","","","19440430","2","BIR01","BIR","L","exhibition",""
"BIR194404302","robes104","CIA","","","upper","","","","","","","","","","","","","","","","","","","","","19440430","2","BIR01","BIR","L","exhibition",""
"CIA194405090","robes104","CIA","","","value","","","","","","","","","","","","","","","","","","","","","19440509","0","IND10","CVB","L","regular",""
"CIA194405090","robes104","CIA","","","lower","","","","","","","","","","","","","","","","","","","","","19440509","0","IND10","CVB","L","regular",""
"CIA194405090","robes104","CIA","","","upper","","","","","","","","","","","","","","","","","","","","","19440509","0","IND10","CVB","L","regular",""
"CIA194405120","robes104","CIA","9","1","value","3","0","1","0","0","0","2","1","","0","0","0","","0","","","0","","","","19440512","0","COL05","CAG","W","regular","y"
"CIA194405120","robes104","CIA","9","1","lower","3","0","1","0","0","0","2","1","","0","","","","0","","","0","","","","19440512","0","COL05","CAG","W","regular","y"
"CIA194405120","robes104","CIA","9","1","upper","3","0","1","0","0","0","2","1","","0","","","","0","","","0","","","","19440512","0","COL05","CAG","W","regular","y"
"NY5194405211","robes104","NY5","9","2","value","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19440521","1","NYC14","NY6","L","regular","y"
"NY5194405211","robes104","NY5","9","2","lower","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19440521","1","NYC14","NY6","L","regular","y"
"NY5194405211","robes104","NY5","9","2","upper","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19440521","1","NYC14","NY6","L","regular","y"
"PH5194406030","robes104","NY5","9","2","value","1","0","0","0","0","0","","0","","0","0","0","0","0","","","0","","","","19440603","0","PHI17","PH5","L","regular","y"
"PH5194406030","robes104","NY5","9","2","lower","","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19440603","0","PHI17","PH5","L","regular","y"
"PH5194406030","robes104","NY5","9","2","upper","","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19440603","0","PHI17","PH5","L","regular","y"
"BLG194507081","robes104","NW2","8","2","value","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","1","","19450708","1","BAL14","BLG","L","regular","y"
"BLG194507081","robes104","NW2","8","2","lower","1","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19450708","1","BAL14","BLG","L","regular","y"
"BLG194507081","robes104","NW2","8","2","upper","1","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19450708","1","BAL14","BLG","L","regular","y"
"BLG194507082","robes104","NW2","9","1","value","2","0","0","","","","","","","","0","0","","","","","","","","","19450708","2","BAL14","BLG","L","regular","y"
"BLG194507082","robes104","NW2","9","1","lower","2","0","0","","","","","","","","","","","","","","","","","","19450708","2","BAL14","BLG","L","regular","y"
"BLG194507082","robes104","NW2","9","1","upper","2","0","0","","","","","","","","","","","","","","","","","","19450708","2","BAL14","BLG","L","regular","y"
"NW2194507200","robes104","NW2","","","value","","","","","","","","","","","","","","","","","","","","","19450720","0","NWK04","NY6","W","regular",""
"NW2194507200","robes104","NW2","","","lower","","","","","","","","","","","","","","","","","","","","","19450720","0","NWK04","NY6","W","regular",""
"NW2194507200","robes104","NW2","","","upper","","","","","","","","","","","","","","","","","","","","","19450720","0","NWK04","NY6","W","regular",""
"CAG194508020","robes104","NW2","","","value","","","","","","","","","","","","","","","","","","","","","19450802","0","DAY03","CAG","W","exhibition",""
"CAG194508020","robes104","NW2","","","lower","","","","","","","","","","","","","","","","","","","","","19450802","0","DAY03","CAG","W","exhibition",""
"CAG194508020","robes104","NW2","","","upper","","","","","","","","","","","","","","","","","","","","","19450802","0","DAY03","CAG","W","exhibition",""
"PH5194508302","robes104","NW2","7","2","value","2","0","1","","","","0","","","","0","0","","","","","","","","","19450830","2","PHI11","PH5","L","regular","y"
"PH5194508302","robes104","NW2","7","2","lower","2","0","1","","","","0","","","","","","","","","","","","","","19450830","2","PHI11","PH5","L","regular","y"
"PH5194508302","robes104","NW2","7","2","upper","2","0","1","","","","0","","","","","","","","","","","","","","19450830","2","PHI11","PH5","L","regular","y"
