"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"PRG192511080","sanbg101","WHK","1","2","value","24","6","0","0","0","0","0","19251108","0","LOS05","PRG","L","exhibition","y"
"PRG192511080","sanbg101","WHK","1","2","lower","24","6","0","0","0","0","0","19251108","0","LOS05","PRG","L","exhibition","y"
"PRG192511080","sanbg101","WHK","1","2","upper","24","6","0","0","0","0","0","19251108","0","LOS05","PRG","L","exhibition","y"
"PRG192512050","sanbg101","WHK","1","2","value","27","11","0","0","0","0","0","19251205","0","LOS05","PRG","W","exhibition","y"
"PRG192512050","sanbg101","WHK","1","2","lower","27","11","0","0","0","0","0","19251205","0","LOS05","PRG","W","exhibition","y"
"PRG192512050","sanbg101","WHK","1","2","upper","27","11","0","0","0","0","0","19251205","0","LOS05","PRG","W","exhibition","y"
"PRG192601020","sanbg101","WHK","1","2","value","27","7","1","0","0","0","0","19260102","0","LOS05","PRG","W","exhibition","y"
"PRG192601020","sanbg101","WHK","1","2","lower","27","7","1","0","0","0","0","19260102","0","LOS05","PRG","W","exhibition","y"
"PRG192601020","sanbg101","WHK","1","2","upper","27","7","1","0","0","0","0","19260102","0","LOS05","PRG","W","exhibition","y"
"PRG192601030","sanbg101","WHK","1","2","value","27","6","0","0","0","0","0","19260103","0","LOS05","PRG","W","exhibition","y"
"PRG192601030","sanbg101","WHK","1","2","lower","27","6","0","0","0","0","0","19260103","0","LOS05","PRG","W","exhibition","y"
"PRG192601030","sanbg101","WHK","1","2","upper","27","6","0","0","0","0","0","19260103","0","LOS05","PRG","W","exhibition","y"
