"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"NYL191307190","santl101","NYL","1","2","value","27","","","0","","0","","","","","","19130719","0","NYC22","CAG","t","championship",""
"NYL191307201","santl101","NYL","1","9","value","27","0","1","0","0","0","","","","","","19130720","1","NYC22","CAG","w","championship","y"
"NYL191307202","santl101","NYL","1","2","value","24","2","2","1","0","0","0","","","","","19130720","2","NYC22","CAG","l","championship","y"
"CAG191307270","santl101","NYL","1","9","value","27","2","0","0","0","0","","","","","1","19130727","0","CHI09","CAG","w","championship","y"
"CAG191307280","santl101","NYL","1","2","value","27","2","2","0","0","0","0","0","2","0","1","19130728","0","CHI09","CAG","w","championship","y"
"CAG191307290","santl101","NYL","1","9","value","25","2","1","0","0","0","","","","","1","19130729","0","CHI09","CAG","l","championship","y"
"CAG191307300","santl101","NYL","1","9","value","24","1","0","0","0","0","","","","","1","19130730","0","CHI09","CAG","l","championship","y"
"CAG191307310","santl101","NYL","1","2","value","24","5","1","1","0","0","0","0","0","1","1","19130731","0","CHI09","CAG","l","championship","y"
"CUW191308021","santl101","NYL","1","2","value","30","4","0","0","0","0","0","1","1","0","1","19130802","1","CHI09","CUW","w","exhibition","y"
"CAG191308022","santl101","NYL","1","2","value","27","5","1","2","0","0","0","","","","","19130802","2","CHI09","CAG","w","championship","y"
"CAG191308121","santl101","NYL","1","2","value","27","6","1","0","0","0","0","0","4","0","1","19130812","1","CHI09","CAG","w","championship","y"
"CAG191308130","santl101","NYL","1","2","value","27","3","3","0","0","0","0","0","3","2","1","19130813","0","CHI09","CAG","w","championship","y"
"ACY192107031","santl101","HIL","1","2","value","28","4","4","1","0","0","0","","","","","19210703","1","ACY01","ACY","l","exhibition","y"
"HIL192110050","santl101","HIL","1","2","value","27","8","2","0","0","0","0","","","","","19211005","0","PHI09","CAG","w","championship","y"
"CAG192110100","santl101","HIL","1","2","value","24","5","1","0","0","0","0","","","","","19211010","0","WIL03","CAG","l","championship","y"
"HIL192110120","santl101","HIL","1","2","value","27","10","0","0","0","0","0","","","","","19211012","0","CAM01","CAG","t","championship","y"
"HIL192110130","santl101","HIL","1","3","value","21","9","0","1","0","0","","","","","","19211013","0","DAR01","CAG","w","championship","y"
"HIL192110150","santl101","HIL","1","2","value","27","7","1","1","0","0","0","","","","","19211015","0","DAR01","CAG","w","championship","y"
"CAG192208190","santl101","HIL","1","2","value","27","7","0","0","0","0","0","","","","","19220819","0","CHI09","CAG","w","exhibition","y"
"HIL192410030","santl101","HIL","1","2","value","27","7","3","1","0","0","0","0","1","1","1","19241003","0","PHI09","KCM","l","championship","y"
"HIL192410050","santl101","HIL","1","2","value","12","3","0","1","0","0","0","0","2","0","1","19241005","0","BAL13","KCM","t","championship","y"
"HIL192410060","santl101","HIL","1","2","value","15","2","0","0","0","0","0","0","1","0","0","19241006","0","BAL13","KCM","w","championship","y"
"KCM192410110","santl101","HIL","1","2","value","21","5","1","1","0","0","0","0","1","1","1","19241011","0","KAN05","KCM","w","championship","y"
"KCM192410120","santl101","HIL","1","2","value","15","1","3","0","0","0","0","1","3","3","1","19241012","0","KAN05","KCM","l","championship","y"
"KCM192410180","santl101","HIL","1","2","value","26","2","0","1","0","0","0","0","0","0","1","19241018","0","CHI09","KCM","l","championship","y"
"KCM192410190","santl101","HIL","1","2","value","27","4","2","0","0","0","0","0","0","1","1","19241019","0","CHI09","KCM","w","championship","y"
"KCM192410200","santl101","HIL","1","2","value","24","3","1","0","0","0","0","0","1","1","1","19241020","0","CHI09","KCM","l","championship","y"
