"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"SLG192010040","schuj101","SLN","1","7","value","27","1","0","0","0","0","0","19201004","0","STL11","SLG","L","exhibition","y"
"SLG192010040","schuj101","SLN","1","7","lower","","","","","","","","19201004","0","STL11","SLG","L","exhibition","y"
"SLG192010040","schuj101","SLN","1","7","upper","","","","","","","","19201004","0","STL11","SLG","L","exhibition","y"
"SLG192010050","schuj101","SLN","1","7","value","27","1","0","0","0","0","0","19201005","0","STL11","SLG","W","exhibition","y"
"SLG192010050","schuj101","SLN","1","7","lower","27","1","0","0","0","0","0","19201005","0","STL11","SLG","W","exhibition","y"
"SLG192010050","schuj101","SLN","1","7","upper","27","1","0","0","0","0","0","19201005","0","STL11","SLG","W","exhibition","y"
"SLG192110030","schuj101","SLN","1","4","value","33","0","3","0","0","0","0","19211003","0","STL07","SLG","W","exhibition","y"
"SLG192110030","schuj101","SLN","1","4","lower","33","0","3","0","0","0","0","19211003","0","STL07","SLG","W","exhibition","y"
"SLG192110030","schuj101","SLN","1","4","upper","33","0","3","0","0","0","0","19211003","0","STL07","SLG","W","exhibition","y"
"SLG192110040","schuj101","SLN","1","4","value","24","2","3","2","0","0","0","19211004","0","STL07","SLG","L","exhibition","y"
"SLG192110040","schuj101","SLN","1","4","lower","24","2","2","2","0","0","0","19211004","0","STL07","SLG","L","exhibition","y"
"SLG192110040","schuj101","SLN","1","4","upper","24","2","3","2","0","0","0","19211004","0","STL07","SLG","L","exhibition","y"
"SLG192110091","schuj101","SLN","1","9","value","27","0","0","0","0","0","0","19211009","1","STL07","SLG","W","exhibition","y"
"SLG192110091","schuj101","SLN","1","9","lower","27","0","0","0","0","0","0","19211009","1","STL07","SLG","W","exhibition","y"
"SLG192110091","schuj101","SLN","1","9","upper","27","0","0","0","0","0","0","19211009","1","STL07","SLG","W","exhibition","y"
"SLG192110092","schuj101","SLN","1","8","value","9","0","0","0","0","0","0","19211009","2","STL07","SLG","W","exhibition","y"
"SLG192110092","schuj101","SLN","1","8","lower","9","0","0","0","0","0","0","19211009","2","STL07","SLG","W","exhibition","y"
"SLG192110092","schuj101","SLN","1","8","upper","9","11","0","0","0","0","0","19211009","2","STL07","SLG","W","exhibition","y"
"SLG192110092","schuj101","SLN","2","3","value","18","11","0","1","0","0","0","19211009","2","STL07","SLG","W","exhibition","y"
"SLG192110092","schuj101","SLN","2","3","lower","18","","","1","0","0","0","19211009","2","STL07","SLG","W","exhibition","y"
"SLG192110092","schuj101","SLN","2","3","upper","18","","","1","0","0","0","19211009","2","STL07","SLG","W","exhibition","y"
"SLG192110100","schuj101","SLN","1","3","value","27","9","0","0","3","0","0","19211010","0","STL07","SLG","W","exhibition","y"
"SLG192110100","schuj101","SLN","1","3","lower","27","9","0","0","3","0","0","19211010","0","STL07","SLG","W","exhibition","y"
"SLG192110100","schuj101","SLN","1","3","upper","27","9","0","0","3","0","0","19211010","0","STL07","SLG","W","exhibition","y"
