"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"CAG194109030","serrb101","CAG","3","1","value","5","5","1","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19410903","0","SPR03","KCM","l","regular","y"
"KCM194109141","serrb101","CAG","6","1","value","4","4","1","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19410914","1","DET04","KCM","l","exhibition","y"
"KCM194109150","serrb101","CAG","6","1","value","4","4","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19410915","0","LIM01","KCM","w","regular","y"
"BIR194204191","serrb101","KCM","8","1","value","3","3","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19420419","1","BIR01","BIR","l","exhibition","y"
"BIR194204192","serrb101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19420419","2","BIR01","BIR","w","exhibition",""
"MEM194205031","serrb101","KCM","8","1","value","5","5","1","1","1","0","0","","0","","0","0","0","","0","","","0","","","","","19420503","1","MEM02","MEM","w","exhibition","y"
"MEM194205032","serrb101","KCM","8","1","value","3","3","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19420503","2","MEM02","MEM","w","exhibition","y"
"MEM194205060","serrb101","KCM","7","1","value","5","4","1","0","0","0","0","0","0","","0","1","","","0","","","0","","","","","19420506","0","GRE01","MEM","w","exhibition","y"
"CAG194205101","serrb101","KCM","7","1","value","5","5","2","1","0","1","0","","0","","0","0","0","","0","","","0","","","","","19420510","1","CHI10","CAG","w","regular","y"
"KCM194205171","serrb101","KCM","7","1","value","4","4","1","2","1","0","0","0","0","","0","0","0","","0","","","0","","","","","19420517","1","KAN05","MEM","w","regular","y"
"KCM194205172","serrb101","KCM","7","1","value","2","2","0","0","0","0","0","0","0","","0","0","0","0","0","","","0","","","","","19420517","2","KAN05","MEM","l","regular","y"
"ASD194205240","serrb101","KCM","7","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19420524","0","CHI11","ASD","w","exhibition","y"
