"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"HIL192710160","shawt101","HIL","9","2","value","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19271016","0","LOS05","PIR","L","exhibition","y"
"HIL192710160","shawt101","HIL","9","2","lower","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19271016","0","LOS05","PIR","L","exhibition","y"
"HIL192710160","shawt101","HIL","9","2","upper","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19271016","0","LOS05","PIR","L","exhibition","y"
"DT1192807290","shawt101","DT1","9","1","value","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19280729","0","DET07","SSN","L","regular","y"
"DT1192807290","shawt101","DT1","9","1","lower","0","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19280729","0","DET07","SSN","L","regular","y"
"DT1192807290","shawt101","DT1","9","1","upper","0","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19280729","0","DET07","SSN","L","regular","y"
"HOM193008210","shawt101","DT1","9","1","value","3","1","0","0","0","0","","0","","0","1","","","0","","","","","","","19300821","0","AKR01","HOM","L","championship","y"
"HOM193008210","shawt101","DT1","9","1","lower","3","1","0","0","0","0","","0","","0","1","","","0","","","","","","","19300821","0","AKR01","HOM","L","championship","y"
"HOM193008210","shawt101","DT1","9","1","upper","3","1","0","0","0","0","","0","","0","1","","","0","","","","","","","19300821","0","AKR01","HOM","L","championship","y"
"DT1193008280","shawt101","DT1","9","3","value","0","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19300828","0","DET06","HOM","L","championship","y"
"DT1193008280","shawt101","DT1","9","3","lower","0","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19300828","0","DET06","HOM","L","championship","y"
"DT1193008280","shawt101","DT1","9","3","upper","0","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19300828","0","DET06","HOM","L","championship","y"
"DT1193009200","shawt101","DT1","9","1","value","2","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19300920","0","DET06","SSN","W","lcs","y"
"DT1193009200","shawt101","DT1","9","1","lower","2","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19300920","0","DET06","SSN","W","lcs","y"
"DT1193009200","shawt101","DT1","9","1","upper","2","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19300920","0","DET06","SSN","W","lcs","y"
