"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"PHG190309120","smitb115","CUX","1","9","value","27","1","0","0","0","0","0","19030912","0","PHI10","PHG","W","championship","y"
"PHG190309120","smitb115","CUX","1","9","lower","27","1","0","0","0","0","0","19030912","0","PHI10","PHG","W","championship","y"
"PHG190309120","smitb115","CUX","1","9","upper","27","1","0","0","0","0","0","19030912","0","PHI10","PHG","W","championship","y"
"CUX190309131","smitb115","CUX","1","9","value","27","0","0","0","0","0","0","19030913","1","NYC18","PHG","W","championship","y"
"CUX190309131","smitb115","CUX","1","9","lower","27","0","0","0","0","0","0","19030913","1","NYC18","PHG","W","championship","y"
"CUX190309131","smitb115","CUX","1","9","upper","27","0","0","0","0","0","0","19030913","1","NYC18","PHG","W","championship","y"
"PHG190309132","smitb115","CUX","1","9","value","24","1","0","0","0","0","0","19030913","2","NYC18","PHG","L","championship","y"
"PHG190309132","smitb115","CUX","1","9","lower","24","1","0","0","0","0","0","19030913","2","NYC18","PHG","L","championship","y"
"PHG190309132","smitb115","CUX","1","9","upper","24","1","0","0","0","0","0","19030913","2","NYC18","PHG","L","championship","y"
"CUX190309140","smitb115","CUX","1","9","value","27","0","0","0","0","0","0","19030914","0","TRE02","PHG","W","championship","y"
"CUX190309140","smitb115","CUX","1","9","lower","27","0","0","0","0","0","0","19030914","0","TRE02","PHG","W","championship","y"
"CUX190309140","smitb115","CUX","1","9","upper","27","0","0","0","0","0","0","19030914","0","TRE02","PHG","W","championship","y"
"PHG190309150","smitb115","CUX","1","9","value","24","0","0","0","0","0","0","19030915","0","CAM02","PHG","L","championship","y"
"PHG190309150","smitb115","CUX","1","9","lower","24","0","0","0","0","0","0","19030915","0","CAM02","PHG","L","championship","y"
"PHG190309150","smitb115","CUX","1","9","upper","24","0","0","0","0","0","0","19030915","0","CAM02","PHG","L","championship","y"
"CUX190409020","smitb115","CUX","1","9","value","27","2","0","0","0","0","0","19040902","0","ACY01","PHG","W","championship","y"
"CUX190409020","smitb115","CUX","1","9","lower","27","2","0","0","0","0","0","19040902","0","ACY01","PHG","W","championship","y"
"CUX190409020","smitb115","CUX","1","9","upper","27","2","0","0","0","0","0","19040902","0","ACY01","PHG","W","championship","y"
