"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"CV6193106170","snowf101","LS4","7","1","value","4","4","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19310617","0","CLE11","CV6","l","regular","y"
"PRG193310151","snowf101","PRG","6","1","value","5","4","0","2","1","0","0","","0","","0","1","","","0","","","","","","","","19331015","1","LOS05","PIR","w","exhibition","y"
"PRG193310152","snowf101","PRG","6","1","value","3","3","0","0","0","0","0","","0","","0","0","","","0","","","","","","","","19331015","2","LOS05","PIR","l","exhibition","y"
"PRG193310291","snowf101","PRG","7","1","value","5","5","0","2","0","0","0","","0","","0","0","","","0","","","","","","","","19331029","1","LOS05","PIR","w","exhibition","y"
"PRG193310292","snowf101","PRG","7","1","value","3","3","0","1","0","0","0","","0","","0","0","","","0","","","","","","","","19331029","2","LOS05","PIR","l","exhibition","y"
"PRG193311121","snowf101","PRG","6","1","value","4","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","","19331112","1","LOS05","PIR","w","exhibition","y"
"PRG193311122","snowf101","PRG","6","1","value","3","3","0","1","0","0","0","","0","","0","0","","","0","","","","","","","","19331112","2","LOS05","PIR","l","exhibition","y"
"PRG193312251","snowf101","PRG","6","1","value","5","4","0","1","0","0","0","","0","","0","1","","","0","","","0","","","","","19331225","1","LOS05","PIR","l","exhibition","y"
"PRG193410130","snowf101","PRG","7","1","value","5","5","1","4","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","","","","19341013","0","LOS05","PIR","w","exhibition","y"
"PRG193410141","snowf101","PRG","7","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","19341014","1","LOS05","PIR","w","exhibition","y"
"PRG193410200","snowf101","PRG","7","1","value","3","3","1","1","0","0","0","0","0","","0","0","","","0","","","","","","","","19341020","0","LOS05","WHK","w","exhibition","y"
"PRG193410211","snowf101","PRG","7","1","value","5","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","","","","19341021","1","LOS05","WHK","l","exhibition","y"
"PRG193410212","snowf101","PRG","","","value","","","","1","","","","1","","","","","","","","","","","","","","","19341021","2","LOS05","WHK","w","exhibition",""
"PRG193410212","snowf101","PRG","","","lower","","1","","1","","","","1","","","","","","","","","","","","","","","19341021","2","LOS05","WHK","w","exhibition",""
"PRG193410270","snowf101","PRG","7","1","value","4","4","1","3","1","0","0","","0","","0","0","","","0","","","","","","","","19341027","0","LOS05","PIR","w","exhibition","y"
"PRG193410281","snowf101","PRG","7","1","value","4","4","0","2","1","0","0","2","0","0","0","0","0","0","0","1","0","0","0","","","","19341028","1","LOS05","PIR","w","exhibition","y"
"PRG193411040","snowf101","PRG","7","1","value","5","5","0","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","","","","19341104","0","LOS05","WHK","w","exhibition","y"
"ASW193508110","snowf101","ASW","6","5","value","1","1","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","1","","19350811","0","CHI10","ASE","w","allstar","y"
