"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"CAG193708011","sparj102","CAG","8","1","value","4","3","0","0","0","0","0","","0","1","0","0","0","","0","","","0","","","","","19370801","1","CHI09","DT2","w","regular","y"
"JAX193803270","sparj102","CAG","7","1","value","4","4","1","1","","","","1","0","","0","0","","","","","","","","","","","19380327","0","JKV01","JAX","w","exhibition","y"
"CAG193806051","sparj102","CAG","","","value","","","","","","","","","","","","","","","","","","","","","","","19380605","1","CHI09","JAX","l","regular",""
"CAG193806280","sparj102","CAG","8","3","value","1","1","0","0","0","0","0","","0","","0","0","0","","","","","","","","","","19380628","0","MIL03","KCM","l","regular","y"
"CAG193808150","sparj102","CAG","","1","value","","","","","","","","","","","","","","","","","","","","","","","19380815","0","CHI09","ATN","l","regular",""
"BIR193808200","sparj102","CAG","7","1","value","5","3","2","1","0","0","1","3","0","","0","2","","","","","","","","","","","19380820","0","LEE01","BIR","l","exhibition","y"
"BIR193808211","sparj102","CAG","7","1","value","5","3","1","1","0","0","0","","0","","0","2","","","","","","","","","","","19380821","1","BIR01","BIR","w","exhibition","y"
"CAG193808282","sparj102","CAG","","","value","","","0","","","","0","0","","","","1","","","","","1","","","","","","19380828","2","CHI09","KCM","l","exhibition",""
"CAG193808282","sparj102","CAG","","","lower","1","1","0","","","","0","0","","","","1","","","","","1","","","","","","19380828","2","CHI09","KCM","l","exhibition",""
"CV9193904030","sparj102","CAG","7","1","value","4","4","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19390403","0","JKV01","CV9","w","exhibition","y"
"ATN193904190","sparj102","CAG","8","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390419","0","GRI01","ATN","l","exhibition","y"
"BLG193904231","sparj102","CAG","8","1","value","3","3","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19390423","1","NSH02","BLG","l","exhibition","y"
"BLG193904232","sparj102","CAG","8","1","value","3","2","0","0","0","0","0","0","0","0","0","1","","","0","","","0","","","","","19390423","2","NSH02","BLG","l","exhibition","y"
"KCM193904300","sparj102","CAG","7","1","value","5","5","1","2","2","0","0","2","0","0","0","0","0","","0","0","0","0","0","","","","19390430","0","DAL01","KCM","l","exhibition","y"
"MEM193905071","sparj102","CAG","5","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390507","1","MEM02","MEM","l","exhibition","y"
"MEM193905072","sparj102","CAG","5","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390507","2","MEM02","MEM","l","exhibition","y"
"CAG193905130","sparj102","CAG","7","1","value","4","4","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19390513","0","PAI01","CV9","w","exhibition","y"
"CV9193905141","sparj102","CAG","7","1","value","4","3","2","1","0","1","0","1","0","0","0","1","0","1","1","0","0","0","0","","","","19390514","1","CLE07","CV9","l","regular","y"
"CV9193905142","sparj102","CAG","7","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390514","2","CLE07","CV9","l","regular","y"
"CAG193905281","sparj102","CAG","6","3","value","1","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390528","1","CHI09","MEM","l","regular","y"
"CAG193905290","sparj102","CAG","6","3","value","2","2","0","0","0","0","0","1","0","0","0","0","0","","0","0","0","0","1","","","","19390529","0","CHI09","MEM","l","regular","y"
"CAG193905302","sparj102","CAG","6","1","value","","","1","1","","","1","3","","","","","","","","","","","","","","","19390530","2","CHI09","MEM","w","exhibition",""
"CAG193905302","sparj102","CAG","6","1","lower","","1","1","1","","","1","3","","","","","","","","","","","","","","","19390530","2","CHI09","MEM","w","exhibition",""
"CAG193906041","sparj102","CAG","","","value","","","","","","","","","1","","","","","","","","","","","","","","19390604","1","CHI09","CV9","w","regular",""
"CAG193906042","sparj102","CAG","","","value","","","0","1","","1","","1","","","","","","","","","","","","","","","19390604","2","CHI09","CV9","w","regular",""
"SSA193906110","sparj102","CAG","2","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19390611","0","STL13","SSA","l","regular","y"
"CAG193906170","sparj102","CAG","","","value","","","","","","","","","","","","","","","","","","","","","","","19390617","0","CHI09","SSA","w","regular",""
"CAG193906181","sparj102","CAG","6","1","value","3","2","1","0","0","0","0","0","0","0","0","1","0","","0","0","0","0","0","","","","19390618","1","CHI09","SSA","w","regular","y"
"CAG193906182","sparj102","CAG","6","1","value","4","4","1","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","2","","","","19390618","2","CHI09","SSA","w","regular","y"
"CAG193906190","sparj102","CAG","6","1","value","4","4","0","1","0","0","0","2","0","0","0","0","0","","0","0","0","0","0","","","","19390619","0","CHI09","SSA","w","regular","y"
"CAG193906210","sparj102","CAG","6","1","value","4","3","1","0","0","0","0","0","0","","0","1","","","1","","","0","","","","","19390621","0","SPR03","NY6","l","exhibition","y"
"CAG193907041","sparj102","CAG","6","3","value","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390704","1","CHI09","KCM","l","regular","y"
"CAG193907091","sparj102","CAG","6","2","value","4","3","1","0","0","0","0","0","0","0","0","1","0","","0","0","0","0","1","","","","19390709","1","CHI09","TLC","w","exhibition","y"
"CAG193907190","sparj102","CAG","6","1","value","4","4","1","2","0","1","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390719","0","REG01","KCM","l","regular","y"
"KCM193907200","sparj102","CAG","6","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390720","0","REG01","KCM","l","exhibition","y"
"CAG193907210","sparj102","CAG","6","1","value","4","2","0","0","0","0","0","0","1","0","0","1","0","","0","0","0","0","0","","","","19390721","0","REG01","KCM","w","regular","y"
"KCM193907230","sparj102","CAG","6","1","value","5","4","0","2","0","0","0","2","1","0","0","0","0","1","0","0","0","0","1","","","","19390723","0","BIS01","KCM","w","exhibition","y"
"KCM193907270","sparj102","CAG","6","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390727","0","LIN02","KCM","l","exhibition","y"
"CAG193907280","sparj102","CAG","6","1","value","5","5","1","3","0","1","0","","0","","0","0","0","","0","","","0","","","","","19390728","0","DES01","KCM","l","exhibition","y"
"CAG193907290","sparj102","CAG","6","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390729","0","CHI09","KCM","l","regular","y"
"CAG193907301","sparj102","CAG","6","1","value","3","2","0","1","0","0","0","0","1","0","0","0","0","","0","0","0","0","0","","","","19390730","1","CHI09","KCM","l","regular","y"
"CAG193907302","sparj102","CAG","6","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19390730","2","CHI09","KCM","l","regular","y"
"CAG193908100","sparj102","CAG","7","1","value","4","4","2","2","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19390810","0","MIL03","CV9","w","regular","y"
"CAG193908131","sparj102","CAG","7","1","value","4","2","0","0","0","0","0","0","0","0","0","2","0","","0","0","0","0","0","","","","19390813","1","CHI09","CV9","l","regular","y"
"CAG193908132","sparj102","CAG","7","1","value","3","3","0","1","0","0","0","1","0","0","0","0","0","","0","0","0","0","0","","","","19390813","2","CHI09","CV9","l","regular","y"
"CAG193908201","sparj102","CAG","6","1","value","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390820","1","CHI09","SSA","w","regular","y"
"CAG193908202","sparj102","CAG","6","1","value","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19390820","2","CHI09","SSA","l","regular","y"
"MEM193908271","sparj102","CAG","7","1","value","4","4","1","2","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","","","","19390827","1","MEM02","MEM","l","exhibition","y"
"CAG194004142","sparj102","CAG","7","1","value","3","2","1","0","0","0","0","0","0","","0","1","","","0","","","0","","","","","19400414","2","NOL01","BIR","w","exhibition","y"
"HOM194005030","sparj102","CAG","9","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400503","0","MNL01","HOM","l","exhibition","y"
"MEM194005052","sparj102","CAG","7","1","value","3","3","0","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","","19400505","2","MEM02","MEM","w","exhibition","y"
"CV9194005122","sparj102","CAG","3","2","value","3","3","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400512","2","ATL04","CV9","t","regular","y"
"CAG194005180","sparj102","CAG","8","1","value","4","4","0","0","0","0","0","0","0","","0","0","0","1","0","","","0","","","","","19400518","0","CHI09","CV9","l","regular","y"
"CAG194005191","sparj102","CAG","8","1","value","4","4","1","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400519","1","CHI09","CV9","l","regular","y"
"CAG194005192","sparj102","CAG","","","value","","","","","","","","","","","","","","","","","","","","","","","19400519","2","CHI09","CV9","w","regular",""
"CAG194005192","sparj102","CAG","","","lower","","1","","","","","","","","","","","","","","","","","","","","","19400519","2","CHI09","CV9","w","regular",""
"KCM194006091","sparj102","CAG","8","1","value","3","3","0","2","1","0","0","0","0","","0","0","0","","0","","","0","","","","","19400609","1","KAN05","KCM","l","regular","y"
"KCM194006092","sparj102","CAG","6","1","value","3","3","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400609","2","KAN05","KCM","w","regular","y"
"KCM194006100","sparj102","CAG","7","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400610","0","DES01","KCM","l","regular","y"
"CAG194006161","sparj102","CAG","7","1","value","4","3","0","1","0","0","0","0","0","","0","1","","","0","","","0","","","","","19400616","1","CHI09","KCM","l","regular","y"
"IN8194006231","sparj102","CAG","","","value","","","1","1","","","1","3","","","","","","","","","","","","","","","19400623","1","LOU05","IN8","w","regular",""
"IN8194006231","sparj102","CAG","","","lower","","1","1","1","","","1","3","","","","","","","","","","","","","","","19400623","1","LOU05","IN8","w","regular",""
"CAG194006301","sparj102","CAG","7","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400630","1","CHI09","MEM","w","regular","y"
"CAG194007142","sparj102","CAG","","","value","","","1","","","","","","","","","1","","1","","","","","","","1","","19400714","2","CHI09","SNO","w","regular",""
"CAG194007142","sparj102","CAG","","","lower","","1","1","","","","","","","","","1","","1","","","","","","","","","19400714","2","CHI09","SNO","w","regular",""
"BIR194008181","sparj102","CAG","5","1","value","4","3","0","1","0","0","0","0","0","","0","1","","","0","","","0","","","","","19400818","1","BIR01","BIR","l","exhibition","y"
"BIR194008182","sparj102","CAG","5","1","value","3","2","1","0","0","0","0","","0","","0","1","","","0","","","0","","","","","19400818","2","BIR01","BIR","l","exhibition","y"
"MEM194008251","sparj102","CAG","8","1","value","3","2","1","1","0","0","1","2","0","","0","1","","","0","","","0","","","","","19400825","1","MEM02","MEM","l","regular","y"
"CAG194009082","sparj102","CAG","7","1","value","2","2","0","0","0","0","0","","0","","0","","","","0","","","0","","","","","19400908","2","CHI09","KCM","l","regular","y"
