"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"BLS192408031","speac101","BRG","1","2","value","27","6","0","1","0","0","0","19240803","1","BAL13","BLS","W","regular","y"
"BLS192408031","speac101","BRG","1","2","lower","27","5","0","1","0","0","0","19240803","1","BAL13","BLS","W","regular","y"
"BLS192408031","speac101","BRG","1","2","upper","27","6","0","1","0","0","0","19240803","1","BAL13","BLS","W","regular","y"
"BRS192610110","speac101","BRG","1","9","value","27","2","1","1","0","0","0","19261011","0","BRA01","BRS","W","exhibition","y"
"BRS192610110","speac101","BRG","1","9","lower","27","2","0","1","0","0","0","19261011","0","BRA01","BRS","W","exhibition","y"
"BRS192610110","speac101","BRG","1","9","upper","27","2","1","1","0","0","0","19261011","0","BRA01","BRS","W","exhibition","y"
"HOM192710040","speac101","HOM","1","2","value","27","4","0","0","0","0","0","19271004","0","PHI11","ALS","L","exhibition","y"
"HOM192710040","speac101","HOM","1","2","lower","27","4","0","0","0","0","0","19271004","0","PHI11","ALS","L","exhibition","y"
"HOM192710040","speac101","HOM","1","2","upper","27","4","0","0","0","0","0","19271004","0","PHI11","ALS","L","exhibition","y"
"HOM192710100","speac101","HOM","1","2","value","","3","1","0","0","0","0","19271010","0","JAM01","ALS","L","exhibition","y"
"HOM192710100","speac101","HOM","1","2","lower","","3","1","0","0","0","0","19271010","0","JAM01","ALS","L","exhibition","y"
"HOM192710100","speac101","HOM","1","2","upper","","3","1","0","0","0","0","19271010","0","JAM01","ALS","L","exhibition","y"
"NYL192906061","speac101","NYL","1","2","value","27","6","0","0","0","0","0","19290606","1","NYC24","BLS","W","regular","y"
"NYL192906061","speac101","NYL","1","2","lower","27","6","0","0","0","0","0","19290606","1","NYC24","BLS","W","regular","y"
"NYL192906061","speac101","NYL","1","2","upper","27","6","0","0","0","0","0","19290606","1","NYC24","BLS","W","regular","y"
"NYL192909011","speac101","NYL","1","2","value","27","3","0","1","0","0","0","19290901","1","NYC24","HIL","W","regular","y"
"NYL192909011","speac101","NYL","1","2","lower","27","3","0","1","0","0","0","19290901","1","NYC24","HIL","W","regular","y"
"NYL192909011","speac101","NYL","1","2","upper","27","3","0","1","0","0","0","19290901","1","NYC24","HIL","W","regular","y"
