"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"KCM192308052","sweag101","KCM","6","1","value","4","3","1","1","0","0","0","","0","","1","0","0","","0","","","0","","","","","19230805","2","KAN05","ML4","w","regular","y"
"HIL192410030","sweag101","KCM","8","1","value","4","4","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","","","","19241003","0","PHI09","HIL","w","championship","y"
"HIL192410050","sweag101","KCM","6","3","value","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","1","19241005","0","BAL13","HIL","t","championship","y"
"KCM192410110","sweag101","KCM","2","1","value","4","3","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","","","","19241011","0","KAN05","HIL","l","championship","y"
"KCM192410120","sweag101","KCM","7","1","value","4","4","0","2","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","19241012","0","KAN05","HIL","w","championship","y"
"KCM192410140","sweag101","KCM","2","1","value","6","5","0","2","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","","","","19241014","0","KAN05","HIL","w","championship","y"
"KCM192508110","sweag101","KCM","9","3","value","1","0","0","0","0","0","0","","0","","0","1","","0","0","","","0","","","","","19250811","0","KAN05","SSN","l","regular","y"
"SSN192509230","sweag101","KCM","7","1","value","4","2","0","0","0","0","0","0","0","0","1","1","0","","0","0","0","0","0","","","","19250923","0","STL12","SSN","l","lcs","y"
"KCM192509260","sweag101","KCM","7","1","value","4","4","1","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19250926","0","CHI09","SSN","w","lcs","y"
"KCM192509270","sweag101","KCM","9","2","value","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","1","","19250927","0","CHI09","SSN","l","lcs","y"
"KCM192509282","sweag101","KCM","8","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19250928","2","CHI09","SSN","w","lcs","y"
"KCM192510010","sweag101","KCM","7","1","value","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19251001","0","KAN05","HIL","l","championship","y"
"KCM192510020","sweag101","KCM","7","1","value","4","2","1","1","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","","","","19251002","0","KAN05","HIL","w","championship","y"
"KCM192510030","sweag101","KCM","7","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","","","","19251003","0","KAN05","HIL","l","championship","y"
"KCM192510040","sweag101","KCM","7","1","value","4","4","1","2","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","","","","19251004","0","KAN05","HIL","l","championship","y"
"HIL192510080","sweag101","KCM","8","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","19251008","0","PHI09","HIL","l","championship","y"
"HIL192510100","sweag101","KCM","8","1","value","4","2","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","","","","19251010","0","PHI09","HIL","l","championship","y"
"CAG192607132","sweag101","CAG","6","1","value","5","5","2","2","0","0","0","","0","","0","0","0","","0","","","0","","","","","19260713","2","CHI09","DAY","w","regular","y"
"KCM192609180","sweag101","CAG","6","1","value","4","4","0","1","0","0","0","2","0","0","0","0","0","0","1","1","1","0","0","","","","19260918","0","KAN05","KCM","l","lcs","y"
"KCM192609190","sweag101","CAG","6","1","value","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","","","","19260919","0","KAN05","KCM","l","lcs","y"
"KCM192609200","sweag101","CAG","6","1","value","4","3","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","","","","19260920","0","KAN05","KCM","l","lcs","y"
"KCM192609210","sweag101","CAG","5","1","value","5","3","1","1","0","0","0","0","0","0","0","2","0","1","1","0","0","0","0","","","","19260921","0","KAN05","KCM","w","lcs","y"
"CAG192609250","sweag101","CAG","5","1","value","4","3","0","1","0","0","0","1","1","0","0","0","0","","0","0","0","0","0","","","","19260925","0","CHI09","KCM","l","lcs","y"
"CAG192609260","sweag101","CAG","5","1","value","4","4","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19260926","0","CHI09","KCM","w","lcs","y"
"CAG192609280","sweag101","CAG","5","1","value","4","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","19260928","0","CHI09","KCM","w","lcs","y"
"CAG192609291","sweag101","CAG","5","1","value","4","4","0","2","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19260929","1","CHI09","KCM","w","lcs","y"
"ACY192610010","sweag101","CAG","5","1","value","4","3","1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","","","","19261001","0","ACY01","ACY","t","championship","y"
"ACY192610020","sweag101","CAG","5","1","value","5","4","1","2","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","","","","19261002","0","ACY01","ACY","w","championship","y"
"ACY192610030","sweag101","CAG","5","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","19261003","0","BAL13","ACY","l","championship","y"
"ACY192610040","sweag101","CAG","5","1","value","4","4","1","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","19261004","0","PHI09","ACY","t","championship","y"
"ACY192610050","sweag101","CAG","5","1","value","4","4","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","","","","19261005","0","PHI09","ACY","l","championship","y"
