"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"CAG192906290","tayll103","KCM","1","9","value","27","3","0","0","0","0","","","","","","19290629","0","CHI09","CAG","w","regular","y"
"PRG192910190","tayll103","PRG","1","7","value","27","0","0","0","0","0","","","","","","19291019","0","LOS05","PIR","w","exhibition","y"
"PRG192910310","tayll103","PRG","1","7","value","27","0","0","0","0","0","","","","","","19291031","0","LOS05","PIR","w","exhibition","y"
"PRG192911020","tayll103","PRG","1","7","value","27","1","0","0","0","0","","","","","","19291102","0","LOS05","PIR","l","exhibition","y"
"PRG192911030","tayll103","PRG","1","7","value","27","2","0","0","0","0","","","","","","19291103","0","LOS05","PIR","w","exhibition","y"
"HOM193007180","tayll103","KCM","1","8","value","33","2","0","0","0","0","","","","","1","19300718","0","PIT06","HOM","l","exhibition","y"
"HOM193007191","tayll103","KCM","1","8","value","24","5","0","0","0","0","","","","","1","19300719","1","PIT06","HOM","l","exhibition","y"
"HOM193007192","tayll103","KCM","1","9","value","27","3","0","0","0","0","","","","","1","19300719","2","PIT06","HOM","w","exhibition","y"
"KCM193008020","tayll103","KCM","1","9","value","36","1","0","0","0","0","","","","","1","19300802","0","KAN05","HOM","l","exhibition","y"
"BIS193506060","tayll103","KCM","1","9","value","27","0","0","0","0","0","","","","","1","19350606","0","WIN01","BIS","t","exhibition","y"
"ASD193510060","tayll103","KCM","1","9","value","24","0","0","0","0","0","","","","","1","19351006","0","KAN05","ASD","l","exhibition","y"
"KCM193510130","tayll103","KCM","1","9","value","27","3","0","0","0","0","","","","","1","19351013","0","KAN05","MLS","w","exhibition","y"
