"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"NW2194106222","thomc104","NW2","1","7","value","21","","","0","0","0","","","","","1","19410622","2","NWK04","HOM","t","regular","y"
"NY6194106250","thomc104","NW2","1","7","value","24","0","0","0","0","0","","","","","1","19410625","0","HRB01","NY6","w","regular","y"
"NW2194106260","thomc104","NW2","1","7","value","27","","","0","0","0","","","","","1","19410626","0","NWK04","HOM","w","regular","y"
"BLG194106270","thomc104","NW2","1","7","value","24","","","0","0","0","","","","","1","19410627","0","BAL14","BLG","l","regular","y"
"BLG194106300","thomc104","NW2","1","7","value","27","3","0","0","0","0","","","","","1","19410630","0","CHE01","BLG","w","regular","y"
"NW2194107061","thomc104","NW2","1","8","value","","","","0","0","0","","","","","1","19410706","1","NWK04","NY6","l","regular","y"
"NW2194107062","thomc104","NW2","1","8","value","18","","","0","0","0","","","","","1","19410706","2","NWK04","NY6","w","regular","y"
"NW2194107100","thomc104","NW2","1","8","value","27","","","0","0","0","","","","","1","19410710","0","NWK04","BLG","w","regular","y"
"NW2194107120","thomc104","NW2","1","8","value","21","0","0","0","0","0","","","","","1","19410712","0","PAT01","BLG","l","regular","y"
"NW2194107150","thomc104","NW2","1","8","value","27","1","0","0","0","0","","","","","1","19410715","0","NOR02","PH5","w","exhibition","y"
"BLG194107261","thomc104","NW2","1","5","value","24","4","0","0","0","0","","","","","1","19410726","1","PHI17","BLG","l","exhibition","y"
"BLG194107262","thomc104","NW2","1","7","value","21","1","","0","0","0","","","","","1","19410726","2","PHI17","BLG","w","exhibition","y"
"NW2194107271","thomc104","NW2","1","7","value","","","","2","0","0","","","","","1","19410727","1","NWK04","SNO","w","exhibition","y"
"NW2194107271","thomc104","NW2","2","5","value","","","","2","0","0","","","","","1","19410727","1","NWK04","SNO","w","exhibition","y"
"NW2194107272","thomc104","NW2","1","5","value","21","","","0","0","0","","","","","1","19410727","2","NWK04","SNO","w","exhibition","y"
"NW2194108020","thomc104","NW2","1","7","value","","","","0","0","0","","","","","","19410802","0","PAT01","NY5","l","regular","y"
"NW2194108031","thomc104","NW2","1","9","value","","","","0","0","0","","","","","","19410803","1","NWK04","NY5","w","regular","y"
"NW2194108032","thomc104","NW2","1","7","value","12","","","0","0","0","","","","","1","19410803","2","NWK04","NY5","w","regular","y"
"HOM194206150","thomc104","NW2","1","8","value","24","1","0","0","0","0","","","","","1","19420615","0","WAP01","HOM","l","exhibition","y"
"PH5194206160","thomc104","NW2","1","8","value","25","5","0","2","0","0","","","","","1","19420616","0","HRB01","PH5","l","exhibition","y"
"NW2194206211","thomc104","NW2","1","7","value","","","","0","0","0","","","","","1","19420621","1","NWK04","NY5","l","regular","y"
"PH5194206250","thomc104","NW2","1","8","value","24","4","0","0","0","0","","","","","1","19420625","0","PHI17","PH5","l","regular","y"
"HOM194206271","thomc104","NW2","1","8","value","27","2","0","0","0","0","","","","","1","19420627","1","PIT06","HOM","w","regular","y"
"HOM194206272","thomc104","NW2","1","8","value","21","1","0","0","0","0","","","","","1","19420627","2","PIT06","HOM","w","regular","y"
"HOM194206281","thomc104","NW2","1","8","value","42","","","0","0","0","","","","","1","19420628","1","WAS09","HOM","w","regular","y"
"HOM194206282","thomc104","NW2","1","8","value","27","","","0","0","0","","","","","1","19420628","2","WAS09","HOM","t","regular","y"
"HOM194206290","thomc104","NW2","1","8","value","24","","","0","","0","0","","","","1","19420629","0","NPN01","HOM","l","exhibition",""
"HOM194206300","thomc104","NW2","1","8","value","24","","","1","","0","0","","","","","19420630","0","NOR02","HOM","l","exhibition",""
"HOM194207020","thomc104","NW2","1","8","value","24","","","1","","0","0","","","","","19420702","0","POR01","HOM","l","exhibition",""
"NW2194207041","thomc104","NW2","1","8","value","27","0","0","1","0","0","","","","","1","19420704","1","NYC16","BLG","l","regular","y"
"PH5194207160","thomc104","NW2","1","8","value","24","","","0","0","0","","","","","1","19420716","0","PHI17","PH5","w","regular","y"
"BLG194207240","thomc104","NW2","1","8","value","27","","","0","0","0","","","","","1","19420724","0","BAL14","BLG","w","regular","y"
