"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"ASD193310100","thoms105","KCM","1","1","value","12","0","0","0","0","0","0","19331010","0","JOP01","ASD","L","exhibition","y"
"ASD193310100","thoms105","KCM","1","1","lower","12","0","0","0","0","0","0","19331010","0","JOP01","ASD","L","exhibition","y"
"ASD193310100","thoms105","KCM","1","1","upper","12","0","0","0","0","0","0","19331010","0","JOP01","ASD","L","exhibition","y"
"NY6193509221","thoms105","NSH","1","1","value","25","1","0","0","0","0","0","19350922","1","NYC16","NY6","W","exhibition","y"
"NY6193509221","thoms105","NSH","1","1","lower","","1","0","0","0","0","0","19350922","1","NYC16","NY6","W","exhibition","y"
"NY6193509221","thoms105","NSH","1","1","upper","","1","0","0","0","0","0","19350922","1","NYC16","NY6","W","exhibition","y"
"SAS193509290","thoms105","NAS","1","1","value","18","2","2","0","0","0","0","19350929","0","MEM03","SAS","W","allstar","y"
"SAS193509290","thoms105","NAS","1","1","lower","18","2","2","0","0","0","0","19350929","0","MEM03","SAS","W","allstar","y"
"SAS193509290","thoms105","NAS","1","1","upper","18","2","2","0","0","0","0","19350929","0","MEM03","SAS","W","allstar","y"
"PRG193510201","thoms105","PRG","1","1","value","24","0","0","0","0","0","0","19351020","1","LOS02","PIR","W","exhibition","y"
"PRG193510201","thoms105","PRG","1","1","lower","24","0","0","0","0","0","0","19351020","1","LOS02","PIR","W","exhibition","y"
"PRG193510201","thoms105","PRG","1","1","upper","24","0","0","0","0","0","0","19351020","1","LOS02","PIR","W","exhibition","y"
"PRG193511102","thoms105","PRG","1","1","value","15","0","0","0","0","0","0","19351110","2","LOS02","PIR","L","exhibition","y"
"PRG193511102","thoms105","PRG","1","1","lower","15","0","0","0","0","0","0","19351110","2","LOS02","PIR","L","exhibition","y"
"PRG193511102","thoms105","PRG","1","1","upper","15","0","0","0","0","0","0","19351110","2","LOS02","PIR","L","exhibition","y"
"PRG193512222","thoms105","PRG","1","1","value","15","","","0","","0","0","19351222","2","LOS02","PIR","W","exhibition",""
"PRG193512222","thoms105","PRG","1","1","lower","15","","","0","","0","0","19351222","2","LOS02","PIR","W","exhibition",""
"PRG193512222","thoms105","PRG","1","1","upper","15","","","0","","0","0","19351222","2","LOS02","PIR","W","exhibition",""
"PH5193609170","thoms105","PH5","1","1","value","12","0","0","0","0","0","0","19360917","0","PHI17","WEG","L","championship","y"
"PH5193609170","thoms105","PH5","1","1","lower","9","0","0","0","0","0","0","19360917","0","PHI17","WEG","L","championship","y"
"PH5193609170","thoms105","PH5","1","1","upper","12","0","0","0","0","0","0","19360917","0","PHI17","WEG","L","championship","y"
"HOM193909090","thoms105","PH5","1","1","value","","","","0","","0","0","19390909","0","HOM01","HOM","W","divisionseries",""
"HOM193909090","thoms105","PH5","1","1","lower","","","","0","","0","0","19390909","0","HOM01","HOM","W","divisionseries",""
"HOM193909090","thoms105","PH5","1","1","upper","","","","0","","0","0","19390909","0","HOM01","HOM","W","divisionseries",""
"PH5194005110","thoms105","PH5","1","1","value","3","0","0","0","0","0","0","19400511","0","PHI17","BLG","L","regular","y"
"PH5194005110","thoms105","PH5","1","1","lower","3","0","0","0","0","0","0","19400511","0","PHI17","BLG","L","regular","y"
"PH5194005110","thoms105","PH5","1","1","upper","3","0","0","0","0","0","0","19400511","0","PHI17","BLG","L","regular","y"
"BLG194005122","thoms105","PH5","1","1","value","18","","","0","0","0","0","19400512","2","BAL09","BLG","L","regular","y"
"BLG194005122","thoms105","PH5","1","1","lower","18","","","0","0","0","0","19400512","2","BAL09","BLG","L","regular","y"
"BLG194005122","thoms105","PH5","1","1","upper","18","","","0","0","0","0","19400512","2","BAL09","BLG","L","regular","y"
"NW2194005191","thoms105","PH5","1","1","value","24","","","1","0","0","0","19400519","1","NWK04","NW2","L","regular","y"
"NW2194005191","thoms105","PH5","1","1","lower","24","","","1","0","0","0","19400519","1","NWK04","NW2","L","regular","y"
"NW2194005191","thoms105","PH5","1","1","upper","24","","","1","0","0","0","19400519","1","NWK04","NW2","L","regular","y"
"PH5194006011","thoms105","PH5","1","1","value","27","0","4","0","0","0","0","19400601","1","PHI17","HOM","L","regular","y"
"PH5194006011","thoms105","PH5","1","1","lower","27","0","4","0","0","0","0","19400601","1","PHI17","HOM","L","regular","y"
"PH5194006011","thoms105","PH5","1","1","upper","27","0","4","0","0","0","0","19400601","1","PHI17","HOM","L","regular","y"
"PH5194006081","thoms105","PH5","1","1","value","14","0","0","0","0","0","0","19400608","1","PHI17","BLG","W","regular","y"
"PH5194006081","thoms105","PH5","1","1","lower","14","0","0","0","0","0","0","19400608","1","PHI17","BLG","W","regular","y"
"PH5194006081","thoms105","PH5","1","1","upper","14","0","0","0","0","0","0","19400608","1","PHI17","BLG","W","regular","y"
"PH5194006130","thoms105","PH5","1","1","value","16","","","0","","0","0","19400613","0","PHI17","NY6","L","regular","y"
"PH5194006130","thoms105","PH5","1","1","lower","","","","0","","0","0","19400613","0","PHI17","NY6","L","regular","y"
"PH5194006130","thoms105","PH5","1","1","upper","","","","0","","0","0","19400613","0","PHI17","NY6","L","regular","y"
"PH5194006222","thoms105","PH5","1","1","value","9","1","1","0","0","0","0","19400622","2","PHI17","KCM","L","exhibition","y"
"PH5194006222","thoms105","PH5","1","1","lower","9","1","1","0","0","0","0","19400622","2","PHI17","KCM","L","exhibition","y"
"PH5194006222","thoms105","PH5","1","1","upper","9","1","1","0","0","0","0","19400622","2","PHI17","KCM","L","exhibition","y"
"HOM194006232","thoms105","PH5","1","1","value","3","","","0","0","0","0","19400623","2","WAS09","HOM","L","regular","y"
"HOM194006232","thoms105","PH5","1","1","lower","3","","","0","0","0","0","19400623","2","WAS09","HOM","L","regular","y"
"HOM194006232","thoms105","PH5","1","1","upper","3","","","0","0","0","0","19400623","2","WAS09","HOM","L","regular","y"
"HOM194006270","thoms105","PH5","1","1","value","24","0","2","1","0","0","0","19400627","0","WAR03","HOM","L","regular","y"
"HOM194006270","thoms105","PH5","1","1","lower","24","0","2","1","0","0","0","19400627","0","WAR03","HOM","L","regular","y"
"HOM194006270","thoms105","PH5","1","1","upper","24","0","2","1","0","0","0","19400627","0","WAR03","HOM","L","regular","y"
"PH5194007042","thoms105","PH5","1","1","value","6","0","2","0","","0","0","19400704","2","PHI17","NW2","L","regular","y"
"PH5194007042","thoms105","PH5","1","1","lower","6","0","2","0","","0","0","19400704","2","PHI17","NW2","L","regular","y"
"PH5194007042","thoms105","PH5","1","1","upper","6","0","2","0","","0","0","19400704","2","PHI17","NW2","L","regular","y"
"PH5194007062","thoms105","PH5","1","1","value","21","2","2","0","","0","0","19400706","2","PHI17","NY6","W","regular","y"
"PH5194007062","thoms105","PH5","1","1","lower","21","2","2","0","","0","0","19400706","2","PHI17","NY6","W","regular","y"
"PH5194007062","thoms105","PH5","1","1","upper","21","2","2","0","","0","0","19400706","2","PHI17","NY6","W","regular","y"
"PH5194007272","thoms105","PH5","1","1","value","8","0","0","0","","0","0","19400727","2","PHI17","NY5","L","regular","y"
"PH5194007272","thoms105","PH5","1","1","lower","8","0","0","0","","0","0","19400727","2","PHI17","NY5","L","regular","y"
"PH5194007272","thoms105","PH5","1","1","upper","8","0","0","0","","0","0","19400727","2","PHI17","NY5","L","regular","y"
"CAG194104300","thoms105","KCM","1","1","value","","","","0","","0","0","19410430","0","TUL01","CAG","W","exhibition",""
"CAG194104300","thoms105","KCM","1","1","lower","","","","0","","0","0","19410430","0","TUL01","CAG","W","exhibition",""
"CAG194104300","thoms105","KCM","1","1","upper","","","","0","","0","0","19410430","0","TUL01","CAG","W","exhibition",""
"MEM194105042","thoms105","KCM","1","1","value","","","","0","","0","0","19410504","2","MEM02","MEM","W","exhibition",""
"MEM194105042","thoms105","KCM","1","1","lower","","","","0","","0","0","19410504","2","MEM02","MEM","W","exhibition",""
"MEM194105042","thoms105","KCM","1","1","upper","","","","0","","0","0","19410504","2","MEM02","MEM","W","exhibition",""
