"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"CIA194407180","thomu104","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19440718","0","GRA03","CIA","L","regular",""
"CIA194407180","thomu104","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19440718","0","GRA03","CIA","L","regular",""
"CIA194407180","thomu104","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19440718","0","GRA03","CIA","L","regular",""
"CAG194408250","thomu104","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19440825","0","SBD01","CVB","L","regular",""
"CAG194408250","thomu104","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19440825","0","SBD01","CVB","L","regular",""
"CAG194408250","thomu104","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19440825","0","SBD01","CVB","L","regular",""
"MEM194409102","thomu104","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19440910","2","MEM03","MEM","L","exhibition",""
"MEM194409102","thomu104","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19440910","2","MEM03","MEM","L","exhibition",""
"MEM194409102","thomu104","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19440910","2","MEM03","MEM","L","exhibition",""
"CAG194409150","thomu104","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19440915","0","BEL01","MEM","L","exhibition",""
"CAG194409150","thomu104","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19440915","0","BEL01","MEM","L","exhibition",""
"CAG194409150","thomu104","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19440915","0","BEL01","MEM","L","exhibition",""
"CAG194409162","thomu104","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19440916","2","IND10","MEM","L","exhibition",""
"CAG194409162","thomu104","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19440916","2","IND10","MEM","L","exhibition",""
"CAG194409162","thomu104","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19440916","2","IND10","MEM","L","exhibition",""
"CVB194409290","thomu104","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19440929","0","DAL01","CVB","L","exhibition",""
"CVB194409290","thomu104","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19440929","0","DAL01","CVB","L","exhibition",""
"CVB194409290","thomu104","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19440929","0","DAL01","CVB","L","exhibition",""
"CAG194807220","thomu104","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19480722","0","DCT02","MEM","L","regular",""
"CAG194807220","thomu104","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19480722","0","DCT02","MEM","L","regular",""
"CAG194807220","thomu104","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19480722","0","DCT02","MEM","L","regular",""
"IN9194808200","thomu104","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19480820","0","COL05","IN9","L","regular",""
"IN9194808200","thomu104","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19480820","0","COL05","IN9","L","regular",""
"IN9194808200","thomu104","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19480820","0","COL05","IN9","L","regular",""
