"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"HOM194808090","tricb101","HOM","1","1","value","6","","","0","","0","0","19480809","0","PIT06","IN9","W","exhibition",""
"HOM194808090","tricb101","HOM","1","1","lower","6","","","0","","0","0","19480809","0","PIT06","IN9","W","exhibition",""
"HOM194808090","tricb101","HOM","1","1","upper","6","","","0","","0","0","19480809","0","PIT06","IN9","W","exhibition",""
"BLG194808222","tricb101","HOM","1","9","value","27","2","0","0","0","0","0","19480822","2","BAL14","BLG","W","exhibition","y"
"BLG194808222","tricb101","HOM","1","9","lower","27","2","0","0","0","0","0","19480822","2","BAL14","BLG","W","exhibition","y"
"BLG194808222","tricb101","HOM","1","9","upper","27","2","0","0","0","0","0","19480822","2","BAL14","BLG","W","exhibition","y"
"HOM194809051","tricb101","HOM","1","1","value","4","","","0","0","0","0","19480905","1","WAS09","IN9","W","exhibition","y"
"HOM194809051","tricb101","HOM","1","1","lower","4","","","0","0","0","0","19480905","1","WAS09","IN9","W","exhibition","y"
"HOM194809051","tricb101","HOM","1","1","upper","4","","","0","0","0","0","19480905","1","WAS09","IN9","W","exhibition","y"
"NW2194809080","tricb101","HOM","1","9","value","","","","0","0","0","0","19480908","0","NWK04","NW2","W","regular","y"
"NW2194809080","tricb101","HOM","1","9","lower","","","","0","","0","0","19480908","0","NWK04","NW2","W","regular","y"
"NW2194809080","tricb101","HOM","1","9","upper","","","","0","","0","0","19480908","0","NWK04","NW2","W","regular","y"
"BLG194809190","tricb101","HOM","1","1","value","8","1","0","0","0","0","0","19480919","0","BAL14","BLG","L","championship","y"
"BLG194809190","tricb101","HOM","1","1","lower","8","1","0","0","0","0","0","19480919","0","BAL14","BLG","L","championship","y"
"BLG194809190","tricb101","HOM","1","1","upper","8","1","0","0","0","0","0","19480919","0","BAL14","BLG","L","championship","y"
