"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BIR193805012","tysoc101","BIR","5","2","value","1","0","0","0","0","0","0","0","0","","0","1","","","0","","","","","","1","","19380501","2","BIR01","CAG","l","exhibition","y"
"JAX193805080","tysoc101","BIR","7","2","value","1","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","","19380508","0","JKV01","JAX","l","exibition","y"
"BIR194005191","tysoc101","BIR","8","1","value","4","4","1","2","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400519","1","BIR01","SNO","l","regular","y"
"BIR194005192","tysoc101","BIR","8","1","value","3","3","1","2","1","0","0","","0","","0","0","0","","0","","","0","","","","","19400519","2","BIR01","SNO","w","regular","y"
"BIR194006021","tysoc101","BIR","4","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400602","1","BIR01","MEM","l","regular","y"
"BIR194006022","tysoc101","BIR","4","1","value","3","3","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400602","2","BIR01","MEM","l","regular","y"
"BIR194106100","tysoc101","BIR","8","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19410610","0","GAD01","MEM","w","regular","y"
"BIR194106292","tysoc101","BIR","","","value","","","","","","","","","","","","","","","","","","","","","","","19410629","2","BIR01","CAG","l","regular",""
"JAX194107010","tysoc101","BIR","","","value","","","","","","","","","","","","","","","","","","","","","","","19410701","0","JKV01","JAX","w","regular",""
"JAX194107020","tysoc101","BIR","","","value","","","","","","","","","","","","","","","","","","","","","","","19410702","0","JKV01","JAX","l","regular",""
"BIR194107061","tysoc101","BIR","9","3","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19410706","1","BIR01","SNO","l","regular","y"
"KCM194107100","tysoc101","BIR","","","value","","","","","","","","","","","","","","","","","","","","","","","19410710","0","OKC02","KCM","l","regular",""
"JAX194107140","tysoc101","BIR","8","1","value","4","4","1","3","0","1","0","1","0","","0","0","0","","0","","","0","","","","","19410714","0","DAV01","JAX","w","regular","y"
"BIR194107150","tysoc101","BIR","","","value","","","","","","","","","","","","","","","","","","","","","","","19410715","0","STP02","JAX","l","regular",""
