"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"PRG193310151","waltj101","PIR","1","1","value","8","0","4","0","0","0","0","19331015","1","LOS05","PRG","L","exhibition","y"
"PRG193310151","waltj101","PIR","1","1","lower","8","0","4","0","0","0","0","19331015","1","LOS05","PRG","L","exhibition","y"
"PRG193310151","waltj101","PIR","1","1","upper","8","0","4","0","0","0","0","19331015","1","LOS05","PRG","L","exhibition","y"
"PRG193310152","waltj101","PIR","1","9","value","","0","0","0","0","0","0","19331015","2","LOS05","PRG","W","exhibition","y"
"PRG193310152","waltj101","PIR","1","9","lower","","0","0","0","0","0","0","19331015","2","LOS05","PRG","W","exhibition","y"
"PRG193310152","waltj101","PIR","1","9","upper","","0","0","0","0","0","0","19331015","2","LOS05","PRG","W","exhibition","y"
"PRG193311112","waltj101","PIR","1","1","value","18","","","0","","0","0","19331111","2","LOS05","PRG","L","exhibition",""
"PRG193311112","waltj101","PIR","1","1","lower","18","","","0","","0","0","19331111","2","LOS05","PRG","L","exhibition",""
"PRG193311112","waltj101","PIR","1","1","upper","18","","","0","","0","0","19331111","2","LOS05","PRG","L","exhibition",""
"PRG193401072","waltj101","PIR","1","1","value","15","","","0","","0","0","19340107","2","LOS05","PRG","L","exhibition",""
"PRG193401072","waltj101","PIR","1","1","lower","","","","0","","0","0","19340107","2","LOS05","PRG","L","exhibition",""
"PRG193401072","waltj101","PIR","1","1","upper","","","","0","","0","0","19340107","2","LOS05","PRG","L","exhibition",""
