"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"CV9194003240","washf101","SNO","1","1","value","3","","","0","0","0","0","19400324","0","JKV01","CV9","L","exhibition","y"
"CV9194003240","washf101","SNO","1","1","lower","3","","","0","0","0","0","19400324","0","JKV01","CV9","L","exhibition","y"
"CV9194003240","washf101","SNO","1","1","upper","3","","","0","0","0","0","19400324","0","JKV01","CV9","L","exhibition","y"
"CV9194003310","washf101","SNO","1","1","value","6","","","0","0","0","0","19400331","0","JKV01","CV9","L","exhibition","y"
"CV9194003310","washf101","SNO","1","1","lower","6","","","0","0","0","0","19400331","0","JKV01","CV9","L","exhibition","y"
"CV9194003310","washf101","SNO","1","1","upper","6","","","0","0","0","0","19400331","0","JKV01","CV9","L","exhibition","y"
"MEM194004210","washf101","SNO","1","1","value","","","","0","","0","0","19400421","0","OKC01","MEM","L","exhibition",""
"MEM194004210","washf101","SNO","1","1","lower","","","","0","","0","0","19400421","0","OKC01","MEM","L","exhibition",""
"MEM194004210","washf101","SNO","1","1","upper","","","","0","","0","0","19400421","0","OKC01","MEM","L","exhibition",""
"MEM194005130","washf101","SNO","1","1","value","19","0","0","2","0","0","0","19400513","0","MEM02","MEM","L","regular","y"
"MEM194005130","washf101","SNO","1","1","lower","19","0","0","2","0","0","0","19400513","0","MEM02","MEM","L","regular","y"
"MEM194005130","washf101","SNO","1","1","upper","19","0","0","2","0","0","0","19400513","0","MEM02","MEM","L","regular","y"
"SNO194007072","washf101","SNO","1","1","value","12","0","7","0","0","0","0","19400707","2","NOL01","CV9","L","regular","y"
"SNO194007072","washf101","SNO","1","1","lower","12","0","7","0","0","0","0","19400707","2","NOL01","CV9","L","regular","y"
"SNO194007072","washf101","SNO","1","1","upper","12","0","7","0","0","0","0","19400707","2","NOL01","CV9","L","regular","y"
"SNO194104130","washf101","SNO","1","1","value","12","0","0","0","0","0","0","19410413","0","MNL01","CAG","L","exhibition","y"
"SNO194104130","washf101","SNO","1","1","lower","12","0","0","0","0","0","0","19410413","0","MNL01","CAG","L","exhibition","y"
"SNO194104130","washf101","SNO","1","1","upper","12","0","0","0","0","0","0","19410413","0","MNL01","CAG","L","exhibition","y"
"SNO194104201","washf101","SNO","1","1","value","3","0","0","0","0","0","0","19410420","1","NOL01","BLG","L","exhibition","y"
"SNO194104201","washf101","SNO","1","1","lower","3","0","0","0","0","0","0","19410420","1","NOL01","BLG","L","exhibition","y"
"SNO194104201","washf101","SNO","1","1","upper","3","0","0","0","0","0","0","19410420","1","NOL01","BLG","L","exhibition","y"
"SNO194104202","washf101","SNO","1","1","value","18","0","1","0","0","0","0","19410420","2","NOL01","BLG","L","exhibition","y"
"SNO194104202","washf101","SNO","1","1","lower","18","0","1","0","0","0","0","19410420","2","NOL01","BLG","L","exhibition","y"
"SNO194104202","washf101","SNO","1","1","upper","18","0","1","0","0","0","0","19410420","2","NOL01","BLG","L","exhibition","y"
"CAG194105080","washf101","SNO","1","1","value","","","","0","","0","0","19410508","0","OKC02","CAG","W","exhibition",""
"CAG194105080","washf101","SNO","1","1","lower","","","","0","","0","0","19410508","0","OKC02","CAG","W","exhibition",""
"CAG194105080","washf101","SNO","1","1","upper","","","","0","","0","0","19410508","0","OKC02","CAG","W","exhibition",""
"SNO194105130","washf101","SNO","1","1","value","0","0","0","0","0","0","0","19410513","0","NOL01","JAX","L","regular","y"
"SNO194105130","washf101","SNO","1","1","lower","0","0","0","0","0","0","0","19410513","0","NOL01","JAX","L","regular","y"
"SNO194105130","washf101","SNO","1","1","upper","0","0","0","0","0","0","0","19410513","0","NOL01","JAX","L","regular","y"
"CAG194305312","washf101","CAG","1","1","value","6","","","0","","0","0","19430531","2","CHI10","KCM","L","regular",""
"CAG194305312","washf101","CAG","1","1","lower","6","","","0","","0","0","19430531","2","CHI10","KCM","L","regular",""
"CAG194305312","washf101","CAG","1","1","upper","6","","","0","","0","0","19430531","2","CHI10","KCM","L","regular",""
"BIR194404022","washf101","BIR","1","1","value","","","","0","","0","0","19440402","2","BIR01","CAG","W","exhibition",""
"BIR194404022","washf101","BIR","1","1","lower","","","","0","","0","0","19440402","2","BIR01","CAG","W","exhibition",""
"BIR194404022","washf101","BIR","1","1","upper","","","","0","","0","0","19440402","2","BIR01","CAG","W","exhibition",""
"BIR194404240","washf101","BIR","1","1","value","27","","","0","","0","0","19440424","0","MTG01","BLG","L","exhibition",""
"BIR194404240","washf101","BIR","1","1","lower","27","","","0","","0","0","19440424","0","MTG01","BLG","L","exhibition",""
"BIR194404240","washf101","BIR","1","1","upper","27","","","0","","0","0","19440424","0","MTG01","BLG","L","exhibition",""
"CAG194405100","washf101","BIR","1","1","value","27","","","0","","0","0","19440510","0","DAY03","CAG","W","regular",""
"CAG194405100","washf101","BIR","1","1","lower","27","","","0","","0","0","19440510","0","DAY03","CAG","W","regular",""
"CAG194405100","washf101","BIR","1","1","upper","27","","","0","","0","0","19440510","0","DAY03","CAG","W","regular",""
"CVB194405230","washf101","BIR","1","1","value","15","","","0","","0","0","19440523","0","BUF06","CVB","W","regular",""
"CVB194405230","washf101","BIR","1","1","lower","15","","","0","","0","0","19440523","0","BUF06","CVB","W","regular",""
"CVB194405230","washf101","BIR","1","1","upper","15","","","0","","0","0","19440523","0","BUF06","CVB","W","regular",""
"HOM194406120","washf101","BIR","1","1","value","24","0","3","0","0","0","0","19440612","0","HRB01","HOM","L","exhibition","y"
"HOM194406120","washf101","BIR","1","1","lower","24","0","3","0","0","0","0","19440612","0","HRB01","HOM","L","exhibition","y"
"HOM194406120","washf101","BIR","1","1","upper","24","0","3","0","0","0","0","19440612","0","HRB01","HOM","L","exhibition","y"
"KCM194407190","washf101","BIR","1","1","value","24","0","4","2","1","0","0","19440719","0","STJ01","KCM","W","regular","y"
"KCM194407190","washf101","BIR","1","1","lower","24","0","4","2","1","0","0","19440719","0","STJ01","KCM","W","regular","y"
"KCM194407190","washf101","BIR","1","1","upper","24","0","4","2","1","0","0","19440719","0","STJ01","KCM","W","regular","y"
"CIA194407240","washf101","BIR","1","1","value","6","","","0","","0","0","19440724","0","DAY03","CIA","L","regular",""
"CIA194407240","washf101","BIR","1","1","lower","6","","","0","","0","0","19440724","0","DAY03","CIA","L","regular",""
"CIA194407240","washf101","BIR","1","1","upper","6","","","0","","0","0","19440724","0","DAY03","CIA","L","regular",""
"BIR194504230","washf101","BIR","1","1","value","27","","","0","","0","0","19450423","0","MTG01","NY6","W","exhibition",""
"BIR194504230","washf101","BIR","1","1","lower","27","","","0","","0","0","19450423","0","MTG01","NY6","W","exhibition",""
"BIR194504230","washf101","BIR","1","1","upper","27","","","0","","0","0","19450423","0","MTG01","NY6","W","exhibition",""
"BIR194505070","washf101","BIR","1","1","value","24","","","0","","0","0","19450507","0","MTG01","CVB","L","regular",""
"BIR194505070","washf101","BIR","1","1","lower","24","","","0","","0","0","19450507","0","MTG01","CVB","L","regular",""
"BIR194505070","washf101","BIR","1","1","upper","24","","","0","","0","0","19450507","0","MTG01","CVB","L","regular",""
"CIA194506220","washf101","CIA","1","1","value","","","","0","","0","0","19450622","0","DAY03","MEM","L","regular",""
"CIA194506220","washf101","CIA","1","1","lower","","","","0","","0","0","19450622","0","DAY03","MEM","L","regular",""
"CIA194506220","washf101","CIA","1","1","upper","","","","0","","0","0","19450622","0","DAY03","MEM","L","regular",""
"CIA194507042","washf101","CIA","1","1","value","","","","0","","0","0","19450704","2","IND10","CAG","L","regular",""
"CIA194507042","washf101","CIA","1","1","lower","","","","0","","0","0","19450704","2","IND10","CAG","L","regular",""
"CIA194507042","washf101","CIA","1","1","upper","","","","0","","0","0","19450704","2","IND10","CAG","L","regular",""
"NY6194507120","washf101","CIA","1","1","value","5","0","1","0","0","0","0","19450712","0","NYC14","NY6","L","exhibition","y"
"NY6194507120","washf101","CIA","1","1","lower","5","0","1","0","0","0","0","19450712","0","NYC14","NY6","L","exhibition","y"
"NY6194507120","washf101","CIA","1","1","upper","5","0","1","0","0","0","0","19450712","0","NYC14","NY6","L","exhibition","y"
"BLG194507130","washf101","CIA","1","1","value","23","","","0","0","0","0","19450713","0","BAL14","BLG","L","exhibition","y"
"BLG194507130","washf101","CIA","1","1","lower","23","","","0","0","0","0","19450713","0","BAL14","BLG","L","exhibition","y"
"BLG194507130","washf101","CIA","1","1","upper","23","","","0","0","0","0","19450713","0","BAL14","BLG","L","exhibition","y"
"CAG194508270","washf101","KCM","1","1","value","","","","0","","0","0","19450827","0","CHI10","CAG","T","regular",""
"CAG194508270","washf101","KCM","1","1","lower","","","","0","","0","0","19450827","0","CHI10","CAG","T","regular",""
"CAG194508270","washf101","KCM","1","1","upper","","","","0","","0","0","19450827","0","CHI10","CAG","T","regular",""
