"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"BLS192510111","washj101","HOM","1","3","value","27","9","","0","0","0","0","19251011","1","BAL13","BLS","W","exhibition","y"
"BLS192510111","washj101","HOM","1","3","lower","27","9","","0","0","0","0","19251011","1","BAL13","BLS","W","exhibition","y"
"BLS192510111","washj101","HOM","1","3","upper","27","9","","0","0","0","0","19251011","1","BAL13","BLS","W","exhibition","y"
"HOM192610030","washj101","HOM","1","3","value","30","11","0","0","2","0","0","19261003","0","YOU01","ALS","L","exhibition","y"
"HOM192610030","washj101","HOM","1","3","lower","30","11","0","0","2","0","0","19261003","0","YOU01","ALS","L","exhibition","y"
"HOM192610030","washj101","HOM","1","3","upper","30","11","0","0","2","0","0","19261003","0","YOU01","ALS","L","exhibition","y"
"HOM192610040","washj101","HOM","1","3","value","27","9","0","0","1","0","0","19261004","0","PIT06","ALS","W","exhibition","y"
"HOM192610040","washj101","HOM","1","3","lower","27","9","0","0","1","0","0","19261004","0","PIT06","ALS","W","exhibition","y"
"HOM192610040","washj101","HOM","1","3","upper","27","9","0","0","1","0","0","19261004","0","PIT06","ALS","W","exhibition","y"
"HOM192610110","washj101","HOM","1","3","value","27","11","0","0","1","0","0","19261011","0","PIT06","ALS","W","exhibition","y"
"HOM192610110","washj101","HOM","1","3","lower","27","11","0","0","1","0","0","19261011","0","PIT06","ALS","W","exhibition","y"
"HOM192610110","washj101","HOM","1","3","upper","27","11","0","0","1","0","0","19261011","0","PIT06","ALS","W","exhibition","y"
"HOM192710040","washj101","HOM","1","3","value","27","11","0","0","0","0","0","19271004","0","PHI11","ALS","L","exhibition","y"
"HOM192710040","washj101","HOM","1","3","lower","27","11","0","0","0","0","0","19271004","0","PHI11","ALS","L","exhibition","y"
"HOM192710040","washj101","HOM","1","3","upper","27","11","0","0","0","0","0","19271004","0","PHI11","ALS","L","exhibition","y"
"HOM192710050","washj101","HOM","1","3","value","27","","","0","0","0","0","19271005","0","JOH01","ALS","L","exhibition","y"
"HOM192710050","washj101","HOM","1","3","lower","27","","","0","0","0","0","19271005","0","JOH01","ALS","L","exhibition","y"
"HOM192710050","washj101","HOM","1","3","upper","27","","","0","0","0","0","19271005","0","JOH01","ALS","L","exhibition","y"
"HOM192710070","washj101","HOM","1","3","value","27","8","3","0","1","0","0","19271007","0","UNI01","ALS","L","exhibition","y"
"HOM192710070","washj101","HOM","1","3","lower","27","8","3","0","1","0","0","19271007","0","UNI01","ALS","L","exhibition","y"
"HOM192710070","washj101","HOM","1","3","upper","27","8","3","0","1","0","0","19271007","0","UNI01","ALS","L","exhibition","y"
"HOM192710080","washj101","HOM","1","3","value","27","12","0","0","0","0","0","19271008","0","PIT06","ALS","W","exhibition","y"
"HOM192710080","washj101","HOM","1","3","lower","27","12","0","0","0","0","0","19271008","0","PIT06","ALS","W","exhibition","y"
"HOM192710080","washj101","HOM","1","3","upper","27","12","0","0","0","0","0","19271008","0","PIT06","ALS","W","exhibition","y"
"HOM192710090","washj101","HOM","1","3","value","27","13","0","0","0","0","0","19271009","0","YOU01","ALS","W","exhibition","y"
"HOM192710090","washj101","HOM","1","3","lower","27","13","0","0","0","0","0","19271009","0","YOU01","ALS","W","exhibition","y"
"HOM192710090","washj101","HOM","1","3","upper","27","13","0","0","0","0","0","19271009","0","YOU01","ALS","W","exhibition","y"
"HOM192710100","washj101","HOM","1","3","value","27","9","2","0","1","0","0","19271010","0","JAM01","ALS","L","exhibition","y"
"HOM192710100","washj101","HOM","1","3","lower","27","9","2","0","1","0","0","19271010","0","JAM01","ALS","L","exhibition","y"
"HOM192710100","washj101","HOM","1","3","upper","27","9","2","0","1","0","0","19271010","0","JAM01","ALS","L","exhibition","y"
"HOM192810070","washj101","HOM","1","3","value","27","13","0","0","1","0","0","19281007","0","SHA01","ALS","W","exhibition","y"
"HOM192810070","washj101","HOM","1","3","lower","27","13","0","0","1","0","0","19281007","0","SHA01","ALS","W","exhibition","y"
"HOM192810070","washj101","HOM","1","3","upper","27","13","0","0","1","0","0","19281007","0","SHA01","ALS","W","exhibition","y"
"HOM192810080","washj101","HOM","1","3","value","27","16","0","0","2","0","0","19281008","0","FMT01","ALS","W","exhibition","y"
"HOM192810080","washj101","HOM","1","3","lower","27","16","0","0","2","0","0","19281008","0","FMT01","ALS","W","exhibition","y"
