"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"PRG194210111","washk101","PRG","1","4","value","27","1","3","0","0","0","0","19421011","1","LOS02","PIR","L","exhibition","y"
"PRG194210111","washk101","PRG","1","4","lower","27","1","3","0","0","0","0","19421011","1","LOS02","PIR","L","exhibition","y"
"PRG194210111","washk101","PRG","1","4","upper","27","1","3","0","0","0","0","19421011","1","LOS02","PIR","L","exhibition","y"
"PRG194210112","washk101","PRG","1","4","value","15","1","0","0","0","0","0","19421011","2","LOS02","PIR","L","exhibition","y"
"PRG194210112","washk101","PRG","1","4","lower","15","1","0","0","0","0","0","19421011","2","LOS02","PIR","L","exhibition","y"
"PRG194210112","washk101","PRG","1","4","upper","15","1","0","0","0","0","0","19421011","2","LOS02","PIR","L","exhibition","y"
"PRG194210181","washk101","PRG","1","7","value","","0","0","0","0","0","0","19421018","1","LOS02","PIR","L","exhibition","y"
"PRG194210181","washk101","PRG","1","7","lower","","0","0","0","0","0","0","19421018","1","LOS02","PIR","L","exhibition","y"
"PRG194210181","washk101","PRG","1","7","upper","","0","0","0","0","0","0","19421018","1","LOS02","PIR","L","exhibition","y"
"PRG194210182","washk101","PRG","1","7","value","18","0","0","0","0","0","0","19421018","2","LOS02","PIR","L","exhibition","y"
"PRG194210182","washk101","PRG","1","7","lower","18","0","0","0","0","0","0","19421018","2","LOS02","PIR","L","exhibition","y"
"PRG194210182","washk101","PRG","1","7","upper","18","0","0","0","0","0","0","19421018","2","LOS02","PIR","L","exhibition","y"
