"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"ASW195208170","washt101","ASE","1","6","value","24","1","0","1","0","0","0","19520817","0","CHI10","ASW","L","allstar","y"
"ASW195208170","washt101","ASE","1","6","lower","24","1","0","1","0","0","0","19520817","0","CHI10","ASW","L","allstar","y"
"ASW195208170","washt101","ASE","1","6","upper","24","1","0","1","0","0","0","19520817","0","CHI10","ASW","L","allstar","y"
"ASW195507310","washt101","ASW","1","6","value","","0","1","1","0","0","0","19550731","0","CHI10","ASE","W","allstar","y"
"ASW195507310","washt101","ASW","1","6","lower","","0","1","1","0","0","0","19550731","0","CHI10","ASE","W","allstar","y"
"ASW195507310","washt101","ASW","1","6","upper","","0","1","1","0","0","0","19550731","0","CHI10","ASE","W","allstar","y"
"ASW195808240","washt101","ASW","1","5","value","","","","0","0","0","0","19580824","0","CHI10","ASE","L","allstar","y"
"ASW195808240","washt101","ASW","1","5","lower","","","","0","0","0","0","19580824","0","CHI10","ASE","L","allstar","y"
"ASW195808240","washt101","ASW","1","5","upper","","","","0","0","0","0","19580824","0","CHI10","ASE","L","allstar","y"
"ASW195808310","washt101","ASW","1","5","value","27","","","0","","0","0","19580831","0","NYC16","ASE","L","allstar",""
"ASW195808310","washt101","ASW","1","5","lower","27","","","0","","0","0","19580831","0","NYC16","ASE","L","allstar",""
"ASW195808310","washt101","ASW","1","5","upper","27","","","0","","0","0","19580831","0","NYC16","ASE","L","allstar",""
"ASW195908090","washt101","ASW","1","5","value","33","","","1","","0","0","19590809","0","CHI10","ASE","W","allstar",""
"ASW195908090","washt101","ASW","1","5","lower","33","","","1","","0","0","19590809","0","CHI10","ASE","W","allstar",""
"ASW195908090","washt101","ASW","1","5","upper","33","","","1","","0","0","19590809","0","CHI10","ASE","W","allstar",""
"ASW196008210","washt101","ASW","1","5","value","27","","","1","","0","0","19600821","0","CHI10","ASE","W","allstar",""
"ASW196008210","washt101","ASW","1","5","lower","27","","","1","","0","0","19600821","0","CHI10","ASE","W","allstar",""
"ASW196008210","washt101","ASW","1","5","upper","27","","","1","","0","0","19600821","0","CHI10","ASE","W","allstar",""
