"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"HOM194405030","white107","HOM","1","1","value","12","","","0","","0","0","19440503","0","DAY03","CVB","L","exhibition",""
"HOM194405030","white107","HOM","1","1","lower","12","","","0","","0","0","19440503","0","DAY03","CVB","L","exhibition",""
"HOM194405030","white107","HOM","1","1","upper","12","","","0","","0","0","19440503","0","DAY03","CVB","L","exhibition",""
"HOM194405301","white107","HOM","1","1","value","17","0","2","0","0","0","0","19440530","1","PIT06","BLG","L","regular","y"
"HOM194405301","white107","HOM","1","1","lower","","0","2","0","0","0","0","19440530","1","PIT06","BLG","L","regular","y"
"HOM194405301","white107","HOM","1","1","upper","","0","2","0","0","0","0","19440530","1","PIT06","BLG","L","regular","y"
"HOM194406190","white107","HOM","1","1","value","3","0","0","1","0","0","0","19440619","0","HRB01","NW2","L","regular","y"
"HOM194406190","white107","HOM","1","1","lower","3","0","0","1","0","0","0","19440619","0","HRB01","NW2","L","regular","y"
"HOM194406190","white107","HOM","1","1","upper","3","0","0","1","0","0","0","19440619","0","HRB01","NW2","L","regular","y"
"HOM194407120","white107","HOM","1","9","value","27","1","0","0","0","0","0","19440712","0","HRB01","NY6","W","regular","y"
"HOM194407120","white107","HOM","1","9","lower","27","1","0","0","0","0","0","19440712","0","HRB01","NY6","W","regular","y"
"HOM194407120","white107","HOM","1","9","upper","27","1","0","0","0","0","0","19440712","0","HRB01","NY6","W","regular","y"
"PH5194408072","white107","HOM","1","1","value","3","0","0","0","0","0","0","19440807","2","PHI11","PH5","L","regular","y"
"PH5194408072","white107","HOM","1","1","lower","3","0","0","0","0","0","0","19440807","2","PHI11","PH5","L","regular","y"
"PH5194408072","white107","HOM","1","1","upper","3","0","0","0","0","0","0","19440807","2","PHI11","PH5","L","regular","y"
"HOM194408260","white107","HOM","1","1","value","14","1","1","0","0","0","0","19440826","0","ALT02","NW2","W","regular","y"
"HOM194408260","white107","HOM","1","1","lower","14","1","1","0","0","0","0","19440826","0","ALT02","NW2","W","regular","y"
"HOM194408260","white107","HOM","1","1","upper","14","1","1","0","0","0","0","19440826","0","ALT02","NW2","W","regular","y"
"CVB194409120","white107","HOM","1","1","value","","","","0","","0","0","19440912","0","COL05","CVB","W","exhibition",""
"CVB194409120","white107","HOM","1","1","lower","","","","0","","0","0","19440912","0","COL05","CVB","W","exhibition",""
"CVB194409120","white107","HOM","1","1","upper","","","","0","","0","0","19440912","0","COL05","CVB","W","exhibition",""
