"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"HOM194305100","willc107","NW2","9","2","value","3","1","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","19430510","0","RIC04","HOM","L","exhibition","y"
"HOM194305100","willc107","NW2","9","2","lower","3","1","1","1","0","0","0","0","","0","","","","0","","","0","","","","19430510","0","RIC04","HOM","L","exhibition","y"
"HOM194305100","willc107","NW2","9","2","upper","3","1","1","1","0","0","0","0","","0","","","","0","","","0","","","","19430510","0","RIC04","HOM","L","exhibition","y"
"PH5194305150","willc107","NW2","9","1","value","3","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19430515","0","PHI17","PH5","W","regular","y"
"PH5194305150","willc107","NW2","9","1","lower","3","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19430515","0","PHI17","PH5","W","regular","y"
"PH5194305150","willc107","NW2","9","1","upper","3","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19430515","0","PHI17","PH5","W","regular","y"
"NW2194305231","willc107","NW2","","","value","","0","","","","","0","","","","","","","","","","","","","","19430523","1","NWK04","HSL","L","regular",""
"NW2194305231","willc107","NW2","","","lower","","0","","","","","0","","","","","","","","","","","","","","19430523","1","NWK04","HSL","L","regular",""
"NW2194305231","willc107","NW2","","","upper","","0","","","","","0","","","","","","","","","","","","","","19430523","1","NWK04","HSL","L","regular",""
"NW2194305250","willc107","NW2","9","2","value","4","1","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19430525","0","TRE01","NY5","W","regular","y"
"NW2194305250","willc107","NW2","9","2","lower","4","1","1","0","0","0","0","0","","0","","","","0","","","0","","","","19430525","0","TRE01","NY5","W","regular","y"
"NW2194305250","willc107","NW2","9","2","upper","4","1","1","0","0","0","0","0","","0","","","","0","","","0","","","","19430525","0","TRE01","NY5","W","regular","y"
"NW2194305290","willc107","NW2","9","2","value","1","0","0","0","0","0","","1","","0","0","0","","0","","","0","","","","19430529","0","PAT01","NY5","W","regular","y"
"NW2194305290","willc107","NW2","9","2","lower","1","0","0","0","0","0","","1","","0","","","","0","","","0","","","","19430529","0","PAT01","NY5","W","regular","y"
"NW2194305290","willc107","NW2","9","2","upper","1","0","0","0","0","0","","1","","0","","","","0","","","0","","","","19430529","0","PAT01","NY5","W","regular","y"
"PH5194306100","willc107","NW2","","","value","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19430610","0","PHI17","PH5","L","regular",""
"PH5194306100","willc107","NW2","","","lower","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19430610","0","PHI17","PH5","L","regular",""
"PH5194306100","willc107","NW2","","","upper","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19430610","0","PHI17","PH5","L","regular",""
"BLG194306120","willc107","NW2","9","1","value","1","0","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","19430612","0","BAL14","BLG","L","regular","y"
"BLG194306120","willc107","NW2","9","1","lower","1","0","1","0","0","0","1","0","","0","","","","0","","","0","","","","19430612","0","BAL14","BLG","L","regular","y"
"BLG194306120","willc107","NW2","9","1","upper","1","0","1","0","0","0","1","0","","0","","","","0","","","0","","","","19430612","0","BAL14","BLG","L","regular","y"
"HSL194306180","willc107","NW2","8","1","value","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19430618","0","HRB01","HSL","L","regular","y"
"HSL194306180","willc107","NW2","8","1","lower","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19430618","0","HRB01","HSL","L","regular","y"
"HSL194306180","willc107","NW2","8","1","upper","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19430618","0","HRB01","HSL","L","regular","y"
"HOM194307010","willc107","NW2","","","value","","","","","","","","","","","","","","","","","","","","","19430701","0","NOR02","HOM","L","regular",""
