"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"MEM194507221","wille106","KCM","1","4","value","27","","","0","1","0","0","19450722","1","DET04","MEM","W","regular","y"
"MEM194507221","wille106","KCM","1","4","lower","27","","","0","1","0","0","19450722","1","DET04","MEM","W","regular","y"
"MEM194507221","wille106","KCM","1","4","upper","27","","","0","1","0","0","19450722","1","DET04","MEM","W","regular","y"
"MEM194507222","wille106","KCM","1","4","value","21","","","0","1","0","0","19450722","2","DET04","MEM","W","regular","y"
"MEM194507222","wille106","KCM","1","4","lower","21","","","0","1","0","0","19450722","2","DET04","MEM","W","regular","y"
"MEM194507222","wille106","KCM","1","4","upper","21","","","0","1","0","0","19450722","2","DET04","MEM","W","regular","y"
"KCM194507291","wille106","KCM","1","7","value","27","0","0","0","0","0","0","19450729","1","KAN05","CAG","W","exhibition","y"
"KCM194507291","wille106","KCM","1","7","lower","27","0","0","0","0","0","0","19450729","1","KAN05","CAG","W","exhibition","y"
"KCM194507291","wille106","KCM","1","7","upper","27","0","0","0","0","0","0","19450729","1","KAN05","CAG","W","exhibition","y"
"KCM194507292","wille106","KCM","1","7","value","18","0","0","1","0","0","0","19450729","2","KAN05","CAG","L","exhibition","y"
"KCM194507292","wille106","KCM","1","7","lower","18","0","0","1","0","0","0","19450729","2","KAN05","CAG","L","exhibition","y"
"KCM194507292","wille106","KCM","1","7","upper","18","0","0","1","0","0","0","19450729","2","KAN05","CAG","L","exhibition","y"
"KCM194507300","wille106","KCM","1","7","value","27","1","1","0","1","0","0","19450730","0","KAN05","CAG","W","regular","y"
"KCM194507300","wille106","KCM","1","7","lower","27","1","1","0","1","0","0","19450730","0","KAN05","CAG","W","regular","y"
"KCM194507300","wille106","KCM","1","7","upper","27","1","1","0","1","0","0","19450730","0","KAN05","CAG","W","regular","y"
"HOM194508071","wille106","KCM","1","7","value","24","1","0","0","","0","0","19450807","1","PHI11","HOM","L","exhibition","y"
"HOM194508071","wille106","KCM","1","7","lower","24","1","0","0","","0","0","19450807","1","PHI11","HOM","L","exhibition","y"
"HOM194508071","wille106","KCM","1","7","upper","24","1","0","0","","0","0","19450807","1","PHI11","HOM","L","exhibition","y"
"HOM194508082","wille106","KCM","1","7","value","27","","","0","0","0","0","19450808","2","PIT06","HOM","W","exhibition","y"
"HOM194508082","wille106","KCM","1","7","lower","27","","","0","0","0","0","19450808","2","PIT06","HOM","W","exhibition","y"
"HOM194508082","wille106","KCM","1","7","upper","27","","","0","0","0","0","19450808","2","PIT06","HOM","W","exhibition","y"
"PH5194508091","wille106","KCM","1","7","value","24","1","0","0","","0","0","19450809","1","WAS09","PH5","L","exhibition","y"
"PH5194508091","wille106","KCM","1","7","lower","24","1","0","0","","0","0","19450809","1","WAS09","PH5","L","exhibition","y"
"PH5194508091","wille106","KCM","1","7","upper","24","1","0","0","","0","0","19450809","1","WAS09","PH5","L","exhibition","y"
"KCM194508110","wille106","KCM","1","7","value","27","0","0","0","0","0","0","19450811","0","WIL04","BIR","L","regular","y"
"KCM194508110","wille106","KCM","1","7","lower","27","0","0","0","0","0","0","19450811","0","WIL04","BIR","L","regular","y"
"KCM194508110","wille106","KCM","1","7","upper","27","0","0","0","0","0","0","19450811","0","WIL04","BIR","L","regular","y"
"NY5194508122","wille106","KCM","1","7","value","27","0","0","0","0","0","0","19450812","2","NYC16","NY5","W","exhibition","y"
"NY5194508122","wille106","KCM","1","7","lower","27","0","0","0","0","0","0","19450812","2","NYC16","NY5","W","exhibition","y"
"NY5194508122","wille106","KCM","1","7","upper","27","0","0","0","0","0","0","19450812","2","NYC16","NY5","W","exhibition","y"
"HOM194508162","wille106","KCM","1","7","value","30","","","0","0","0","0","19450816","2","WAS09","HOM","T","exhibition","y"
"HOM194508162","wille106","KCM","1","7","lower","30","","","0","0","0","0","19450816","2","WAS09","HOM","T","exhibition","y"
"HOM194508162","wille106","KCM","1","7","upper","30","","","0","0","0","0","19450816","2","WAS09","HOM","T","exhibition","y"
"CAG194508261","wille106","KCM","1","7","value","","","","0","0","0","0","19450826","1","CHI10","CAG","L","regular","y"
"CAG194508261","wille106","KCM","1","7","lower","","","","0","0","0","0","19450826","1","CHI10","CAG","L","regular","y"
"CAG194508261","wille106","KCM","1","7","upper","","","","0","0","0","0","19450826","1","CHI10","CAG","L","regular","y"
"CAG194508280","wille106","KCM","1","7","value","24","2","0","0","0","0","0","19450828","0","DAV01","CAG","L","regular","y"
"CAG194508280","wille106","KCM","1","7","lower","24","2","0","0","0","0","0","19450828","0","DAV01","CAG","L","regular","y"
"CAG194508280","wille106","KCM","1","7","upper","24","2","0","0","0","0","0","19450828","0","DAV01","CAG","L","regular","y"
"KCM194508290","wille106","KCM","1","7","value","18","1","0","0","0","0","0","19450829","0","KAN05","CAG","W","regular","y"
"KCM194508290","wille106","KCM","1","7","lower","18","1","0","0","0","0","0","19450829","0","KAN05","CAG","W","regular","y"
"KCM194508290","wille106","KCM","1","7","upper","18","1","0","0","0","0","0","19450829","0","KAN05","CAG","W","regular","y"
"KCM194509021","wille106","KCM","1","7","value","27","4","0","0","0","0","0","19450902","1","KAN05","MEM","L","regular","y"
"KCM194509021","wille106","KCM","1","7","lower","27","4","0","0","0","0","0","19450902","1","KAN05","MEM","L","regular","y"
"KCM194509021","wille106","KCM","1","7","upper","27","4","0","0","0","0","0","19450902","1","KAN05","MEM","L","regular","y"
"KCM194509022","wille106","KCM","1","7","value","21","2","0","0","0","0","0","19450902","2","KAN05","MEM","W","regular","y"
