"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"PH5194205231","willl106","NY6","1","9","value","24","0","1","0","0","0","","","","","1","19420523","1","PHI17","PH5","l","regular","y"
"PH5194205232","willl106","NY6","1","9","value","18","0","0","0","0","0","","","","","1","19420523","2","PHI17","PH5","l","regular","y"
"NY6194205312","willl106","NY6","1","9","value","27","0","0","1","0","0","","","","","1","19420531","2","NYC16","NW2","l","regular","y"
"HOM194206170","willl106","NY6","1","8","value","18","3","0","0","0","0","","","","","1","19420617","0","SCR01","HOM","l","exhibition","y"
"NW2194206180","willl106","NY6","1","8","value","18","","","0","0","0","","","","","1","19420618","0","NWK04","NW2","l","regular","y"
"NY6194206212","willl106","NY6","1","8","value","27","2","0","0","0","0","","","","","1","19420621","2","NYC16","BLG","w","regular","y"
"NY6194206281","willl106","NY6","1","8","value","27","3","0","0","0","0","","","","","1","19420628","1","NYC16","PH5","l","regular","y"
"PH5194207020","willl106","NY6","1","8","value","24","3","0","0","0","0","","","","","1","19420702","0","PHI17","PH5","l","regular","y"
"NY5194207042","willl106","NY6","1","8","value","27","2","0","0","0","0","","","","","1","19420704","2","NYC16","NY5","w","regular","y"
"NY6194207110","willl106","NY6","1","8","value","24","3","0","0","0","0","","","","","1","19420711","0","HRB01","BLG","l","exhibition","y"
"BLG194207121","willl106","NY6","1","8","value","24","6","0","1","0","0","","","","","1","19420712","1","BAL14","BLG","l","regular","y"
"BLG194207122","willl106","NY6","1","8","value","18","2","0","1","0","0","","","","","1","19420712","2","BAL14","BLG","l","regular","y"
"BLG194207180","willl106","NY6","1","8","value","24","3","0","0","0","0","","","","","1","19420718","0","PHI17","BLG","l","regular","y"
"NY6194207220","willl106","NY6","1","8","value","27","","","0","","0","0","","","","1","19420722","0","NPN01","BLG","w","exhibition",""
"NY6194207262","willl106","NY6","1","8","value","27","2","0","0","0","0","","","","","1","19420726","2","NYC16","BIR","w","exhibition","y"
"NY6194208022","willl106","NY6","1","8","value","21","1","0","0","0","0","","","","","1","19420802","2","NYC16","KCM","l","exhibition","y"
"NY6194208040","willl106","NY6","1","8","value","27","","","0","","0","0","","","","","19420804","0","POR01","CAG","w","exhibition",""
"HOM194208161","willl106","NY6","1","8","value","27","2","0","0","0","0","","","","","1","19420816","1","WAS09","HOM","w","exhibition","y"
"HOM194208162","willl106","NY6","1","8","value","18","2","0","0","0","0","","","","","1","19420816","2","WAS09","HOM","l","exhibition","y"
"BIR194208231","willl106","CI2","1","8","value","","3","0","0","0","0","","","","","","19420823","1","BIR01","BIR","w","exhibition","y"
"BLG194208231","willl106","NY6","1","7","value","24","","","0","0","0","","","","","1","19420823","1","BAL14","BLG","l","exhibition","y"
"BIR194208232","willl106","CI2","1","8","value","21","0","0","1","0","0","","","","","1","19420823","2","BIR01","BIR","t","exhibition","y"
"BLG194208232","willl106","NY6","1","8","value","20","","","0","0","0","","","","","1","19420823","2","BAL14","BLG","l","exhibition","y"
"NY6194208240","willl106","NY6","1","8","value","27","2","0","0","0","0","","","","","1","19420824","0","YOR03","NY5","l","exhibition","y"
"KCM194209020","willl106","CI2","1","3","value","27","13","0","1","0","0","","","","","1","19420902","0","AKR01","KCM","w","exhibition","y"
"CAG194209040","willl106","NY6","1","8","value","27","1","0","0","0","0","","","","","1","19420904","0","DAV01","CAG","w","exhibition","y"
