"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"CAG192106200","willp103","CAG","1","2","value","3","","","0","0","0","0","","","","","19210620","0","CHI09","CG1","w","regular","y"
"CAG192107102","willp103","CAG","1","2","value","18","6","0","0","0","0","0","0","0","0","0","19210710","2","CHI09","SLG","w","regular","y"
"DT1192206270","willp103","DT1","1","2","value","27","10","0","0","0","0","0","","","","","19220627","0","DET07","SSN","w","regular","y"
"MEM192508290","willp103","BIR","1","2","value","27","6","2","0","0","0","0","","","","","19250829","0","MEM01","MEM","w","regular","y"
"KCM192708150","willp103","BIR","1","2","value","30","6","0","0","0","0","0","","","","","19270815","0","KAN05","KCM","w","regular","y"
"BIR192709200","willp103","BIR","1","2","value","27","8","8","0","0","0","0","","","","","19270920","0","BIR01","CAG","l","lcs","y"
"BIR192709210","willp103","BIR","1","2","value","27","7","1","0","0","0","0","","","","","19270921","0","BIR01","CAG","w","lcs","y"
"CAG192709240","willp103","BIR","1","2","value","24","7","1","0","1","0","0","","","","","19270924","0","CHI09","CAG","l","lcs","y"
"NSH193011020","willp103","NSH","1","2","value","27","4","1","0","0","0","0","","","","1","19301102","0","LOS05","PIR","w","exhibition","y"
"NSH193012071","willp103","NSH","1","2","value","27","","","0","","0","","","","","1","19301207","1","LOS05","PIR","w","exhibition",""
"NSH193012072","willp103","NSH","1","2","value","21","2","","0","1","0","0","","","","1","19301207","2","LOS05","PIR","l","exhibition","y"
