"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"KCM194004210","wilsj107","IN8","2","2","value","1","1","0","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","","19400421","0","ATL04","KCM","l","exhibition","y"
"BLG194005051","wilsj107","IN8","2","1","value","5","4","1","1","0","0","0","","0","","0","1","","","0","","","0","","","","","19400505","1","NSH02","BLG","l","exhibition","y"
"BIR194005121","wilsj107","BIR","1","1","value","4","4","0","2","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400512","1","BIR01","KCM","l","regular","y"
"BIR194005122","wilsj107","BIR","1","1","value","4","3","0","0","0","0","0","","0","","1","0","0","","3","","","0","","","","","19400512","2","BIR01","KCM","w","regular","y"
"BIR194005170","wilsj107","BIR","1","1","value","","","","","","","","","","","","","","","","","","","","","","","19400517","0","ANN01","SNO","l","regular",""
"BIR194005191","wilsj107","BIR","1","1","value","5","4","2","1","0","0","0","","0","","1","0","0","","0","","","0","","","","","19400519","1","BIR01","SNO","l","regular","y"
"BIR194005192","wilsj107","BIR","1","1","value","3","3","0","1","1","0","0","","0","","0","0","0","","0","","","0","","","","","19400519","2","BIR01","SNO","w","regular","y"
"BIR194005200","wilsj107","BIR","","","value","","","1","","","","","","","","","1","","","","","","","","","","","19400520","0","BIR01","SNO","w","regular",""
"IN8194005260","wilsj107","IN8","","","value","","","1","1","","","","","","","","","","","","","","","","","","","19400526","0","IND10","CAG","w","regular",""
"IN8194005260","wilsj107","IN8","","","lower","","1","1","1","","","","","","","","","","","","","","","","","","","19400526","0","IND10","CAG","w","regular",""
"IN8194006021","wilsj107","IN8","1","1","value","5","4","1","0","0","0","0","0","0","","0","1","","","0","","","0","","","","","19400602","1","IND10","SNO","w","regular","y"
"IN8194006022","wilsj107","IN8","1","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400602","2","IND10","SNO","l","regular","y"
"CV9194006091","wilsj107","IN8","1","1","value","4","4","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400609","1","CLE06","CV9","l","regular","y"
"CV9194006092","wilsj107","IN8","1","1","value","4","4","2","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400609","2","CLE06","CV9","l","regular","y"
"IN8194006232","wilsj107","IN8","","","value","","","1","1","","","1","1","","","","","","","","","","","","","","","19400623","2","LOU05","CAG","w","regular",""
"IN8194006232","wilsj107","IN8","","","lower","","1","1","1","","","1","1","","","","","","","","","","","","","","","19400623","2","LOU05","CAG","w","regular",""
"IN8194006270","wilsj107","IN8","1","1","value","4","4","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400627","0","IND10","KCM","w","regular","y"
"MEM194007211","wilsj107","IN8","1","1","value","5","5","0","0","0","0","0","0","0","","0","0","0","0","0","","","0","","","","","19400721","1","MEM02","MEM","l","regular","y"
"SNO194007260","wilsj107","IN8","1","1","value","4","2","0","0","0","0","0","0","0","","0","2","","","0","","","0","","","","","19400726","0","HOU05","SNO","w","regular","y"
"SNO194007281","wilsj107","IN8","1","1","value","4","3","0","1","0","0","0","0","0","","1","0","0","","0","","","0","","","","","19400728","1","NOL01","SNO","l","regular","y"
"KCM194008020","wilsj107","IN8","1","1","value","6","6","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400802","0","BEL01","KCM","t","regular","y"
"KCM194008140","wilsj107","IN8","1","1","value","4","3","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","","19400814","0","SHW01","KCM","l","regular","y"
"KCM194008181","wilsj107","IN8","1","1","value","4","4","0","1","0","0","0","0","0","","0","0","0","","1","","","0","","","","","19400818","1","KAN05","KCM","l","regular","y"
"KCM194008182","wilsj107","IN8","1","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400818","2","KAN05","KCM","l","regular","y"
"BIR194105111","wilsj107","BIR","1","1","value","2","2","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19410511","1","BIR01","KCM","l","regular","y"
"BIR194105112","wilsj107","BIR","1","1","value","4","4","1","2","0","0","0","","0","","0","0","0","","0","","","0","","","","","19410511","2","BIR01","KCM","l","regular","y"
