"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"MEM193804170","wilsl102","MEM","","1","value","","","","","","","","","","","","","","","","","","","","","","","19380417","0","MEM02","PH5","l","exhibition",""
"MEM193805011","wilsl102","MEM","","1","value","","","","","","","","","","","","","","","","","","","","","","","19380501","1","MEM02","ATN","w","exhibition",""
"CAG193805210","wilsl102","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19380521","0","CHI09","CAG","l","regular",""
"JAX193806230","wilsl102","MEM","","1","value","","","","","","","","","","","","","","","","","","","","","","","19380623","0","JKV01","JAX","w","regular",""
"MEM193808211","wilsl102","MEM","","1","value","","","","","","","","","","","","","","","","","","","","","","","19380821","1","MEM02","IN7","w","exhibition",""
"CAG193809051","wilsl102","MEM","","1","value","","","","","","","","","","","","","","","","","","","","","","","19380905","1","CHI09","CAG","l","regular",""
"MEM193904302","wilsl102","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19390430","2","MEM02","SSA","w","exhibition",""
"MEM193905072","wilsl102","MEM","9","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390507","2","MEM02","CAG","w","exhibition","y"
"KCM193905150","wilsl102","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19390515","0","STJ01","KCM","l","exhibition",""
"MEM193905220","wilsl102","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19390522","0","MEM02","SSA","w","regular",""
"CAG193905302","wilsl102","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19390530","2","CHI09","CAG","l","exhibition",""
"MEM193906140","wilsl102","MEM","9","1","value","3","3","0","1","0","0","0","2","0","","0","0","0","","0","","","0","","","","","19390614","0","WIC01","KCM","w","regular","y"
"MEM193906210","wilsl102","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19390621","0","SEL01","ATN","w","exhibition",""
"MEM193906260","wilsl102","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19390626","0","LRK02","CAG","l","regular",""
"MEM193907042","wilsl102","MEM","","","value","","","0","","","","","","","","","","","","","","","","","","","","19390704","2","MEM02","CV9","w","regular",""
"MEM193907070","wilsl102","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19390707","0","FUL01","CV9","l","regular",""
"MEM193907161","wilsl102","MEM","8","1","value","3","3","0","2","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19390716","1","MEM02","SSA","l","regular","y"
"MEM193907232","wilsl102","MEM","","","value","","","0","","","","","0","","","","","","","","","","","","","","","19390723","2","MEM02","CV9","l","regular",""
"SSA193907270","wilsl102","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19390727","0","STL13","SSA","w","regular",""
"MEM193908170","wilsl102","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19390817","0","LRK02","KCM","w","regular",""
"CAG193909041","wilsl102","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19390904","1","CHI09","CAG","w","regular",""
"MEM193909171","wilsl102","MEM","9","2","value","2","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19390917","1","NOL01","KCM","l","exhibition","y"
"KCM193909242","wilsl102","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19390924","2","OKC01","KCM","l","exhibition",""
"BLG194004072","wilsl102","MEM","9","1","value","4","4","2","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400407","2","NOL01","BLG","w","exhibition","y"
"MEM194004140","wilsl102","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19400414","0","MEM02","BLG","l","exhibition",""
"MEM194005051","wilsl102","MEM","9","2","value","3","3","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400505","1","MEM02","CAG","w","exhibition","y"
"MEM194005081","wilsl102","MEM","9","1","value","2","1","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","","19400508","1","NOL01","CAG","w","exhibition","y"
"MEM194005122","wilsl102","MEM","9","1","value","0","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400512","2","MEM02","SNO","w","regular","y"
"MEM194005130","wilsl102","MEM","9","2","value","0","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400513","0","MEM02","SNO","w","regular","y"
"MEM194005191","wilsl102","MEM","9","2","value","2","2","0","0","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19400519","1","MEM02","KCM","l","regular","y"
"KCM194005261","wilsl102","MEM","9","1","value","3","3","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400526","1","KAN05","KCM","l","regular","y"
"SNO194007270","wilsl102","IN8","9","1","value","3","3","0","0","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19400727","0","BAT01","SNO","l","regular","y"
