"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"SAS193910010","wrigj105","SAS","9","1","value","1","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19391001","0","NOL01","NAS","L","allstar","y"
"SAS193910010","wrigj105","SAS","9","1","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","","","","","19391001","0","NOL01","NAS","L","allstar","y"
"SAS193910010","wrigj105","SAS","9","1","upper","1","0","0","0","0","0","0","0","","0","","","","0","","","","","","","19391001","0","NOL01","NAS","L","allstar","y"
"KCM194004210","wrigj105","IN8","9","1","value","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19400421","0","ATL04","KCM","L","exhibition","y"
"KCM194004210","wrigj105","IN8","9","1","lower","2","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400421","0","ATL04","KCM","L","exhibition","y"
"KCM194004210","wrigj105","IN8","9","1","upper","2","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400421","0","ATL04","KCM","L","exhibition","y"
"KCM194004300","wrigj105","IN8","","","value","","","","","","","","","","","","","","","","","","","","","19400430","0","GAL01","KCM","W","exhibition",""
"KCM194004300","wrigj105","IN8","","","lower","","","","","","","","","","","","","","","","","","","","","19400430","0","GAL01","KCM","W","exhibition",""
"KCM194004300","wrigj105","IN8","","","upper","","","","","","","","","","","","","","","","","","","","","19400430","0","GAL01","KCM","W","exhibition",""
"BLG194005051","wrigj105","IN8","9","1","value","4","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19400505","1","NSH02","BLG","L","exhibition","y"
"BLG194005051","wrigj105","IN8","9","1","lower","4","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19400505","1","NSH02","BLG","L","exhibition","y"
"BLG194005051","wrigj105","IN8","9","1","upper","4","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19400505","1","NSH02","BLG","L","exhibition","y"
"IN8194005260","wrigj105","IN8","","","value","","","","","","","","","","","","","","","","","","","","","19400526","0","IND10","CAG","W","regular",""
"IN8194005260","wrigj105","IN8","","","lower","","","","","","","","","","","","","","","","","","","","","19400526","0","IND10","CAG","W","regular",""
"IN8194005260","wrigj105","IN8","","","upper","","","","","","","","","","","","","","","","","","","","","19400526","0","IND10","CAG","W","regular",""
"IN8194006022","wrigj105","IN8","9","1","value","1","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","19400602","2","IND10","SNO","L","regular","y"
"IN8194006022","wrigj105","IN8","9","1","lower","1","0","","0","0","0","0","0","","0","","","","0","","","0","","","","19400602","2","IND10","SNO","L","regular","y"
"IN8194006022","wrigj105","IN8","9","1","upper","1","0","","0","0","0","0","0","","0","","","","0","","","0","","","","19400602","2","IND10","SNO","L","regular","y"
"CV9194006091","wrigj105","IN8","9","1","value","2","0","0","0","0","0","0","1","","0","0","0","","0","","","0","","","","19400609","1","CLE06","CV9","L","regular","y"
"CV9194006091","wrigj105","IN8","9","1","lower","2","0","0","0","0","0","0","1","","0","","","","0","","","0","","","","19400609","1","CLE06","CV9","L","regular","y"
"CV9194006091","wrigj105","IN8","9","1","upper","2","0","0","0","0","0","0","1","","0","","","","0","","","0","","","","19400609","1","CLE06","CV9","L","regular","y"
"IN8194006190","wrigj105","IN8","","","value","","","","","","","","","","","","","","","","","","","","","19400619","0","TOL05","KCM","W","regular",""
"IN8194006190","wrigj105","IN8","","","lower","","","","","","","","","","","","","","","","","","","","","19400619","0","TOL05","KCM","W","regular",""
"IN8194006190","wrigj105","IN8","","","upper","","","","","","","","","","","","","","","","","","","","","19400619","0","TOL05","KCM","W","regular",""
"IN8194006231","wrigj105","IN8","","","value","","","","","","","","","","","","","","","","","","","","","19400623","1","LOU05","CAG","L","regular",""
"IN8194006231","wrigj105","IN8","","","lower","","","","","","","","","","","","","","","","","","","","","19400623","1","LOU05","CAG","L","regular",""
"IN8194006231","wrigj105","IN8","","","upper","","","","","","","","","","","","","","","","","","","","","19400623","1","LOU05","CAG","L","regular",""
"IN8194006240","wrigj105","IN8","","","value","","","","","","","","","","","","","","","","","","","","","19400624","0","TOL05","CAG","L","regular",""
"IN8194006240","wrigj105","IN8","","","lower","","","","","","","","","","","","","","","","","","","","","19400624","0","TOL05","CAG","L","regular",""
"IN8194006240","wrigj105","IN8","","","upper","","","","","","","","","","","","","","","","","","","","","19400624","0","TOL05","CAG","L","regular",""
"SNO194007281","wrigj105","IN8","9","1","value","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19400728","1","NOL01","SNO","L","regular","y"
"SNO194007281","wrigj105","IN8","9","1","lower","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400728","1","NOL01","SNO","L","regular","y"
"SNO194007281","wrigj105","IN8","9","1","upper","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400728","1","NOL01","SNO","L","regular","y"
"SNO194007300","wrigj105","IN8","","","value","","","","","","","","","","","","","","","","","","","","","19400730","0","HOU04","SNO","L","regular",""
"SNO194007300","wrigj105","IN8","","","lower","","","","","","","","","","","","","","","","","","","","","19400730","0","HOU04","SNO","L","regular",""
"SNO194007300","wrigj105","IN8","","","upper","","","","","","","","","","","","","","","","","","","","","19400730","0","HOU04","SNO","L","regular",""
"KCM194008020","wrigj105","IN8","2","3","value","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19400802","0","BEL01","KCM","T","regular","y"
"KCM194008020","wrigj105","IN8","2","3","lower","1","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19400802","0","BEL01","KCM","T","regular","y"
"KCM194008020","wrigj105","IN8","2","3","upper","1","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19400802","0","BEL01","KCM","T","regular","y"
"CAG194008111","wrigj105","IN8","","","value","","","","","","","","","","","","","","","","","","","","","19400811","1","CHI09","CAG","W","regular",""
"CAG194008111","wrigj105","IN8","","","lower","","","","","","","","","","","","","","","","","","","","","19400811","1","CHI09","CAG","W","regular",""
"CAG194008111","wrigj105","IN8","","","upper","","","","","","","","","","","","","","","","","","","","","19400811","1","CHI09","CAG","W","regular",""
"KCM194008181","wrigj105","IN8","9","1","value","3","0","0","0","0","0","0","0","","1","0","0","","0","","","0","","","","19400818","1","KAN05","KCM","L","regular","y"
