"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","pbp","season"
"NYL193007051","BLS","NYL","NYC16","19300705","1","0:00PM","","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","wasnu90","connu903","","jamic901","","","hollb106","flouw101","","exhibition","4","13","NYL","BLS","y","both","y","y","","1930"
"NYL193007052","BLS","NYL","NYC16","19300705","2","0:00PM","","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","connu903","jamic901","","wasnu901","","","yokel101","rectc101","","exhibition","5","3","BLS","NYL","y","both","y","y","","1930"
"HOM193009201","NYL","HOM","PIT06","19300920","1","0:00PM","day","","","false","","-1","3000","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","willl105","cox-a101","","championship","1","9","HOM","NYL","y","both","y","y","","1930"
"HOM193009202","NYL","HOM","PIT06","19300920","2","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","oweno101","rectc101","","championship","16","17","HOM","NYL","y","both","y","y","","1930"
"NYL193009211","HOM","NYL","NYC16","19300921","1","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","wasnu901","wadeu901","","jamic901","","","hollb106","willj109","","championship","2","6","NYL","HOM","y","both","y","y","","1930"
"NYL193009212","HOM","NYL","NYC16","19300921","2","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","wadeu901","jamic901","","wasnu901","","","britg103","farrl101","","championship","3","2","HOM","NYL","y","both","y","y","","1930"
"NYL193009250","HOM","NYL","PHI17","19300925","0","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","willj109","rectc101","","championship","11","3","HOM","NYL","y","both","y","y","","1930"
"HOM193009260","NYL","HOM","PHI17","19300926","0","","","","","","","","","","","","","","","","","","","","","","","ryanr102","","","championship","6","4","NYL","HOM","","","","","","1930"
"NYL193009271","HOM","NYL","NYC16","19300927","1","0:00PM","day","","","false","","0","0","unknown","unknown","unknown","0","unknown","-1","","","wasnu901","jamic901","","otooj901","","","rectc101","willj109","","exhibition","8","9","NYL","HOM","y","both","y","y","y","1930"
"NYL193009272","HOM","NYL","NYC16","19300927","2","0:00PM","day","","","false","","0","0","unknown","unknown","unknown","0","unknown","-1","","","otooj901","jamic901","","wasnu901","","","rossw101","rectc101","","exhibition","7","3","HOM","NYL","y","both","y","y","y","1930"
"NYL193009281","HOM","NYL","NYC16","19300928","1","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","wasnu901","jamic901","","","","","hollb106","willj109","","championship","2","6","NYL","HOM","y","both","y","y","","1930"
"NYL193009282","HOM","NYL","NYC16","19300928","2","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","britg103","hollb106","","championship","5","2","HOM","NYL","y","both","y","y","","1930"
