"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"PRG193401071","PRG","2","0","2","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","value","","","6","8","","","","","","","","","","11","","","","","","27","","","6","","","","0","0","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","paigs101","duket102","","","","","","","","","19340107","1","LOS05","PIR","w","exhibition","","1934"
"PRG193401072","PRG","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","value","","","1","3","","","","1","","","","","","","","","","","","18","","","2","","","","0","0","","","","","","","","","","","","18","","1","","0","","","","","","","","","","","","","","willj117","duket102","","","","","","","","","19340107","2","LOS05","PIR","w","exhibition","","1934"
"PRG193410130","PRG","3","0","0","3","0","3","5","0","","","","","","","","","","","","","","","","","","","","","13","","value","51","41","14","18","1","1","2","14","0","0","0","10","0","7","6","0","1","0","0","27","0","38","10","3","0","3","5","5","3","0","5","0","0","0","0","0","1","1","0","27","8","0","1","0","0","0","1","1","bellj103","hughs101","wellw101","steat101","suttm101","willc106","snowf101","browl107","carts102","carts102","browl107","hughs101","willc106","snowf101","wellw101","steat101","bellj103","suttm101","","19341013","0","LOS05","PIR","w","exhibition","y","1934"
"PRG193410141","PRG","0","4","1","1","0","0","1","0","","","","","","","","","","","","","","","","","","","","","6","","value","37","35","7","8","2","1","2","7","0","0","0","2","0","4","1","0","0","0","3","27","0","37","4","0","0","1","2","2","6","0","7","1","0","0","0","0","1","0","0","27","10","0","2","0","0","0","1","0","bellj103","hughs101","wellw101","steat101","suttm101","willc106","snowf101","browl107","porta103","porta103","browl107","hughs101","willc106","snowf101","wellw101","steat101","bellj103","suttm101","","19341014","1","LOS05","PIR","w","exhibition","y","1934"
"PRG193410142","PRG","0","0","0","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","3","6","","","","","","","","","","","","","","","","15","","","4","","","1","6","","1","","","","","","","","","","","15","","3","","0","","","","","","","","","","","","","","willj117","browl107","","","","","","","","","19341014","2","LOS05","PIR","l","exhibition","","1934"
"PRG193410200","PRG","1","0","0","0","2","0","0","1","","","","","","","","","","","","","","","","","","","","","5","","value","33","29","4","7","0","0","2","4","1","","0","3","","6","0","","","","","27","","34","3","1","0","1","2","0","5","","3","0","0","0","0","","0","","0","27","9","0","1","0","0","0","0","","bellj103","hughs101","wellw101","steat101","suttm101","willc106","snowf101","browl107","carts102","carts102","browl107","hughs101","willc106","snowf101","wellw101","steat101","bellj103","suttm101","","19341020","0","LOS05","WHK","w","exhibition","y","1934"
"PRG193410211","PRG","1","1","0","1","2","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","11","","value","50","46","6","13","4","0","3","6","1","0","0","3","0","4","1","0","1","0","2","33","0","48","15","4","0","2","7","6","4","0","8","0","0","0","1","0","1","2","0","33","17","3","3","0","0","0","1","2","bellj103","hughs101","wellw101","steat101","suttm101","willc106","snowf101","browl107","porta103","porta103","browl107","hughs101","willc106","snowf101","wellw101","steat101","bellj103","suttm101","","19341021","1","LOS05","WHK","l","exhibition","y","1934"
"PRG193410212","PRG","0","0","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","3","7","2","","","","","","","","","","","","","","","15","","","4","","","","0","0","","","","","","","","","","","","15","","0","","0","","","","","","","","","","","","","","porta103","browl107","","","","","","","","","19341021","2","LOS05","WHK","w","exhibition","","1934"
"PRG193410270","PRG","5","1","0","0","0","0","2","1","","","","","","","","","","","","","","","","","","","","","4","","value","37","33","9","14","1","0","2","","1","","0","3","","7","0","","","","","27","","42","11","0","0","3","8","0","0","","2","0","0","0","0","","0","","0","27","8","0","1","0","0","0","0","","bellj103","hughs101","wellw101","steat101","suttm101","willc106","snowf101","browl107","carts102","carts102","browl107","hughs101","willc106","snowf101","wellw101","steat101","bellj103","suttm101","","19341027","0","LOS05","PIR","w","exhibition","y","1934"
"PRG193410281","PRG","0","1","0","0","0","2","0","3","","","","","","","","","","","","","","","","","","","","","4","","value","34","27","6","8","1","2","2","6","1","0","1","5","0","4","2","1","2","0","0","27","0","32","8","0","0","2","4","4","0","0","4","0","0","0","1","0","0","2","0","27","15","1","2","0","0","0","0","2","bellj103","hughs101","wellw101","steat101","suttm101","willc106","snowf101","browl107","porta103","porta103","browl107","hughs101","willc106","snowf101","wellw101","steat101","bellj103","suttm101","","19341028","1","LOS05","PIR","w","exhibition","y","1934"
