"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","pbp","season"
"KCM193705161","CAG","KCM","KAN05","19370516","1","","","","","","","85","5000","","","","","","","","","mcdou901","walla901","","","","","smith111","cornw101","","regular","0","4","KCM","CAG","y","both","y","y","","1937"
"KCM193708290","SDO","KCM","KAN05","19370829","0","","","","","","","","6000","","","","","","","","","walla901","mcdou901","","","","","matll101","mcheh101","","exhibition","6","4","SDO","KCM","y","both","y","y","","1937"
"CAG193709080","KCM","CAG","DAY03","19370908","0","0:00PM","","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","cornw101","kranf101","","lcs","4","5","CAG","KCM","y","both","y","y","","1937"
"CAG193709120","KCM","CAG","CHI09","19370912","0","0:00PM","","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","reedp901","donab901","","","","","","","","lcs","2","2","","","y","both","y","y","","1937"
"CAG193709130","KCM","CAG","MIL03","19370913","0","0:00PM","","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","bluev901","duncf102","","","","","smith111","crosn101","","lcs","8","7","KCM","CAG","y","both","y","y","","1937"
"CAG193709140","KCM","CAG","MIL03","19370914","0","","","","","","","","","","","","","","","","","","","","","","","kranf101","crosn101","","lcs","4","1","KCM","CAG","y","both","","","","1937"
"CAG193709150","KCM","CAG","IND10","19370915","0","","","","","","","","","","","","","","","","","","","","","","","markj101","","","lcs","6","3","KCM","CAG","","","","","","1937"
"KCM193709170","CAG","KCM","KAN05","19370917","0","0:00PM","","","","false","","119","1600","unknown","unknown","unknown","0","unknown","-1","","","walla901","sheru901","","","","","smith111","cornw101","","lcs","1","2","KCM","CAG","y","both","y","y","","1937"
"KCM193710050","MLS","KCM","DAV01","19371005","0","0:00PM","night","","","false","","113","5000","unknown","unknown","unknown","0","unknown","-1","","","duhlu901","rahit901","","","","","warnl101","cornw101","","exhibition","5","3","MLS","KCM","y","both","y","y","d","1937"
"MLS193710070","KCM","MLS","CED01","19371007","0","0:00PM","night","","","false","","130","1700","unknown","unknown","unknown","0","unknown","-1","","","saveu901","mcfau901","","","","","weavj101","kranf101","","exhibition","5","6","MLS","KCM","y","both","y","y","","1937"
"MLS193710090","KCM","MLS","MAN01","19371009","0","0:00PM","night","","","false","","-1","1800","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","browm103","smith111","","exhibition","3","6","MLS","KCM","y","both","y","y","","1937"
"KCM193710101","MLS","KCM","KAN05","19371010","1","","day","","","","","","2500","","","","","","","","","walla901","mcdou901","","","","","warnl101","barnv103","browm103","exhibition","1","0","MLS","KCM","y","both","y","y","","1937"
"KCM193710102","MLS","KCM","WIC01","19371010","2","0:00PM","night","","","false","","0","2000","unknown","unknown","unknown","0","unknown","-1","","","reynu901","fairu901","","","","","kranf101","fettl101","","exhibition","4","5","KCM","MLS","y","both","y","y","d","1937"
"MLS193710110","KCM","MLS","OKC01","19371011","0","0:00PM","night","","","false","","130","0","unknown","unknown","unknown","0","unknown","-1","","","perku901","fitzu901","","","","","smith111","fettl101","","exhibition","10","0","KCM","MLS","y","both","y","y","","1937"
