"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"MEM193804100","BLG","0","0","0","4","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","value","","","5","10","","","","","","","","","","","","","","","","24","","","6","","","","6","","","","","","","","","","","","","24","","4","","","","","","","","","","","","","","","","direj101","mackb102","","","","","","","","","19380410","0","MEM02","MEM","l","exhibition","","1938"
"BLG193804180","BLG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","6","","","","","","","","","","","","","","","","","27","","","","","","","4","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380418","0","JAC02","PH5","w","exhibition","","1938"
"BLG193805011","BLG","0","2","0","0","2","0","2","1","x","","","","","","","","","","","","","","","","","","","","14","","value","45","34","7","12","3","1","2","","0","","0","11","","2","2","","","","","27","","35","8","2","0","0","4","","0","","4","1","","","2","","0","","","27","","2","1","0","","","0","","kimbh102","summl101","hughs101","wrigb104","westj102","walkh103","snowf101","mackb102","byrdb101","byrdb101","mackb102","westj102","hughs101","snowf101","walkh103","summl101","kimbh102","wrigb104","","19380501","1","NSH02","PH5","w","exhibition","y","1938"
"BLG193805012","BLG","2","0","0","1","0","0","x","","","","","","","","","","","","","","","","","","","","","","9","","value","30","26","3","8","3","0","0","","","","","4","","1","","","0","","","21","","28","7","1","0","0","1","1","2","","3","","","","","","","","","21","","0","0","","","","","","kimbh102","summl101","hughs101","wrigb104","westj102","walkh103","snowf101","mackb102","grifb102","grifb102","mackb102","hughs101","hughs101","snowf101","walkh103","summl101","kimbh102","wrigb104","","19380501","2","NSH02","PH5","w","exhibition","y","1938"
"BLG193805020","BLG","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","9","","value","42","36","9","11","","","","","2","","0","4","","","","","","","","27","","33","5","","","","2","","2","","","0","","","0","","","","","27","","0","","","","","","","kimbh102","summl101","wrigb104","westj102","scalg101","walkh103","snowf101","mackb102","glovt101","glovt101","mackb102","westj102","snowf101","scalg101","walkh103","summl101","kimbh102","wrigb104","","19380502","0","JAC02","CAG","w","exhibition","y","1938"
"BLG193805030","BLG","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","9","","value","37","31","4","10","","","","","2","","0","4","","","","","","","","27","","37","10","","","","3","3","2","","","0","","","0","","","","","27","","0","","","","","","","kimbh102","snowf101","summl101","byrdb101","scalg101","mackb102","walkh103","campr102","porta103","porta103","campr102","mackb102","snowf101","scalg101","walkh103","summl101","kimbh102","byrdb101","","19380503","0","NSH02","CAG","w","exhibition","y","1938"
"BLG193805040","BLG","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","value","","","12","","","","","","","","","","","","","","","","","27","","","","","","","9","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380504","0","NSH02","CAG","w","exhibition","","1938"
"BLG193805040","BLG","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","lower","","","12","14","","","","","","","","","","","","","","","","27","","","","","","","9","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380504","0","NSH02","CAG","w","exhibition","","1938"
"PTC193805080","BLG","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","0","4","0","0","0","0","","0","","","","6","","","","","","24","","","4","1","0","0","1","","","","2","","","","","","","","","24","","","","","","","","","","","","","","","","","","grifb102","","westj102","","","","","","","","19380508","0","LOU05","PTC","l","exibition","","1938"
"BLG193805150","BLG","3","0","0","3","1","0","4","1","x","","","","","","","","","","","","","","","","","","","","9","","value","45","41","12","17","4","1","1","","","","","4","","4","2","","1","","1","27","","46","9","2","0","0","8","8","2","","1","","","","","","0","","","27","","0","0","0","","","0","","kimbh102","summl101","wrigb104","westj102","scalg101","mackb102","walkh103","snowf101","grifb102","","","","","","","","","","","19380515","0","BAL14","PH5","w","regular","y","1938"
"PH5193805160","BLG","0","2","1","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","3","4","","","","","","","","","","","","","","","","24","","","","","","","9","","","","","","","","","","","","","24","","","","","","","","","","","","","","","","","","direj101","","","","","","","","","","19380516","0","CHE02","PH5","l","regular","","1938"
