"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"HOM194104090","HOM","0","1","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","2","6","","","","","","","","","","6","","","","","","27","","","7","","","","3","","","","","","","","","","","","","27","","3","","0","","","","","","","","","","","","","","","","","","","","","","","","19410409","0","ORL01","KCM","l","exhibition","","1941"
"HOM194104170","HOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","13","","","","","","","","","","","","","","","","","27","","","","","","","4","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","19410417","0","MAC01","NY6","w","exhibition","","1941"
"BLG194104220","HOM","0","0","0","2","3","0","2","1","0","","","","","","","","","","","","","","","","","","","","5","","value","40","36","8","11","1","1","0","6","0","0","0","4","0","4","1","","","0","","27","","33","6","0","0","0","0","0","0","0","9","0","0","0","0","0","0","","0","27","7","0","0","0","0","0","0","","whatd101","benjj101","harrv102","leonb101","wilsj106","wilsd103","willc106","gastr101","mcdut101","mcdut101","gastr101","leonb101","wilsd103","wilsj106","willc106","harrv102","benjj101","whatd101","","19410422","0","NOL01","BLG","w","exhibition","y","1941"
"HOM194104300","HOM","0","0","0","0","2","1","0","0","1","","","","","","","","","","","","","","","","","","","","5","","value","36","31","4","4","1","0","1","4","0","","0","5","","5","0","","","0","","27","","42","10","0","1","1","6","5","2","","7","1","0","0","0","","1","","0","27","12","2","0","0","0","0","1","","whatd101","benjj101","harrv102","leonb101","wilsj106","easth104","carlm101","gastr101","walke103","walke103","gastr101","leonb101","carlm101","wilsj106","easth104","harrv102","benjj101","whatd101","","19410430","0","POR02","BLG","l","exhibition","y","1941"
"HOM194105030","HOM","1","0","0","0","0","2","0","0","","","","","","","","","","","","","","","","","","","","","10","","value","37","31","3","7","0","0","1","","0","","0","6","","2","0","","","0","","27","","35","5","3","0","0","0","0","3","","4","0","0","0","0","","0","","0","27","10","0","0","0","0","0","0","","whatd101","benjj101","harrv102","leonb101","easth104","willc106","carlm101","gastr101","partr102","partr102","gastr101","willc106","carlm101","easth104","leonb101","harrv102","benjj101","whatd101","","19410503","0","PIT06","BLG","w","exhibition","y","1941"
"HOM194105041","HOM","2","2","1","1","0","0","2","1","","","","","","","","","","","","","","","","","","","","","10","","value","43","41","9","13","2","3","1","","1","0","0","1","0","3","2","","","0","","27","","42","11","3","1","0","6","","3","","6","0","0","0","0","","1","","0","27","11","4","1","0","0","0","1","","whatd101","benjj101","harrv102","leonb101","easth104","willc106","carlm101","gastr101","mcdut101","mcdut101","gastr101","leonb101","carlm101","easth104","willc106","harrv102","benjj101","whatd101","","19410504","1","WAS09","BLG","w","exhibition","y","1941"
"HOM194105042","HOM","3","0","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","14","","value","40","35","5","11","2","0","0","","1","0","1","3","0","4","0","","","0","","21","","33","12","0","0","0","6","","1","0","2","1","0","0","0","0","1","","0","21","9","2","1","0","0","0","1","","whatd101","benjj101","harrv102","leonb101","easth104","willc106","carlm101","gastr101","hamij104","hamij104","gastr101","leonb101","carlm101","easth104","willc106","harrv102","benjj101","whatd101","","19410504","2","WAS09","BLG","l","exhibition","y","1941"
"HOM194105100","HOM","1","0","0","0","0","2","10","0","","","","","","","","","","","","","","","","","","","","","5","","value","42","37","13","13","4","0","4","12","2","0","0","3","0","5","0","","","0","","27","","45","15","0","0","0","10","","4","0","3","0","0","0","2","0","0","","0","27","","","0","0","0","0","0","","whatd101","benjj101","harrv102","leonb101","easth104","willc106","carlm101","gastr101","mcdut101","mcdut101","gastr101","leonb101","carlm101","easth104","willc106","harrv102","benjj101","whatd101","","19410510","0","HRB01","BLG","w","regular","y","1941"
"BLG194105111","HOM","1","0","0","1","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","8","","value","38","36","3","6","2","0","0","2","1","","0","1","","5","0","","","0","","24","","33","4","1","0","1","5","","3","","5","0","0","0","0","","1","","0","24","","3","1","0","0","0","1","","whatd101","benjj101","harrv102","leonb101","wilsj106","easth104","willc106","gastr101","partr102","partr102","gastr101","leonb101","easth104","wilsj106","willc106","harrv102","benjj101","whatd101","","19410511","1","BAL10","BLG","l","regular","y","1941"
"BLG194105112","HOM","0","0","1","2","0","1","0","","","","","","","","","","","","","","","","","","","","","","11","","value","36","26","4","5","1","0","2","","1","0","2","7","0","3","3","","","0","","21","","25","3","1","0","0","1","","2","","3","0","0","0","0","","0","","0","21","","1","0","0","0","0","0","","whatd101","benjj101","easth104","leonb101","wilsj106","willc106","carlm101","gastr101","hamij104","hamij104","gastr101","leonb101","carlm101","wilsj106","willc106","easth104","benjj101","whatd101","","19410511","2","BAL10","BLG","w","regular","y","1941"
"HOM194105120","HOM","0","0","0","4","0","1","0","0","5","","","","","","","","","","","","","","","","","","","","4","","value","39","36","10","10","1","1","2","9","0","","0","3","","5","0","","","0","","27","","41","11","4","2","1","9","","4","","6","0","5","0","0","","2","","5","27","13","3","1","0","5","5","2","","whatd101","benjj101","harrv102","leonb101","wilsj106","easth104","carlm101","gastr101","wrigj105","wrigj105","gastr101","leonb101","carlm101","wilsj106","easth104","harrv102","benjj101","whatd101","","19410512","0","RIC04","BLG","w","regular","y","1941"
"HOM194105181","HOM","0","2","1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","9","","value","36","31","3","7","0","0","0","3","1","0","0","4","0","1","1","","","0","","27","","35","6","1","0","0","1","","2","","6","0","0","0","0","","1","","0","27","","1","0","0","0","0","1","","whatd101","benjj101","easth104","leonb101","wilsj106","willc106","carlm101","gastr101","partr102","partr102","gastr101","leonb101","carlm101","wilsj106","willc106","easth104","benjj101","whatd101","","19410518","1","CLE07","NY5","w","regular","y","1941"
"HOM194105182","HOM","0","0","3","1","1","0","","","","","","","","","","","","","","","","","","","","","","","6","","value","29","23","5","6","3","2","0","","0","","0","6","","1","1","","","0","","21","","28","4","0","0","0","3","","1","","1","0","0","0","1","","0","","0","21","","1","0","0","0","0","0","","whatd101","benjj101","easth104","leonb101","wilsj106","willc106","carlm101","gastr101","hamij104","hamij104","gastr101","leonb101","carlm101","wilsj106","willc106","easth104","benjj101","whatd101","","19410518","2","CLE07","NY5","w","regular","y","1941"
"HOM194105190","HOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","7","","","","","","","","","","","","","","","","","27","","","","","","","1","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","19410519","0","BEA02","NY5","w","regular","","1941"
"HOM194105200","HOM","0","0","0","4","0","0","0","0","","","","","","","","","","","","","","","","","","","","","8","","value","36","33","4","10","2","0","1","4","0","0","0","3","0","0","1","","","0","","27","","37","7","1","0","0","3","3","2","","8","0","0","0","0","","2","","0","27","19","2","1","0","0","0","2","","whatd101","benjj101","harrv102","leonb101","easth104","willc106","carlm101","gastr101","browr103","browr103","gastr101","leonb101","carlm101","easth104","willc106","harrv102","benjj101","whatd101","","19410520","0","CAN03","NY5","w","regular","y","1941"
"HOM194105210","HOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","6","","","","","","","","","","","","","","","","","27","","","","","","","5","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","19410521","0","MCK01","NY5","w","regular","","1941"
"HOM194105241","HOM","0","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","5","","value","31","31","2","5","1","0","0","","0","","0","","","4","1","","","0","","27","","39","12","0","0","0","1","","","","3","0","0","0","0","","0","","0","27","15","0","0","0","0","0","0","","whatd101","benjj101","harrv102","leonb101","easth104","willc106","carlm101","napie101","mcdut101","mcdut101","napie101","leonb101","carlm101","easth104","willc106","harrv102","benjj101","whatd101","","19410524","1","PIT06","NY6","w","regular","y","1941"
"HOM194105242","HOM","0","2","2","2","2","0","","","","","","","","","","","","","","","","","","","","","","","5","","value","31","27","8","9","3","0","0","","0","0","0","4","0","3","1","","","0","","21","","36","9","0","0","0","7","","4","0","3","0","0","0","0","0","0","","0","21","13","2","0","0","0","0","0","","whatd101","benjj101","harrv102","leonb101","easth104","willc106","carlm101","napie101","hamij104","hamij104","napie101","leonb101","carlm101","easth104","willc106","harrv102","benjj101","whatd101","","19410524","2","PIT06","NY6","w","regular","y","1941"
"HOM194105251","HOM","0","0","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","8","","value","36","35","1","6","2","1","0","","1","","0","0","0","7","0","","","0","","27","","37","7","1","0","0","2","","3","","0","0","0","0","0","1","0","","1","27","22","1","0","0","1","0","0","","whatd101","benjj101","harrv102","leonb101","easth104","willc106","carlm101","napie101","browr103","browr103","napie101","leonb101","carlm101","easth104","willc106","harrv102","benjj101","whatd101","","19410525","1","WAS09","NY6","l","regular","y","1941"
"HOM194105252","HOM","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","8","","value","31","25","2","6","0","0","0","","0","","0","6","","2","0","","","0","","21","","40","11","0","0","1","11","","7","0","3","1","0","0","1","0","0","","0","21","9","3","1","0","0","0","0","","whatd101","benjj101","harrv102","leonb101","easth104","willc106","carlm101","napie101","faziu101","faziu101","napie101","leonb101","carlm101","easth104","willc106","harrv102","benjj101","whatd101","","19410525","2","WAS09","NY6","l","regular","y","1941"
"PH5194105301","HOM","3","0","1","0","0","0","2","2","2","","","","","","","","","","","","","","","","","","","","11","","value","48","42","10","11","1","1","0","","0","0","0","6","0","","0","","","0","","27","","32","6","0","0","0","1","","0","0","","0","0","0","0","","0","","0","27","10","0","0","0","0","0","0","","whatd101","benjj101","harrv102","leonb101","easth104","willc106","carlm101","gastr101","hamij104","hamij104","gastr101","leonb101","carlm101","easth104","willc106","harrv102","benjj101","whatd101","","19410530","1","PHI17","PH5","w","regular","y","1941"
"PH5194105302","HOM","1","0","0","0","0","0","1","1","0","","","","","","","","","","","","","","","","","","","","11","","value","41","34","3","6","1","0","0","","0","","0","7","","","0","","","0","","24","","41","13","2","0","0","8","","3","","","0","1","0","2","","0","","1","24","9","2","0","0","1","1","0","","whatd101","benjj101","harrv102","leonb101","easth104","willc106","carlm101","gastr101","browr103","browr103","gastr101","leonb101","carlm101","easth104","willc106","harrv102","benjj101","whatd101","","19410530","2","PHI17","PH5","l","regular","y","1941"
"HOM194106011","HOM","2","0","2","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","","","8","","value","39","34","6","9","1","2","0","","0","","0","5","","3","5","","","0","","27","","39","11","0","0","0","5","","2","0","4","0","0","0","2","0","0","","0","27","","0","0","0","0","0","0","","whatd101","benjj101","harrv102","leonb101","wilsj106","easth104","willc106","gastr101","partr102","partr102","gastr101","leonb101","easth104","wilsj106","willc106","harrv102","benjj101","whatd101","","19410601","1","WAS09","PH5","w","regular","y","1941"
"HOM194106012","HOM","0","3","0","0","0","2","","","","","","","","","","","","","","","","","","","","","","","3","","value","26","23","5","6","1","0","0","","0","1","1","2","","2","5","","","0","","21","","26","4","1","0","0","0","0","1","","6","0","0","0","0","","0","","0","21","","0","0","0","0","0","0","","whatd101","benjj101","harrv102","leonb101","wilsj106","easth104","willc106","gastr101","mcdut101","mcdut101","gastr101","leonb101","easth104","wilsj106","willc106","harrv102","benjj101","whatd101","","19410601","2","WAS09","PH5","w","regular","y","1941"
"HOM194106081","HOM","0","2","3","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","","6","","value","37","31","7","8","2","0","0","7","0","0","0","6","0","2","1","","","0","","27","","39","10","1","0","0","4","","2","0","3","0","0","0","0","0","0","","0","27","8","2","1","0","0","0","0","","whatd101","benjj101","harrv102","leonb101","wilsj106","easth104","willc106","gastr101","partr102","partr102","gastr101","leonb101","easth104","wilsj106","willc106","harrv102","benjj101","whatd101","","19410608","1","WAS09","BLG","w","regular","y","1941"
"HOM194106082","HOM","0","1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","3","","value","25","24","1","4","0","0","0","1","0","1","0","1","","4","0","","","0","","21","","33","11","0","2","0","6","","0","0","2","1","0","0","0","","0","","0","21","11","0","0","0","0","0","0","","whatd101","benjj101","browr103","leonb101","easth104","willc106","carlm101","gastr101","mcdut101","mcdut101","gastr101","leonb101","carlm101","easth104","willc106","browr103","benjj101","whatd101","","19410608","2","WAS09","BLG","l","regular","y","1941"
"HOM194106090","HOM","0","0","0","0","0","2","0","6","","","","","","","","","","","","","","","","","","","","","6","","value","38","31","8","9","3","0","1","8","0","0","0","7","0","4","0","","","0","","27","","38","11","0","0","1","6","4","1","0","3","0","0","0","0","0","1","","0","27","","0","3","0","0","0","1","","whatd101","benjj101","harrv102","leonb101","wilsj106","easth104","carlm101","gastr101","housj103","housj103","gastr101","leonb101","carlm101","wilsj106","easth104","harrv102","benjj101","whatd101","","19410609","0","ALT02","NY6","w","regular","y","1941"
"HOM194106120","HOM","1","0","0","1","1","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","5","8","","","","","","","","","","","","","","","","27","","","16","","","","6","","","","","","","","","","","","","27","","2","","0","","","","","","","","","","","","","","browr103","gastr101","","","","","","","","","19410612","0","IND10","NY6","l","regular","","1941"
"HOM194106160","HOM","5","0","0","0","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","","","value","","","7","","","","","","","","","","","1","","","","","","27","","","","","","","7","","","","","","","","","","","","","27","","0","3","0","","","","","","","","","","","","","","wrigj105","gastr101","","","","","","","","","19410616","0","CHE01","NY6","t","regular","","1941"
"PH5194106190","HOM","2","0","1","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","5","","value","35","33","3","6","0","0","0","","0","","0","2","","","0","","","0","","26","","38","6","0","0","0","4","","5","0","","0","0","0","0","0","0","","0","26","","3","0","0","0","0","0","","benjj101","willc106","easth104","leonb101","browr103","harrv102","carlm101","gastr101","hamij104","hamij104","gastr101","leonb101","carlm101","easth104","willc106","harrv102","benjj101","browr103","","19410619","0","PHI17","PH5","l","regular","y","1941"
"NW2194106221","HOM","3","1","1","0","0","0","0","2","1","","","","","","","","","","","","","","","","","","","","10","","value","45","38","8","9","0","0","1","","0","0","0","7","0","","0","","","0","","27","","40","11","0","0","0","5","","5","0","","0","0","0","0","0","0","","0","27","","1","0","0","0","0","0","","benjj101","willc106","easth104","leonb101","palmc101","harrv102","carlm101","wilsj106","mcdut101","mcdut101","palmc101","leonb101","carlm101","wilsj106","willc106","harrv102","benjj101","easth104","","19410622","1","NWK04","NW2","w","regular","y","1941"
"NW2194106222","HOM","0","0","4","0","0","0","3","","","","","","","","","","","","","","","","","","","","","","4","","value","32","30","7","10","0","0","2","","0","0","0","2","0","","0","","","0","","21","","31","12","0","0","0","7","","1","","","0","0","0","0","","0","","0","21","","0","0","0","0","0","0","","benjj101","willc106","easth104","leonb101","wilsj106","harrv102","carlm101","gastr101","browr103","browr103","gastr101","leonb101","carlm101","easth104","willc106","harrv102","benjj101","wilsj106","","19410622","2","NWK04","NW2","t","regular","y","1941"
"HOM194106230","HOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","13","1","","","1","","","","","","","","","","","","","27","","","1","","","1","7","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","19410623","0","OLE01","PH5","w","regular","","1941"
"HOM194106250","HOM","0","1","3","5","3","2","0","0","","","","","","","","","","","","","","","","","","","","","11","","value","49","44","14","23","5","0","0","","2","0","0","3","0","3","0","","","0","","27","","39","11","0","0","2","7","7","2","0","3","0","0","0","1","0","0","","0","27","12","0","1","0","0","0","0","","benjj101","willc106","easth104","leonb101","wilsj106","harrv102","carlm101","gastr101","hamij104","hamij104","gastr101","leonb101","willc106","wilsj106","carlm101","harrv102","benjj101","easth104","","19410625","0","ALT02","PH5","w","regular","y","1941"
